model_id,outer_fold,target,n,MAE_um,RMSE_um
MAMBA_RAW_K4_AUX,0,D,36,15.232794386645159,18.490919840684246
MAMBA_RAW_K4_AUX,0,Sq,36,1.2270473020153525,2.1846869638837814
MAMBA_RAW_K4_AUX,1,D,36,22.356571927407963,33.664454234397134
MAMBA_RAW_K4_AUX,1,Sq,36,1.6278643326545241,2.4185979776025532
MAMBA_RAW_K4_AUX,2,D,36,13.827260375022888,18.337277109370614
MAMBA_RAW_K4_AUX,2,Sq,36,0.877974860111358,1.4329257193459553
MAMBA_RAW_K4_AUX,3,D,36,13.91038672791587,18.16937292311968
MAMBA_RAW_K4_AUX,3,Sq,36,0.9242351732866386,1.038206316943676
MAMBA_RAW_K4_AUX,4,D,36,11.569428537247909,16.218188735009136
MAMBA_RAW_K4_AUX,4,Sq,36,0.8377893384063853,1.0581010310552015
STATIC_PHY_K4_AUX,0,D,36,12.51698518710004,14.937796298917046
STATIC_PHY_K4_AUX,0,Sq,36,1.373951885511368,2.361711279249653
STATIC_PHY_K4_AUX,1,D,36,21.744005469553585,33.480780732157
STATIC_PHY_K4_AUX,1,Sq,36,1.5484225805943366,2.5907906578819766
STATIC_PHY_K4_AUX,2,D,36,13.15022302336163,16.784003786113043
STATIC_PHY_K4_AUX,2,Sq,36,1.0420348253402345,1.570095023410292
STATIC_PHY_K4_AUX,3,D,36,11.69838253657023,14.33248269975515
STATIC_PHY_K4_AUX,3,Sq,36,0.9219678688926582,0.9879686386869513
STATIC_PHY_K4_AUX,4,D,36,11.734584835461444,15.629122337667386
STATIC_PHY_K4_AUX,4,Sq,36,1.0339243440407793,1.3156447604772574
TREE_U_DQ,0,D,36,5.963346822252531,7.698996991227052
TREE_U_DQ,0,Sq,36,1.333839424262607,2.350038279678792
TREE_U_DQ,1,D,36,5.209900597298494,7.352865999820565
TREE_U_DQ,1,Sq,36,1.3693538563237566,2.355113936757036
TREE_U_DQ,2,D,36,5.590835131122883,6.699305028940025
TREE_U_DQ,2,Sq,36,0.8791879203625388,1.5515893522634525
TREE_U_DQ,3,D,36,3.653010030706083,4.520243790195855
TREE_U_DQ,3,Sq,36,0.8573030822959081,1.1112891353346348
TREE_U_DQ,4,D,36,4.538728651090434,5.780723191948097
TREE_U_DQ,4,Sq,36,0.745372670878281,1.1178220353628374
