target,variant,model,fold,skill_q2,r2_scalar,alpha,n_train,n_test
Ot_ent,src_gkf,minus_h,1,0.014784579839985601,-0.04262803841465268,1000.0,160,40
Ot_ent,src_gkf,minus_h,2,0.018502118959910052,0.01670505354648344,1000.0,160,40
Ot_ent,src_gkf,minus_h,3,0.032646368879842846,-0.21932373868952082,100.0,160,40
Ot_ent,src_gkf,minus_h,4,-0.008135503848158976,-0.028837431760926346,316.22776601683796,160,40
Ot_ent,src_gkf,dummy,0,0.0,-0.21763809968245607,,160,40
Ot_ent,src_gkf,dummy,1,0.0,-0.05827417748426389,,160,40
Ot_ent,src_gkf,dummy,2,0.0,-0.001830941714843437,,160,40
Ot_ent,src_gkf,dummy,3,0.0,-0.2604736256353246,,160,40
Ot_ent,src_gkf,dummy,4,0.0,-0.020534866427921683,,160,40
Ot_ent,proc_gkf,full,0,0.6955295353222753,0.53706952566005,0.31622776601683794,160,40
Ot_ent,proc_gkf,full,1,0.6449446532640573,0.6118280357863888,3.1622776601683795,160,40
Ot_ent,proc_gkf,full,2,0.7420697390393854,0.6036110873602785,0.001,160,40
Ot_ent,proc_gkf,full,3,0.2972509054022139,0.24376606355023245,3.1622776601683795,160,40
Ot_ent,proc_gkf,full,4,0.43188311939451096,0.3351619780312811,0.001,160,40
Ot_ent,proc_gkf,h_only,0,0.6639637432817527,0.48907548755949837,1.0,160,40
Ot_ent,proc_gkf,h_only,1,0.5730638657762053,0.5332428047093545,3.1622776601683795,160,40
Ot_ent,proc_gkf,h_only,2,0.6325843556125155,0.4353532337649346,3.1622776601683795,160,40
Ot_ent,proc_gkf,h_only,3,0.1909947578800304,0.12942297107185874,1.0,160,40
Ot_ent,proc_gkf,h_only,4,0.48413923431954153,0.39631462684097707,1.0,160,40
Ot_ent,proc_gkf,minus_h,0,0.00013255364477049447,-0.520243061041201,1000.0,160,40
Ot_ent,proc_gkf,minus_h,1,0.02705448164062041,-0.06369380550482595,316.22776601683796,160,40
Ot_ent,proc_gkf,minus_h,2,0.014047281240879506,-0.5152185891161583,1000.0,160,40
Ot_ent,proc_gkf,minus_h,3,0.01859636496062833,-0.05609632211153781,316.22776601683796,160,40
Ot_ent,proc_gkf,minus_h,4,-0.19919735165652175,-0.4033591016970477,100.0,160,40
Ot_ent,proc_gkf,dummy,0,0.0,-0.5204446015148034,,160,40
Ot_ent,proc_gkf,dummy,1,0.0,-0.09327170476972846,,160,40
Ot_ent,proc_gkf,dummy,2,0.0,-0.5368065428362021,,160,40
Ot_ent,proc_gkf,dummy,3,0.0,-0.07610801958071978,,160,40
Ot_ent,proc_gkf,dummy,4,0.0,-0.17024866654225446,,160,40
Ot_A2_16_32,src_gkf,full,0,0.20986306828195533,0.10460257416543195,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,full,1,0.1385861314563489,0.06779565759397777,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,full,2,0.017492263939601127,0.010451277780862078,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,full,3,0.2202890349019202,0.12547010543881354,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,full,4,0.142907040635617,0.12398794617743736,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,h_only,0,0.2339626076877167,0.13191260699834562,3.1622776601683795,160,40
Ot_A2_16_32,src_gkf,h_only,1,0.10350494999256843,0.029831525727191388,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,h_only,2,0.16783456428004018,0.16187098241738784,3.1622776601683795,160,40
Ot_A2_16_32,src_gkf,h_only,3,0.24128186345874947,0.14901582554040993,0.31622776601683794,160,40
Ot_A2_16_32,src_gkf,h_only,4,0.11274625670223426,0.09316140631415926,0.001,160,40
Ot_A2_16_32,src_gkf,minus_h,0,0.00389202552488066,-0.12880752739777113,316.22776601683796,160,40
Ot_A2_16_32,src_gkf,minus_h,1,0.007525789508300851,-0.07403514446606296,1000.0,160,40
Ot_A2_16_32,src_gkf,minus_h,2,-0.09156614791615403,-0.09938868391942624,100.0,160,40
Ot_A2_16_32,src_gkf,minus_h,3,0.0015838020762403149,-0.11983138801775528,1000.0,160,40
Ot_A2_16_32,src_gkf,minus_h,4,0.002344443905551441,-0.019677367726731898,1000.0,160,40
Ot_A2_16_32,src_gkf,dummy,0,0.0,-0.13321804093835832,,160,40
Ot_A2_16_32,src_gkf,dummy,1,0.0,-0.08217939883189129,,160,40
Ot_A2_16_32,src_gkf,dummy,2,0.0,-0.007166341699223366,,160,40
Ot_A2_16_32,src_gkf,dummy,3,0.0,-0.12160779276866962,,160,40
Ot_A2_16_32,src_gkf,dummy,4,0.0,-0.022073561859859314,,160,40
Ot_ent_16_32,src_gkf,full,0,0.21586490669122393,0.18189831573968074,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,full,1,0.14370802412743688,0.09704876827909426,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,full,2,0.004321370692691451,0.003263232221071166,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,full,3,0.2656246718559352,0.21179358945751703,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,full,4,0.08552570006042504,0.06971285135463423,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,h_only,0,0.2623043828384307,0.23034942317817442,1.0,160,40
Ot_ent_16_32,src_gkf,h_only,1,0.1381927899628057,0.0912330096097358,10.0,160,40
Ot_ent_16_32,src_gkf,h_only,2,0.14422244242616877,0.14331298115004587,1.0,160,40
Ot_ent_16_32,src_gkf,h_only,3,0.30433871373611776,0.25334544287433536,3.1622776601683795,160,40
Ot_ent_16_32,src_gkf,h_only,4,0.07855579424508918,0.06262242376393656,0.001,160,40
Ot_ent_16_32,src_gkf,minus_h,0,-0.002192403052321934,-0.045604641198150775,1000.0,160,40
Ot_ent_16_32,src_gkf,minus_h,1,0.0007922743700228274,-0.05365444500779404,1000.0,160,40
Ot_ent_16_32,src_gkf,minus_h,2,-0.01647593670544567,-0.0175561771188133,1000.0,160,40
Ot_ent_16_32,src_gkf,minus_h,3,-0.0010479446435311957,-0.07442662762442476,1000.0,160,40
Ot_ent_16_32,src_gkf,minus_h,4,-0.007101890630502483,-0.02451643123476921,1000.0,160,40
Ot_ent_16_32,src_gkf,dummy,0,0.0,-0.0433172692325452,,160,40
Ot_ent_16_32,src_gkf,dummy,1,0.0,-0.05448989032134377,,160,40
Ot_ent_16_32,src_gkf,dummy,2,0.0,-0.0010627309258977036,,160,40
Ot_ent_16_32,src_gkf,dummy,3,0.0,-0.07330186668234306,,160,40
Ot_ent_16_32,src_gkf,dummy,4,0.0,-0.01729173658224803,,160,40
Ot_joint,src_gkf,full,0,0.442654028628496,,1.0,160,40
Ot_joint,src_gkf,full,1,0.6630364901524536,,3.1622776601683795,160,40
Ot_joint,src_gkf,full,2,0.6618278136360567,,3.1622776601683795,160,40
