dataset_index,shared_height_source_id,cv_process_group,target,component,variant,fold,model,observed,predicted,train_null,score_scale,alpha
134,zro2_20_supplement:m008,BASE:T15,D,median_depth_um,proc_gkf,4,full,40.91189384460449,39.30811857715448,26.554845581075643,1.0,3.1622776601683795
135,zro2_20_supplement:m008,BASE:T15,D,median_depth_um,proc_gkf,4,full,40.905738830566406,45.048742671934974,26.554845581075643,1.0,3.1622776601683795
136,zro2_20_supplement:m009,BASE:T07,D,median_depth_um,proc_gkf,4,full,17.797805786132812,40.99336793687676,26.554845581075643,1.0,3.1622776601683795
137,zro2_20_supplement:m009,BASE:T07,D,median_depth_um,proc_gkf,4,full,21.254422187805176,46.73399203165725,26.554845581075643,1.0,3.1622776601683795
144,zro2_60_pass:m003,BASE:T15,D,median_depth_um,proc_gkf,4,full,40.296024322509766,33.56749448237398,26.554845581075643,1.0,3.1622776601683795
145,zro2_60_pass:m003,BASE:T15,D,median_depth_um,proc_gkf,4,full,30.32354736328125,22.086246292812984,26.554845581075643,1.0,3.1622776601683795
146,zro2_60_pass:m004,BASE:T15,D,median_depth_um,proc_gkf,4,full,36.139909744262695,27.82687038759348,26.554845581075643,1.0,3.1622776601683795
147,zro2_60_pass:m004,BASE:T15,D,median_depth_um,proc_gkf,4,full,18.330870628356934,16.345622198032487,26.554845581075643,1.0,3.1622776601683795
184,zro2_60_pass:m023,BASE:T11,D,median_depth_um,proc_gkf,4,full,3.38776433467865,23.66806265837007,26.554845581075643,1.0,3.1622776601683795
185,zro2_60_pass:m023,BASE:T11,D,median_depth_um,proc_gkf,4,full,5.121310472488403,29.408686753150565,26.554845581075643,1.0,3.1622776601683795
186,zro2_60_pass:m024,BASE:T11,D,median_depth_um,proc_gkf,4,full,0.24286670237779617,12.186814468809072,26.554845581075643,1.0,3.1622776601683795
187,zro2_60_pass:m024,BASE:T11,D,median_depth_um,proc_gkf,4,full,2.007620692253113,17.92743856358957,26.554845581075643,1.0,3.1622776601683795
188,zro2_60_pass:m025,BASE:T07,D,median_depth_um,proc_gkf,4,full,13.60419750213623,35.25274384209626,26.554845581075643,1.0,3.1622776601683795
189,zro2_60_pass:m025,BASE:T07,D,median_depth_um,proc_gkf,4,full,2.942147970199585,18.030871557754764,26.554845581075643,1.0,3.1622776601683795
190,zro2_60_pass:m026,BASE:T07,D,median_depth_um,proc_gkf,4,full,7.020557880401611,23.77149565253526,26.554845581075643,1.0,3.1622776601683795
191,zro2_60_pass:m026,BASE:T07,D,median_depth_um,proc_gkf,4,full,10.375359535217285,29.512119747315758,26.554845581075643,1.0,3.1622776601683795
4,zro2_120_formal:m005,FQ:500:2:8:7|N5,D,median_depth_um,proc_gkf,0,h_only,4.774026870727539,26.503339356389432,28.20302236872958,1.0,100.0
6,zro2_120_formal:m007,FQ:500:2:10:5|N5,D,median_depth_um,proc_gkf,0,h_only,6.117770195007324,25.101538933840853,28.20302236872958,1.0,100.0
9,zro2_120_formal:m010,FQ:500:10:4:3|N1,D,median_depth_um,proc_gkf,0,h_only,3.669000267982483,29.306940201486587,28.20302236872958,1.0,100.0
11,zro2_120_formal:m012,FQ:500:10:8:11|N4,D,median_depth_um,proc_gkf,0,h_only,17.736404418945312,26.503339356389432,28.20302236872958,1.0,100.0
17,zro2_120_formal:m018,FQ:500:100:4:9|N1,D,median_depth_um,proc_gkf,0,h_only,5.391144275665283,29.306940201486587,28.20302236872958,1.0,100.0
28,zro2_120_formal:m029,FQ:1000:10:4:7|N4,D,median_depth_um,proc_gkf,0,h_only,39.56353569030762,29.306940201486587,28.20302236872958,1.0,100.0
32,zro2_120_formal:m033,FQ:1000:50:4:11|N5,D,median_depth_um,proc_gkf,0,h_only,57.54034423828125,29.306940201486587,28.20302236872958,1.0,100.0
37,zro2_120_formal:m038,FQ:1000:100:2:9|N2,D,median_depth_um,proc_gkf,0,h_only,53.70109558105469,30.708740624035162,28.20302236872958,1.0,100.0
46,zro2_120_formal:m047,FQ:1000:200:10:9|N3,D,median_depth_um,proc_gkf,0,h_only,45.29147720336914,25.101538933840853,28.20302236872958,1.0,100.0
48,zro2_120_formal:m049,FQ:2000:2:6:9|N2,D,median_depth_um,proc_gkf,0,h_only,1.8694689869880676,27.905139778938008,28.20302236872958,1.0,100.0
49,zro2_120_formal:m050,FQ:2000:2:6:9|N2,D,median_depth_um,proc_gkf,0,h_only,1.8423005938529968,27.905139778938008,28.20302236872958,1.0,100.0
50,zro2_120_formal:m051,FQ:2000:2:10:9|N3,D,median_depth_um,proc_gkf,0,h_only,1.7471812963485718,25.101538933840853,28.20302236872958,1.0,100.0
54,zro2_120_formal:m055,FQ:2000:10:10:5|N4,D,median_depth_um,proc_gkf,0,h_only,26.571630477905273,25.101538933840853,28.20302236872958,1.0,100.0
60,zro2_120_formal:m061,FQ:2000:100:4:11|N2,D,median_depth_um,proc_gkf,0,h_only,46.7247428894043,29.306940201486587,28.20302236872958,1.0,100.0
67,zro2_120_formal:m068,FQ:2000:200:2:11|N5,D,median_depth_um,proc_gkf,0,h_only,62.577470779418945,30.708740624035162,28.20302236872958,1.0,100.0
83,zro2_120_formal:m084,FQ:4000:50:4:9|N5,D,median_depth_um,proc_gkf,0,h_only,47.20834732055664,29.306940201486587,28.20302236872958,1.0,100.0
85,zro2_120_formal:m086,FQ:4000:50:10:5|N1,D,median_depth_um,proc_gkf,0,h_only,4.834158897399902,25.101538933840853,28.20302236872958,1.0,100.0
87,zro2_120_formal:m088,FQ:4000:100:8:11|N1,D,median_depth_um,proc_gkf,0,h_only,17.658838272094727,26.503339356389432,28.20302236872958,1.0,100.0
92,zro2_120_formal:m093,FQ:4000:200:8:5|N2,D,median_depth_um,proc_gkf,0,h_only,35.61216163635254,26.503339356389432,28.20302236872958,1.0,100.0
95,zro2_120_formal:m096,FQ:4000:200:10:7|N5,D,median_depth_um,proc_gkf,0,h_only,44.55615997314453,25.101538933840853,28.20302236872958,1.0,100.0
97,zro2_120_formal:m098,FQ:6000:2:4:3|N2,D,median_depth_um,proc_gkf,0,h_only,9.661888122558594,29.306940201486587,28.20302236872958,1.0,100.0
107,zro2_120_formal:m108,FQ:6000:10:8:7|N3,D,median_depth_um,proc_gkf,0,h_only,15.745314598083496,26.503339356389432,28.20302236872958,1.0,100.0
108,zro2_120_formal:m109,FQ:6000:10:10:7|N1,D,median_depth_um,proc_gkf,0,h_only,2.5217500925064087,25.101538933840853,28.20302236872958,1.0,100.0
112,zro2_120_formal:m113,FQ:6000:100:2:11|N2,D,median_depth_um,proc_gkf,0,h_only,37.46864891052246,30.708740624035162,28.20302236872958,1.0,100.0
122,zro2_20_supplement:m002,BASE:T14,D,median_depth_um,proc_gkf,0,h_only,17.122941970825195,25.101538933840853,28.20302236872958,1.0,100.0
123,zro2_20_supplement:m002,BASE:T14,D,median_depth_um,proc_gkf,0,h_only,19.32986354827881,25.101538933840853,28.20302236872958,1.0,100.0
130,zro2_20_supplement:m006,BASE:T13,D,median_depth_um,proc_gkf,0,h_only,9.975673198699951,26.503339356389432,28.20302236872958,1.0,100.0
131,zro2_20_supplement:m006,BASE:T13,D,median_depth_um,proc_gkf,0,h_only,11.856034755706787,26.503339356389432,28.20302236872958,1.0,100.0
164,zro2_60_pass:m013,BASE:T14,D,median_depth_um,proc_gkf,0,h_only,11.041552543640137,25.101538933840853,28.20302236872958,1.0,100.0
165,zro2_60_pass:m013,BASE:T14,D,median_depth_um,proc_gkf,0,h_only,7.956956624984741,25.101538933840853,28.20302236872958,1.0,100.0
166,zro2_60_pass:m014,BASE:T14,D,median_depth_um,proc_gkf,0,h_only,2.3887836933135986,25.101538933840853,28.20302236872958,1.0,100.0
167,zro2_60_pass:m014,BASE:T14,D,median_depth_um,proc_gkf,0,h_only,15.421174049377441,25.101538933840853,28.20302236872958,1.0,100.0
