i,j,pair_type,d_phi
102,162,random_ordinary,0.981244802873981
12,91,random_ordinary,0.989152431738976
120,139,random_ordinary,0.9836111086081386
2,199,random_ordinary,0.9766045780989503
198,40,random_ordinary,0.9779350641986349
7,196,random_ordinary,0.9775585985295615
153,79,random_ordinary,0.9781577130533085
80,46,random_ordinary,0.9771040704034867
0,117,random_ordinary,0.9818130706868675
69,167,random_ordinary,0.9866428825765783
179,56,random_ordinary,0.9896609632458344
190,132,random_ordinary,0.9786693832394926
35,118,random_ordinary,0.9734469432471321
34,186,random_ordinary,0.9831513256966319
149,100,random_ordinary,0.9786899146382114
1,47,random_ordinary,0.9763048378782114
169,149,random_ordinary,0.9731921612301314
170,50,random_ordinary,0.9827415967256788
77,18,random_ordinary,0.9804823999389108
169,40,random_ordinary,0.9789041635756005
167,70,random_ordinary,0.9813833482110887
80,114,random_ordinary,0.9882117528494929
38,19,random_ordinary,0.983689575378289
67,160,random_ordinary,0.9826547773761971
48,18,random_ordinary,0.982380610464224
164,158,random_ordinary,0.9780160092384514
139,88,random_ordinary,0.9838535429865548
187,122,random_ordinary,0.9829804869722327
120,196,random_ordinary,0.982893236063201
4,95,random_ordinary,0.9896182009317468
91,75,random_ordinary,0.9790505837785684
79,100,random_ordinary,0.9824801888988249
59,194,random_ordinary,0.9850771448495796
9,41,random_ordinary,0.9855718613262355
20,181,random_ordinary,0.9838037991637707
153,57,random_ordinary,0.9794893155186848
176,61,random_ordinary,0.9849887988682468
88,58,random_ordinary,0.9656414800116693
5,149,random_ordinary,0.9858302848220823
35,38,random_ordinary,0.9758298371442448
186,199,random_ordinary,0.9805972766862954
30,189,random_ordinary,0.979280297180468
5,192,random_ordinary,0.9854356161776232
183,129,random_ordinary,0.984578231339688
26,65,random_ordinary,0.9922530661132694
129,160,random_ordinary,0.9864654501414748
78,155,random_ordinary,0.9825099581602758
172,162,random_ordinary,0.9839215313749283
48,63,random_ordinary,0.9871485617985497
82,130,random_ordinary,0.9747571250768651
152,185,random_ordinary,0.9822462396916751
1,34,random_ordinary,0.966798032291604
66,91,random_ordinary,0.988681401093386
136,116,random_ordinary,0.9813915371410454
82,36,random_ordinary,0.9861424935748555
179,66,random_ordinary,0.9849434315145837
71,65,random_ordinary,0.9915341168836567
117,193,random_ordinary,0.9819843742985462
51,137,random_ordinary,0.9833294750307295
160,127,random_ordinary,0.9843963312635539
156,48,random_ordinary,0.9811457605296094
78,38,random_ordinary,0.9810253395971454
3,118,random_ordinary,0.9785925256161462
68,85,random_ordinary,0.9858293948540242
166,171,random_ordinary,0.988629867247651
122,127,random_ordinary,0.9854636482168965
35,41,random_ordinary,0.9845872207383964
28,63,random_ordinary,0.9884319937902553
177,189,random_ordinary,0.9896778473898867
21,72,random_ordinary,0.9785358214067827
9,81,random_ordinary,0.9589812863446467
123,147,random_ordinary,0.9815236328593043
35,137,random_ordinary,0.985004784993389
159,183,random_ordinary,0.9869611680144897
76,40,random_ordinary,0.9802842405606171
158,51,random_ordinary,0.9801594024762428
196,48,random_ordinary,0.9842058045079951
8,196,random_ordinary,0.9871000579361626
185,110,random_ordinary,0.9827674634530555
51,27,random_ordinary,0.9575429759008869
24,43,random_ordinary,0.9864750706687939
127,98,random_ordinary,0.977433907858464
34,32,random_ordinary,0.9803145315451953
180,147,random_ordinary,0.9850652286167036
65,46,random_ordinary,0.9858148018761158
37,63,random_ordinary,0.9891647104251622
9,160,random_ordinary,0.9866469717054116
13,59,random_ordinary,0.9791295668288781
174,180,random_ordinary,0.9881014644202696
43,39,random_ordinary,0.9866174703478042
125,142,random_ordinary,0.9890974709578028
153,62,random_ordinary,0.9852967768788978
187,125,random_ordinary,0.9811636936681692
154,61,random_ordinary,0.9895344879077496
165,144,random_ordinary,0.984762534148982
33,39,random_ordinary,0.9764247875113945
183,71,random_ordinary,0.9887324325769861
111,65,random_ordinary,0.9751242650476972
61,45,random_ordinary,0.9764135078194383
182,148,random_ordinary,0.9844810966455064
18,150,random_ordinary,0.9837546069022375
135,80,random_ordinary,0.9876867508015682
119,145,random_ordinary,0.9919916229246349
52,93,random_ordinary,0.9899473575189337
180,185,random_ordinary,0.988815751588571
5,125,random_ordinary,0.9823944255628604
7,83,random_ordinary,0.9844943872269094
196,66,random_ordinary,0.9880839374016779
144,142,random_ordinary,0.9772841840530433
41,107,random_ordinary,0.9778373497471782
79,8,random_ordinary,0.9869010185069159
58,121,random_ordinary,0.9901046488217805
150,119,random_ordinary,0.9908514919418936
39,73,random_ordinary,0.9903966259723235
20,48,random_ordinary,0.9803102219918165
148,90,random_ordinary,0.9804831249244267
110,14,random_ordinary,0.981731338343929
111,100,random_ordinary,0.9855362810548404
190,51,random_ordinary,0.9810595877276421
80,0,random_ordinary,0.9795396425273517
71,54,random_ordinary,0.9713309503464906
0,139,random_ordinary,0.9853448388919576
135,192,random_ordinary,0.9798459068710447
119,152,random_ordinary,0.9875468289911477
187,117,random_ordinary,0.9806274060746045
79,150,random_ordinary,0.9855049080145726
92,134,random_ordinary,0.9826859830867346
47,144,random_ordinary,0.9826172296570929
182,49,random_ordinary,0.9826173539858666
159,108,random_ordinary,0.9827559248929291
62,98,random_ordinary,0.9872253065899447
89,175,random_ordinary,0.9870636845783496
116,119,random_ordinary,0.9797198821469648
105,1,random_ordinary,0.9859382982782797
194,44,random_ordinary,0.9862992434076859
132,71,random_ordinary,0.9845687714098594
35,40,random_ordinary,0.9869131670190494
187,124,random_ordinary,0.985368695167563
80,125,random_ordinary,0.9828435664431114
71,5,random_ordinary,0.9824563209643974
159,20,random_ordinary,0.9818159234569245
18,56,random_ordinary,0.982233699836293
96,66,random_ordinary,0.986572569197701
29,157,random_ordinary,0.9870774901155018
70,147,random_ordinary,0.9836249252342003
167,78,random_ordinary,0.9841767741679519
138,10,random_ordinary,0.9803575854806201
24,89,random_ordinary,0.9899347486817357
