point,direction,step,fd_value
22,log_h_m,0.01,6.632922256674222e-11
22,log_tau_s,0.001,3.770396110580218e-10
22,log_f_Hz,0.001,2.694203250047027e-09
22,log_v_m_s,0.001,-4.077626791606948e-09
22,log_h_m,0.001,7.516426567096244e-11
22,log_tau_s,0.0001,3.770396115704602e-10
22,log_f_Hz,0.0001,2.694218832412127e-09
22,log_v_m_s,0.0001,-4.078410233207444e-09
22,log_h_m,0.0001,7.670755269712153e-11
22,log_tau_s,1e-05,3.7703961157459604e-10
22,log_f_Hz,1e-05,2.694218613999222e-09
22,log_v_m_s,1e-05,-4.078410014703549e-09
22,log_h_m,1e-05,7.357135715601827e-11
22,log_tau_s,1e-06,3.770396103751842e-10
22,log_f_Hz,1e-06,2.694218609739242e-09
22,log_v_m_s,1e-06,-4.078410017391886e-09
22,log_h_m,1e-06,7.357135777640373e-11
23,log_tau_s,0.01,7.89564929571837e-09
23,log_f_Hz,0.01,4.722045918983961e-08
23,log_v_m_s,0.01,-8.685749170430618e-08
23,log_h_m,0.01,-1.1591844985004455e-07
23,log_tau_s,0.001,7.895656432546668e-09
23,log_f_Hz,0.001,4.721830363734026e-08
23,log_v_m_s,0.001,-8.685688598550415e-08
23,log_h_m,0.001,-1.1547982289642764e-07
23,log_tau_s,0.0001,7.895713646882633e-09
23,log_f_Hz,0.0001,4.720092730449736e-08
23,log_v_m_s,0.0001,-8.68387841248565e-08
23,log_h_m,0.0001,-1.1547651820716451e-07
23,log_tau_s,1e-05,7.895718371076548e-09
23,log_f_Hz,1e-05,4.719244519319356e-08
23,log_v_m_s,1e-05,-8.683018587713e-08
23,log_h_m,1e-05,-1.1547244556766907e-07
23,log_tau_s,1e-06,7.895718388281904e-09
23,log_f_Hz,1e-06,4.718768076786114e-08
23,log_v_m_s,1e-06,-8.68250352444783e-08
23,log_h_m,1e-06,-1.1547087557489599e-07
24,log_tau_s,0.01,1.5752703101127108e-09
24,log_f_Hz,0.01,1.1145118514744109e-08
24,log_v_m_s,0.01,-1.9139862616228963e-08
24,log_h_m,0.01,-2.0403624300980983e-08
24,log_tau_s,0.001,1.5752574471898187e-09
24,log_f_Hz,0.001,1.1145883087264443e-08
24,log_v_m_s,0.001,-1.914246542880931e-08
24,log_h_m,0.001,-2.007833318261794e-08
24,log_tau_s,0.0001,1.5752901860654038e-09
24,log_f_Hz,0.0001,1.1151482590004948e-08
24,log_v_m_s,0.0001,-1.914715509176465e-08
24,log_h_m,0.0001,-2.0057790657998923e-08
24,log_tau_s,1e-05,1.5753011464401305e-09
24,log_f_Hz,1e-05,1.115035030147426e-08
24,log_v_m_s,1e-05,-1.914602399920478e-08
24,log_h_m,1e-05,-2.005771273354858e-08
24,log_tau_s,1e-06,1.5753011484253642e-09
24,log_f_Hz,1e-06,1.115134749648858e-08
24,log_v_m_s,1e-06,-1.9147108453171045e-08
24,log_h_m,1e-06,-2.0056483465403348e-08
25,log_tau_s,0.01,1.1841905157520355e-09
25,log_f_Hz,0.01,6.339451505226549e-09
25,log_v_m_s,0.01,-1.004803535555955e-08
25,log_h_m,0.01,-1.0145158594809935e-08
25,log_tau_s,0.001,1.184162477337395e-09
25,log_f_Hz,0.001,6.158596739481785e-09
25,log_v_m_s,0.001,-9.860924680990032e-09
25,log_h_m,0.001,-1.0104982859694539e-08
25,log_tau_s,0.0001,1.1841624784193472e-09
25,log_f_Hz,0.0001,6.1272396940626675e-09
25,log_v_m_s,0.0001,-9.826845780452418e-09
