factor,factor_value,factor_native,W50_hat_um,note
frequency_kHz,23.435897435897434,23.435897435897434,5.697999176422753,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,24.41025641025641,24.41025641025641,5.690550182467432,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,25.384615384615383,25.384615384615383,5.6831011885121105,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,26.358974358974358,26.358974358974358,5.675652194556789,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,27.333333333333332,27.333333333333332,5.668203200601468,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,28.307692307692307,28.307692307692307,5.660754206646146,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,29.28205128205128,29.28205128205128,5.653305212690825,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,30.256410256410255,30.256410256410255,5.645856218735504,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,31.23076923076923,31.23076923076923,5.638407224780182,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,32.205128205128204,32.205128205128204,5.630958230824861,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,33.17948717948718,33.17948717948718,5.623509236869539,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,34.15384615384615,34.15384615384615,5.616060242914218,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,35.128205128205124,35.128205128205124,5.608611248958897,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,36.1025641025641,36.1025641025641,5.601162255003575,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,37.07692307692307,37.07692307692307,5.593713261048254,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,38.05128205128205,38.05128205128205,5.586264267092933,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,39.02564102564102,39.02564102564102,5.578815273137611,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,40.0,40.0,5.57136627918229,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
velocity_mm_s,5.0,5.0,5.9289345974282055,
velocity_mm_s,5.512820512820513,5.512820512820513,5.922359329998221,
velocity_mm_s,6.0256410256410255,6.0256410256410255,5.915784062568236,
velocity_mm_s,6.538461538461538,6.538461538461538,5.909208795138251,
