dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg,D,A_med,ilr_z1,ilr_z2,ilr_z3,ilr_z4,A2_8_16,entropy_8_16,A2_16_32,entropy_16_32,component_id,base_family_key,outer_fold
20,zro2_120_formal,21,21,zro2_120_formal:m021,single,formal,,21,-3300.0,4400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,3,1.0,0.0,56.6237,1.3446,0.2227565440271681,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,16666666.666666666,888.8833333333334,500:100:6:3,F21,FQ:500:100:6:3|N3,43,0.1314382724160106,56.62374496459961,1.344573066738621,-0.359555409747732,-0.9906309075698504,0.3283289710971924,-0.1002164328727455,0.4099374185918524,0.8939461590236412,0.1983989873042302,0.7621028849998367,59923924a2a32b66894219e86e1fbcbbad735ec10b54c5d10adf485dddfe540f,500|100|3|6,3
21,zro2_120_formal,22,22,zro2_120_formal:m022,single,formal,,22,-3300.0,3800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,11,1.0,0.0,49.3129,1.3731,0.2049884893177623,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,4545454.545454546,242.4227272727273,500:100:6:11,F22,FQ:500:100:6:11|N3,157,0.0007282569092748,49.31291389465332,1.3731381680370502,-1.0531226439110548,-1.3097834428333022,1.0358483854958105,0.9267653667963504,0.373194618850939,0.8586780666095858,0.2486748971603324,0.721855902884194,3e82fb2a6944aaa8f9f1da3121bc0805ed614903c8e64509a2e7f66c19e70db5,500|100|11|6,2
22,zro2_120_formal,23,23,zro2_120_formal:m023,single,formal,,23,-3300.0,3200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,3,1.0,0.0045703125,63.9191,6.5075,0.2172488832109467,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.015,33333333.33333333,888.8833333333333,500:200:8:3,F23,FQ:500:200:8:3|N4,8,4.636344558020923,63.91909408569336,6.507496998933839,-2.39758431593546,-0.3981082553476051,-0.2855280874889933,-0.0152315266573947,0.1987831093144119,0.9037557858154316,0.3928849468827335,0.6289821752321048,8fd7101200e3b1cb67e396805be6ff4533f7aa6bb922fa7af059fad2c392f70e,500|200|3|8,4
23,zro2_120_formal,24,24,zro2_120_formal:m024,single,formal,,24,-3300.0,2600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,11,1.0,0.005,65.0842,6.8297,0.2184241086730409,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.055,9090909.090909092,242.4227272727273,500:200:10:11,F24,FQ:500:200:10:11|N5,7,5.274674297422882,65.08415985107422,6.829685811027613,-3.149135069538872,-0.6126869008028044,-0.7815358044467487,-0.6504853139139679,0.3935202088388078,0.8812181089583156,0.4408371588310915,0.6579685134015888,1cc20ba113bb8c81584260fdfdb122fb5f8380ab4610533dedf6e7951b5dd601,500|200|11|10,2
24,zro2_120_formal,25,25,zro2_120_formal:m025,single,formal,,25,-3900.0,2600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,3,7,1.0,0.000703125,16.0061,0.5573,0.2216450568394508,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,428571.4285714286,1142.85,1000:2:2:7,F25,FQ:1000:2:2:7|N3,75,0.041845803113869,16.00606060028076,0.5573334737748845,0.0955558902762105,-0.5464013923450972,-0.175007206814813,-1.2444890222034886,0.1397929970599265,0.9474204100320134,0.0152398666192048,0.8023681910317061,f60df8a644040bd0be92f658adf4a27a588d9061d14c5f9eac373efd44410172,1000|2|7|2,4
25,zro2_120_formal,26,26,zro2_120_formal:m026,single,formal,,26,-3900.0,3200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,1,11,1.0,0.0,0.1715,0.2535,0.2064777301526381,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,18181.81818181818,48.484545454545454,1000:2:10:11,F26,FQ:1000:2:10:11|N1,149,0.005022374618387,0.1714805662631988,0.2535347896196451,1.5936867135270585,-0.5036461443379504,-0.1560359198444669,-1.185852515291271,0.6984861392748491,0.5816707058259681,0.2850047892925842,0.793422126501487,29df981316e2ec1429a8852627cec65def69b5a421a66109aec528bf167f657a,1000|2|11|10,4
26,zro2_120_formal,27,27,zro2_120_formal:m027,single,formal,,27,-3900.0,3800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,7,1.0,0.0025390625,48.2729,1.7548,0.2005819401178535,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,2857142.8571428573,1523.8,1000:10:2:7,F27,FQ:1000:10:2:7|N4,60,0.0718763769337649,48.2729434967041,1.754813660966502,-0.8054025642022148,-0.6587406275693465,0.1674302473802088,-0.1423860204393112,0.3277592868738584,0.9225450729133732,0.3100982844034591,0.8200632454724791,4f62a47e4f77d454946cedf270fdcc933224efa07a5240ce3b8562d1d19cf86c,1000|10|7|2,1
27,zro2_120_formal,28,28,zro2_120_formal:m028,single,formal,,28,-3900.0,4400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,9,1.0,0.0,9.989,0.3221,0.2102607814675598,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,277777.7777777777,148.14722222222224,1000:10:4:9,F28,FQ:1000:10:4:9|N1,143,0.0072674111019691,9.989048480987549,0.3220712211231579,0.5180999427968471,-0.8482571589845281,-0.2447099531764281,-0.353784258747753,0.4289387730949569,0.7550180697432503,0.235452160216878,0.7939702951897054,603622c1fc454d943e7bccc8cb062a41eee8581cbcad34ffeb7de56c13a625ca,1000|10|9|4,4
28,zro2_120_formal,29,29,zro2_120_formal:m029,single,formal,,29,-3900.0,5000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,4,7,1.0,0.0002734375,39.5635,0.5222,0.2381367823531738,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,1428571.4285714286,761.9,1000:10:4:7,F29,FQ:1000:10:4:7|N4,99,0.0228807852553065,39.56353569030762,0.5222489243507809,-0.2516245196779825,-0.6824863239163869,0.7338116968139898,0.3999081358426423,0.3652046962555679,0.8950148339178446,0.0694701341304176,0.816862662363664,432bf64dffb15dc46bcf356604f79c43e0238dae3dca2dd01efd91c4d1703112,1000|10|7|4,4
29,zro2_120_formal,30,30,zro2_120_formal:m030,single,formal,,30,-3900.0,5600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,2,7,1.0,0.0,17.5765,0.3347,0.2025703016512185,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,476190.4761904762,253.96666666666667,1000:10:6:7,F30,FQ:1000:10:6:7|N2,118,0.0151563184647022,17.576498985290527,0.3347003218409163,1.346765676238331,-0.5972960389338273,0.3929375472045308,0.3444010261431133,0.6757951785952275,0.6262326218701938,0.1850278687821788,0.8010541631674892,a97bac9b2c736cc33758f16f5332b4e974ef6ef447181c619ab9ff02d88ffb89,1000|10|7|6,4
30,zro2_120_formal,31,31,zro2_120_formal:m031,single,formal,,31,-3900.0,6200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,2,9,1.0,0.0,10.0665,0.5314,0.1909103953566175,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,277777.7777777777,148.14722222222224,1000:10:8:9,F31,FQ:1000:10:8:9|N2,97,0.024030868946523,10.066497802734377,0.5314216325347324,1.6724032071369577,-0.2541646557020384,0.3290485027796266,-0.3603512909026506,0.8450779829639314,0.4270172017517478,0.5092059909120882,0.5865722267292373,4f7fcbe1719005d11d07758bb4161ee87609b38be4446916dc57c94322330ae2,1000|10|9|8,2
31,zro2_120_formal,32,32,zro2_120_formal:m032,single,formal,,32,-3900.0,6800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,3,1.0,0.0,48.3655,0.8646,0.2165499530815655,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,8333333.333333333,888.8833333333333,1000:50:4:3,F32,FQ:1000:50:4:3|N2,123,0.0125989397689619,48.365509033203125,0.8646365340298404,0.671325216242773,-0.5635128269541649,0.3786603922831226,0.4820217500915544,0.6693348850193571,0.6370850221099261,0.1707024288595301,0.7899355667086515,cc255d9703401474177cd4c742d77bceb1d9a5aa17481d0048411b58ddf9c519,1000|50|3|4,2
32,zro2_120_formal,33,33,zro2_120_formal:m033,single,formal,,33,-3900.0,7400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,5,11,1.0,0.0001171875,57.5403,0.8677,0.2243677764846512,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,5681818.181818182,606.0568181818181,1000:50:4:11,F33,FQ:1000:50:4:11|N5,74,0.0447277806765388,57.54034423828125,0.8677372999169544,-0.565884284435331,-0.4825939650621932,0.7043186880738525,0.3166514747184754,0.1659664491631545,0.9111624434698078,0.0169189552719907,0.8127654769571924,052788fd2e1aceae61efd5c34e8e3d76de906357c39fe9b8ec5b8912aaae073e,1000|50|11|4,4
33,zro2_120_formal,34,34,zro2_120_formal:m034,single,formal,,34,-3900.0,8000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,3,1.0,0.0,55.1854,0.5843,0.2342651482029892,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,8333333.333333333,888.8833333333334,1000:50:6:3,F34,FQ:1000:50:6:3|N3,91,0.0292645560759872,55.18541145324707,0.5843038896176586,-0.2612875819544632,-0.6896055104596677,-0.2579129074391673,-0.8547051457421744,0.4896822762180565,0.67606108777259,0.1165462314041232,0.780909761797037,8602be088ade4aa03b97055e8634fedfb21f0b6554c53366ac0e3df4de389311,1000|50|3|6,0
