"session_id","measurement_id","sample_id","roi_within_measurement","theta_session_deg","center_x_um","center_y_um","manual_width_um","manual_height_um","status"
"zro2_120_formal","18","18","single","-0.7000000000025182","-15.530616966514858","-3.923221068560262","204.09335210514962","210.6637618308687","PASS"
"zro2_120_formal","19","19","single","-0.7000000000025182","17.171364488525924","0.4000634352389191","208.61050879158142","210.25311122301127","PASS"
"zro2_120_formal","20","20","single","-0.7000000000025182","27.22543360247228","-6.654244782964368","202.66731898238757","205.2739726027398","PASS"
"zro2_120_formal","21","21","single","-0.7000000000025182","-9.598153462887725","19.86414429087493","202.66731898238748","206.57729941291583","PASS"
"zro2_120_formal","22","22","single","-0.7000000000025182","31.278426932390712","5.027052864933539","201.3639921722114","205.27397260273975","PASS"
"zro2_120_formal","23","23","single","-0.7000000000025182","16.863288241756667","-1.3139446553207712","193.54403131115455","203.97064579256363","PASS"
"zro2_120_formal","24","24","single","-0.7000000000025182","39.67439480220171","25.453401004026336","203.3189823874756","203.3189823874756","PASS"
"zro2_120_formal","25","25","single","-0.7000000000025182","-8.769287295262842","45.27592045272886","206.55725575229428","207.37855696800918","PASS"
"zro2_120_formal","26","26","single","-0.7000000000025182","11.420099154699754","6.573104264498129","195.4990215264189","203.97064579256363","PASS"
"zro2_120_formal","27","27","single","-0.7000000000025182","-27.656831800181564","-21.63969872035002","207.3785569680091","211.07441243872617","PASS"
"zro2_120_formal","28","28","single","-0.7000000000025182","-23.536938821034354","29.850462558011248","208.61050879158137","206.55725575229428","PASS"
"zro2_120_formal","29","29","single","-0.7000000000025182","-33.87769162490101","23.816586115544304","207.78920757586656","209.8424606151538","PASS"
"zro2_120_formal","30","30","single","-0.7000000000025182","-75.48113125253383","-3.1907509209560114","204.91465332086443","208.19985818372405","PASS"
"zro2_120_formal","31","31","single","-0.7000000000025182","-43.1048658295856","-8.719837018462668","199.16554481086024","207.7892075758666","PASS"
"zro2_120_formal","32","32","single","-0.7000000000025182","-51.933819043045936","-4.709515883862887","202.01565557729947","205.92563600782785","PASS"
"zro2_120_formal","33","33","single","-0.7000000000025182","-5.96846027441121","5.61095887888186","208.19985818372402","211.89571365444104","PASS"
"zro2_120_formal","34","34","single","-0.7000000000025182","-8.199996333384952","0.9474124943849708","200.71232876712327","202.6673189823875","PASS"
"zro2_120_formal","35","35","single","-0.7000000000025182","-5.307378063743658","9.29901314842134","207.78920757586656","204.50400271300705","PASS"
"zro2_120_formal","36","36","single","-0.7000000000025182","-12.749357673426587","1.9805642577753164","202.0156555772994","203.3189823874756","PASS"
"zro2_120_formal","37","37","single","-0.7000000000025182","-16.108536325509604","16.001880870940614","196.70164116371558","206.14660514443685","PASS"
"zro2_120_formal","38","38","single","-0.7000000000025182","-34.709206272215056","18.215812813219465","204.6223091976517","206.57729941291592","PASS"
"zro2_120_formal","39","39","single","-0.7000000000025182","-8.82774924399561","6.8779371932057405","207.3785569680091","206.96790636015172","PASS"
"zro2_120_formal","40","40","single","-0.7000000000025182","3.3425861794603358","12.211346974480152","202.66731898238757","205.92563600782785","PASS"
"zro2_120_formal","41","41","single","-0.7000000000025182","12.067733239744488","6.2393355065204","205.9256360078278","204.6223091976517","PASS"
"zro2_120_formal","42","42","single","-0.7000000000025182","-11.003379868225942","13.68075960095323","197.93359298728797","206.55725575229428","PASS"
"zro2_120_formal","43","43","single","-0.7000000000025182","-9.71382541921566","18.387838394421767","206.14660514443682","208.6105087915815","PASS"
"zro2_120_formal","44","44","single","-0.7000000000025182","-18.363716266315727","-4.1421044037834776","202.66731898238757","205.27397260273975","PASS"
"zro2_120_formal","45","45","single","-0.7000000000025182","-6.991694377980235","19.83229880141776","202.66731898238757","203.9706457925637","PASS"
"zro2_120_formal","46","46","single","-0.7000000000025182","-16.351856888241183","-3.913187230921862","207.3785569680091","209.02115939943894","PASS"
