dataset_index,target_block,band_valid,band_energy,undefined_reason
127,ILR,True,15285.095991734303,
127,8_16,True,274.9403815048711,
127,16_32,True,267.13876798442453,
128,ILR,True,18974.27979015995,
128,8_16,True,566.1022385241135,
128,16_32,True,229.8036086749676,
129,ILR,True,19569.49665666298,
129,8_16,True,583.3150168459161,
129,16_32,True,470.54347169693864,
130,ILR,True,6262.801720295064,
130,8_16,True,1194.1088643576811,
130,16_32,True,685.8728320173401,
131,ILR,True,7746.594504149222,
131,8_16,True,1162.0836535610174,
131,16_32,True,645.7736304769722,
132,ILR,True,2789.063463426127,
132,8_16,True,909.3558043397743,
132,16_32,True,311.88803354917013,
133,ILR,True,2643.518462059007,
133,8_16,True,1348.5262656095883,
133,16_32,True,640.3620328832967,
134,ILR,True,5915.062840463253,
134,8_16,True,800.7531382810764,
134,16_32,True,585.8700639701104,
135,ILR,True,3336.0689537340418,
135,8_16,True,573.9965861602504,
135,16_32,True,889.4961548060585,
136,ILR,True,11658.316744228867,
136,8_16,True,489.3324505294602,
136,16_32,True,336.0493456286752,
137,ILR,True,10638.077033773277,
137,8_16,True,148.2276924409997,
137,16_32,True,172.64317715349117,
138,ILR,True,9175.712186705772,
138,8_16,True,1105.7771079702884,
138,16_32,True,707.6070719542748,
139,ILR,True,1003.182297697148,
139,8_16,True,153.14088822406376,
139,16_32,True,99.06340397897152,
140,ILR,True,23312.13310912965,
140,8_16,True,6738.904850749685,
140,16_32,True,7249.471665598746,
141,ILR,True,12313.844545171954,
141,8_16,True,3826.948398859685,
141,16_32,True,4137.862153722802,
142,ILR,True,21966.012312625182,
142,8_16,True,2088.127249317934,
142,16_32,True,1374.7053976707668,
143,ILR,True,28232.30618899396,
143,8_16,True,1401.508363060992,
143,16_32,True,3577.9669396767204,
144,ILR,True,27293.53534172796,
144,8_16,True,1356.2220324527477,
144,16_32,True,935.0612575317485,
145,ILR,True,10780.519324657253,
145,8_16,True,426.6870106315847,
145,16_32,True,310.2869516128616,
146,ILR,True,11055.219488361896,
146,8_16,True,2287.839359589212,
146,16_32,True,1789.438489911137,
147,ILR,True,70810.60701745417,
147,8_16,True,438.4224695149687,
147,16_32,True,227.7015487069364,
148,ILR,True,13786.30526768318,
148,8_16,True,6391.130560988972,
148,16_32,True,2073.7859694038084,
149,ILR,True,178951.27536815504,
149,8_16,True,13304.813831022613,
149,16_32,True,10079.45246730139,
150,ILR,True,12418.858483754047,
150,8_16,True,686.7134291919874,
150,16_32,True,824.2736173423534,
151,ILR,True,15041.051865511721,
151,8_16,True,6964.053345362608,
151,16_32,True,19429.785162870125,
152,ILR,True,13230.9043303137,
152,8_16,True,156.77397280209067,
152,16_32,True,204.45402272917727,
153,ILR,True,1371295.669828688,
153,8_16,True,85065.58297431315,
153,16_32,True,185994.1954648623,
154,ILR,True,987595.9303950339,
154,8_16,True,7321.769403761233,
154,16_32,True,15091.640736408985,
155,ILR,True,134718.18016057,
155,8_16,True,3483.722853601912,
155,16_32,True,3409.196613287943,
156,ILR,True,4150.451950699619,
156,8_16,True,1222.5811317656035,
156,16_32,True,674.2552010031793,
157,ILR,True,33507.46526660401,
157,8_16,True,6090.026188192921,
157,16_32,True,3525.1708980867293,
158,ILR,True,4025.0406751010605,
158,8_16,True,1934.3843737279813,
158,16_32,True,1311.6178950506464,
159,ILR,True,17548.65230950332,
159,8_16,True,7637.487754729206,
159,16_32,True,1333.502046111958,
160,ILR,True,11571.03710467689,
160,8_16,True,6995.1548922926195,
160,16_32,True,1724.130112573307,
