dataset_index,target,observed_canonical,frozen_target,abs_error,passed
89,A_med,0.5361639130454028,0.5361639130454028,0.0,True
90,A_med,0.549210907458636,0.549210907458636,0.0,True
91,A_med,0.8918833631292288,0.8918833631292288,0.0,True
92,A_med,0.8039851853049615,0.8039851853049615,0.0,True
93,A_med,0.5899495626324645,0.5899495626324645,0.0,True
94,A_med,1.0370889597322765,1.0370889597322763,2.220446049250313e-16,True
95,A_med,0.7039122837654384,0.7039122837654384,0.0,True
96,A_med,0.4818403734605209,0.4818403734605209,0.0,True
97,A_med,0.2895653368065848,0.2895653368065848,0.0,True
98,A_med,0.49912301398059983,0.4991230139805998,5.551115123125783e-17,True
99,A_med,0.27914185779015094,0.2791418577901509,5.551115123125783e-17,True
100,A_med,0.296958313100732,0.296958313100732,0.0,True
101,A_med,0.5379812884155732,0.5379812884155732,0.0,True
102,A_med,0.3524489165453417,0.3524489165453417,0.0,True
103,A_med,0.521592084376508,0.521592084376508,0.0,True
104,A_med,0.3470460712314604,0.3470460712314604,0.0,True
105,A_med,0.3910787672317013,0.3910787672317013,0.0,True
106,A_med,0.6841640552731612,0.6841640552731612,0.0,True
107,A_med,0.4830880106310848,0.4830880106310848,0.0,True
108,A_med,1.7863424642167578,1.7863424642167578,0.0,True
109,A_med,2.4609507748652515,2.4609507748652515,0.0,True
110,A_med,1.5684377427191978,1.5684377427191978,0.0,True
111,A_med,1.7888994111767211,1.7888994111767211,0.0,True
112,A_med,0.34909492339384735,0.3490949233938473,5.551115123125783e-17,True
113,A_med,2.3363968848353256,2.3363968848353256,0.0,True
114,A_med,0.574357732843718,0.574357732843718,0.0,True
115,A_med,0.6500377846278316,0.6500377846278316,0.0,True
116,A_med,2.07890918977518,2.07890918977518,0.0,True
117,A_med,2.3091058020637543,2.3091058020637543,0.0,True
118,A_med,2.9278653796538636,2.927865379653864,4.440892098500626e-16,True
119,A_med,1.0268721775919039,1.026872177591904,2.220446049250313e-16,True
120,A_med,0.597389330003452,0.597389330003452,0.0,True
121,A_med,0.4706620161978533,0.4706620161978533,0.0,True
122,A_med,0.7383216024639595,0.7383216024639595,0.0,True
123,A_med,0.7088217393311486,0.7088217393311486,0.0,True
124,A_med,1.6789572208394665,1.6789572208394663,2.220446049250313e-16,True
125,A_med,0.5863284580064075,0.5863284580064075,0.0,True
126,A_med,0.9145511666527417,0.9145511666527416,1.1102230246251565e-16,True
127,A_med,0.7816636949329008,0.7816636949329008,0.0,True
128,A_med,0.8844601513450345,0.8844601513450345,0.0,True
129,A_med,0.9098665806604722,0.9098665806604722,0.0,True
130,A_med,0.49542326311262375,0.4954232631126237,5.551115123125783e-17,True
131,A_med,0.5505953840636293,0.5505953840636293,0.0,True
132,A_med,0.3300726153537977,0.3300726153537977,0.0,True
133,A_med,0.32172545237031785,0.3217254523703178,5.551115123125783e-17,True
134,A_med,0.4809806612437035,0.4809806612437035,0.0,True
135,A_med,0.36122069238370486,0.3612206923837048,5.551115123125783e-17,True
136,A_med,0.6844582064485378,0.6844582064485378,0.0,True
137,A_med,0.662377331186511,0.662377331186511,0.0,True
138,A_med,0.6024643051393862,0.6024643051393862,0.0,True
139,A_med,0.1980566039086306,0.1980566039086306,0.0,True
140,A_med,0.959109072017319,0.959109072017319,0.0,True
141,A_med,0.6944136245687857,0.6944136245687857,0.0,True
142,A_med,0.9280774694272794,0.9280774694272794,0.0,True
143,A_med,1.0504229163728909,1.0504229163728909,0.0,True
144,A_med,1.036980002959535,1.036980002959535,0.0,True
145,A_med,0.6497389289327914,0.6497389289327914,0.0,True
146,A_med,0.659438477701986,0.659438477701986,0.0,True
147,A_med,1.6758406679285174,1.6758406679285174,0.0,True
148,A_med,0.7338526483761812,0.7338526483761812,0.0,True
149,A_med,2.662279172226364,2.662279172226364,0.0,True
150,A_med,0.6965029271913271,0.6965029271913271,0.0,True
151,A_med,0.7665150671202016,0.7665150671202016,0.0,True
152,A_med,0.74713813784861,0.74713813784861,0.0,True
153,A_med,8.122106487674202,8.122106487674202,0.0,True
154,A_med,6.446011630432332,6.446011630432332,0.0,True
155,A_med,2.361630752316216,2.361630752316216,0.0,True
156,A_med,0.40458100053332485,0.4045810005333248,5.551115123125783e-17,True
157,A_med,1.1441207921488272,1.1441207921488272,0.0,True
158,A_med,0.39692859622470794,0.3969285962247079,5.551115123125783e-17,True
159,A_med,0.8280642057353272,0.8280642057353272,0.0,True
160,A_med,0.6724766275644843,0.6724766275644843,0.0,True
161,A_med,0.5462028958639663,0.5462028958639663,0.0,True
162,A_med,1.9060737479409817,1.9060737479409815,2.220446049250313e-16,True
163,A_med,0.5229164547125157,0.5229164547125157,0.0,True
164,A_med,0.8538736724649331,0.8538736724649331,0.0,True
165,A_med,0.9876146045801187,0.9876146045801188,1.1102230246251565e-16,True
166,A_med,1.3386709428656673,1.3386709428656671,2.220446049250313e-16,True
167,A_med,3.737893220079373,3.737893220079373,0.0,True
