job,vector,D_um,A_um,implausible_depth,all_finite,accepted,failure
domain_P11_74_w2.0_r0,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",1.5908179695658253,0.7561014736550994,False,True,True,
domain_P11_74_w3.0_r3,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",0.5581219004182684,0.30852904467240044,False,True,True,
domain_P11_74_w3.0_r1,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",1.7607779328247943,0.1783012050762145,False,True,True,
domain_P11_70_w3.0_r0,"[8.59297158531182, -16.08402331190966, -8.108870081298226, -0.34277407133386806, 0.2240306717857834, -0.64579142092614]",582.8731625944097,39.93304666578864,False,True,True,
domain_P11_75_w0.874_r3,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",0.1769495945925056,0.6347518285098949,False,True,True,
domain_P11_75_w0.874_r1,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",1.9930931903088347,0.8994078821356131,False,True,True,
domain_P11_75_w0.874_r0,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",2.9166098275998653,2.414420611134129,False,True,True,
domain_P11_75_w2.0_r3,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",2.007208186683607,0.3670418783397527,False,True,True,
domain_P11_75_w2.0_r1,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",7.966581378778436,0.278036280177052,False,True,True,
domain_P11_73_w0.874_r1,"[5.206167282187046, -15.717758047537087, -4.6312977576270855, -3.3109764433109206, 0.8706924883573022, -0.4699561356243236]",7871.5572346746485,2053.504301581973,True,True,True,
domain_P11_74_w3.0_r0,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",2.1797955973347545,0.2891812289041168,False,True,True,
domain_P11_75_w3.0_r3,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",4.211924123636737,0.39479994315874284,False,True,True,
domain_P11_75_w2.0_r0,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",12.421068116749787,1.1428480236624223,False,True,True,
domain_P11_76_w0.874_r3,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",0.013889452126183395,0.14327915196165192,False,True,True,
domain_P11_76_w0.874_r1,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",0.3423015913689744,0.18358439437248344,False,True,True,
domain_P11_76_w0.874_r0,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",0.42381171848550553,0.2949321281485464,False,True,True,
domain_P11_76_w2.0_r3,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",0.3947446272557887,0.09453195748233911,False,True,True,
domain_P11_75_w3.0_r1,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",16.348243409419226,0.24608302855346148,False,True,True,
domain_P11_73_w2.0_r1,"[5.206167282187046, -15.717758047537087, -4.6312977576270855, -3.3109764433109206, 0.8706924883573022, -0.4699561356243236]",9738.6154612139,260.5652750357567,True,True,True,
domain_P11_76_w2.0_r1,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",1.2795282561701469,0.08421764348759395,False,True,True,
domain_P11_73_w0.874_r0,"[5.206167282187046, -15.717758047537087, -4.6312977576270855, -3.3109764433109206, 0.8706924883573022, -0.4699561356243236]",10954.167311102652,4836.819459628062,True,True,True,
domain_P11_76_w3.0_r3,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",0.7683211737512716,0.060831533362992865,False,True,True,
domain_P11_75_w3.0_r0,"[5.464992728738333, -17.34971080403456, -2.3403788922265205, -0.700219661407929, 0.18876513613455215, -0.25155636306342866]",23.932142573943928,0.6647099896352457,False,True,True,
domain_P11_76_w2.0_r0,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",1.7049896101331479,0.129604225417609,False,True,True,
