descriptor,error,passed,reason,job,switch,waist_um,dataset_index,check
entropy_8_16,3.345692334288941e-10,True,,grid_3_P00_w2.0,P00,2.0,3,grid_to_direct_points
A2_16_32,1.2469324267350146e-05,True,,grid_3_P00_w2.0,P00,2.0,3,grid_to_direct_points
entropy_16_32,5.533753578756961e-06,True,,grid_3_P00_w2.0,P00,2.0,3,grid_to_direct_points
D,0.005423729572232594,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
A_med,0.0026905333637393817,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
ilr_z1,0.00011824722393788411,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
ilr_z2,0.00020368049474425829,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
ilr_z3,1.3078535065709807e-05,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
ilr_z4,2.361244947891167e-06,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
A2_8_16,5.330573327189114e-08,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
entropy_8_16,1.0426502503324553e-06,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
A2_16_32,1.2097017009549127e-05,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
entropy_16_32,9.031377536300456e-06,True,,grid_0_P00_w0.874,P00,0.874,0,grid_finest
D,0.0017981571393568287,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
A_med,0.0005253703849247109,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
ilr_z1,1.1143704177354587e-05,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
ilr_z2,1.2388860023841956e-05,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
ilr_z3,3.2700831854596476e-06,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
ilr_z4,5.775765887575113e-07,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
A2_8_16,2.3379179703297837e-09,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
entropy_8_16,1.4344915186259577e-07,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
A2_16_32,1.5728778836043844e-06,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
entropy_16_32,1.2686228156588708e-06,True,,grid_0_P00_w0.874,P00,0.874,0,grid_to_direct_points
D,0.0007972360663009734,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
A_med,0.003273725811608886,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
ilr_z1,0.001697578740191962,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
ilr_z2,0.0022162227784117013,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
ilr_z3,0.00044394493938511336,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
ilr_z4,8.149406740678641e-05,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
A2_8_16,1.5391579203383188e-06,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
entropy_8_16,1.565661323621459e-05,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
A2_16_32,9.31859289303727e-05,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
entropy_16_32,0.00010181368095438237,True,,grid_2_P00_w2.0,P00,2.0,2,grid_finest
D,0.00026553366242136205,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
A_med,0.0013383878013601567,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
ilr_z1,0.0012565181013983176,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
ilr_z2,0.0015445333158031528,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
ilr_z3,0.0003692700914227063,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
ilr_z4,6.79766494686429e-05,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
A2_8_16,8.608601298476515e-07,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
entropy_8_16,9.382730509904791e-06,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
A2_16_32,6.431849823218538e-05,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
entropy_16_32,7.120556797227118e-05,True,,grid_2_P00_w2.0,P00,2.0,2,grid_to_direct_points
D,0.00032455699807652034,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
A_med,0.0033938866932567576,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
ilr_z1,0.002408249410826348,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
ilr_z2,0.0019423488656334746,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
ilr_z3,0.0007636110751108038,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
ilr_z4,0.0001360366041053343,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
A2_8_16,8.213236757370623e-10,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
entropy_8_16,1.3407271462484438e-07,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
A2_16_32,0.00025062067664138876,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
entropy_16_32,2.395652802911208e-05,True,,grid_3_P00_w3.0,P00,3.0,3,grid_finest
D,0.00010815056500306883,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
A_med,0.0008767731178066202,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
ilr_z1,0.0010202983146056568,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
ilr_z2,0.0017799137414212982,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
ilr_z3,0.00019864103709765768,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
ilr_z4,3.526770241565717e-05,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
A2_8_16,5.720663054376018e-09,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
entropy_8_16,3.851375436625393e-08,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
A2_16_32,0.0015086916817149687,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
entropy_16_32,0.0003249219290608618,True,,grid_3_P00_w3.0,P00,3.0,3,grid_to_direct_points
D,0.0005495511136713944,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
A_med,0.0003616752740313869,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
