h,c,phi,lambda_peak,class_code
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,14.860994818258504,1
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.1875,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,14.860994818258504,1
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.25,,0
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,,0
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,,0
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,,0
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,,0
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
2.0,0.0,0.3125,14.860994818258504,1
