variant,fold,model,target,metric,score,n_train,n_test,alpha
full200_extrapolated,0,M1_u_plus_What,lambda_star_4_32,R2,0.4952926918367796,152,39,0.03162277660168379
full200_extrapolated,1,M1_u_plus_What,lambda_star_4_32,R2,0.38991704014719397,154,37,1.0
full200_extrapolated,2,M1_u_plus_What,lambda_star_4_32,R2,0.23773654435180658,152,39,10.0
full200_extrapolated,3,M1_u_plus_What,lambda_star_4_32,R2,0.435040832599059,153,38,0.1
full200_extrapolated,4,M1_u_plus_What,lambda_star_4_32,R2,0.251485907571413,153,38,0.1
full200_extrapolated,0,M2_h,p_8_16,R2,0.11747755046723463,160,40,0.001
full200_extrapolated,1,M2_h,p_8_16,R2,0.22530500333325987,160,40,1.0
full200_extrapolated,2,M2_h,p_8_16,R2,0.3186058175190424,160,40,3.1622776601683795
full200_extrapolated,3,M2_h,p_8_16,R2,0.25086841177132435,160,40,3.1622776601683795
full200_extrapolated,4,M2_h,p_8_16,R2,0.27282083194717754,160,40,3.1622776601683795
full200_extrapolated,0,M2_h,ilr_z2,R2,0.20336633333133736,160,40,1.0
full200_extrapolated,1,M2_h,ilr_z2,R2,0.2855324865332397,160,40,0.1
full200_extrapolated,2,M2_h,ilr_z2,R2,0.14824757282401613,160,40,0.001
full200_extrapolated,3,M2_h,ilr_z2,R2,0.10366999497063989,160,40,0.001
full200_extrapolated,4,M2_h,ilr_z2,R2,0.45119852853635734,160,40,10.0
full200_extrapolated,0,M2_h,ilr_z1_z4,Q2_Aitchison,0.018295905438893256,160,40,
full200_extrapolated,1,M2_h,ilr_z1_z4,Q2_Aitchison,0.05625108568793358,160,40,
full200_extrapolated,2,M2_h,ilr_z1_z4,Q2_Aitchison,0.1501491085792156,160,40,
full200_extrapolated,3,M2_h,ilr_z1_z4,Q2_Aitchison,0.1848323481801769,160,40,
full200_extrapolated,4,M2_h,ilr_z1_z4,Q2_Aitchison,0.14673466310305727,160,40,
full200_extrapolated,0,M2_h,A2_8_16,R2,0.34717443733811504,160,40,0.001
full200_extrapolated,1,M2_h,A2_8_16,R2,0.5965540150558737,160,40,0.001
full200_extrapolated,2,M2_h,A2_8_16,R2,0.6148538338006653,160,40,0.001
full200_extrapolated,3,M2_h,A2_8_16,R2,0.48616059927353805,160,40,1.0
full200_extrapolated,4,M2_h,A2_8_16,R2,0.43455945745580893,160,40,0.001
full200_extrapolated,0,M2_h,angular_entropy_8_16,R2,0.3431470158840577,160,40,0.001
full200_extrapolated,1,M2_h,angular_entropy_8_16,R2,0.5840179017599457,160,40,0.31622776601683794
full200_extrapolated,2,M2_h,angular_entropy_8_16,R2,0.581273301288258,160,40,0.1
full200_extrapolated,3,M2_h,angular_entropy_8_16,R2,0.5464738644443669,160,40,3.1622776601683795
full200_extrapolated,4,M2_h,angular_entropy_8_16,R2,0.36468993656455195,160,40,1.0
full200_extrapolated,0,M2_h,lambda_star_4_32,R2,-0.06221557370732711,152,39,3.1622776601683795
full200_extrapolated,1,M2_h,lambda_star_4_32,R2,0.019883435023468565,154,37,100.0
full200_extrapolated,2,M2_h,lambda_star_4_32,R2,-0.01114027733137668,152,39,100.0
full200_extrapolated,3,M2_h,lambda_star_4_32,R2,0.0807272745780272,153,38,31.622776601683793
full200_extrapolated,4,M2_h,lambda_star_4_32,R2,-0.014531773961310002,153,38,31.622776601683793
full200_extrapolated,0,M3_u_What_What_over_h,p_8_16,R2,0.43321710170579464,160,40,1.0
full200_extrapolated,1,M3_u_What_What_over_h,p_8_16,R2,0.46726602266095374,160,40,3.1622776601683795
full200_extrapolated,2,M3_u_What_What_over_h,p_8_16,R2,0.516756951406059,160,40,0.31622776601683794
full200_extrapolated,3,M3_u_What_What_over_h,p_8_16,R2,0.44197606268756773,160,40,1.0
full200_extrapolated,4,M3_u_What_What_over_h,p_8_16,R2,0.44200923494073274,160,40,1.0
full200_extrapolated,0,M3_u_What_What_over_h,ilr_z2,R2,0.30778343708855516,160,40,0.31622776601683794
full200_extrapolated,1,M3_u_What_What_over_h,ilr_z2,R2,0.3945948833045072,160,40,0.001
full200_extrapolated,2,M3_u_What_What_over_h,ilr_z2,R2,0.2179858634692743,160,40,3.1622776601683795
full200_extrapolated,3,M3_u_What_What_over_h,ilr_z2,R2,0.16468036701228028,160,40,1.0
full200_extrapolated,4,M3_u_What_What_over_h,ilr_z2,R2,0.42945550215533346,160,40,1.0
full200_extrapolated,0,M3_u_What_What_over_h,ilr_z1_z4,Q2_Aitchison,0.37253080847090936,160,40,
full200_extrapolated,1,M3_u_What_What_over_h,ilr_z1_z4,Q2_Aitchison,0.3187274886349859,160,40,
full200_extrapolated,2,M3_u_What_What_over_h,ilr_z1_z4,Q2_Aitchison,0.3191687832188267,160,40,
full200_extrapolated,3,M3_u_What_What_over_h,ilr_z1_z4,Q2_Aitchison,0.3716900328621704,160,40,
full200_extrapolated,4,M3_u_What_What_over_h,ilr_z1_z4,Q2_Aitchison,0.29314127742486296,160,40,
full200_extrapolated,0,M3_u_What_What_over_h,A2_8_16,R2,0.3041064259599985,160,40,0.001
full200_extrapolated,1,M3_u_What_What_over_h,A2_8_16,R2,0.6669977369046739,160,40,0.001
full200_extrapolated,2,M3_u_What_What_over_h,A2_8_16,R2,0.6755832795275085,160,40,0.03162277660168379
full200_extrapolated,3,M3_u_What_What_over_h,A2_8_16,R2,0.5457043513368978,160,40,1.0
full200_extrapolated,4,M3_u_What_What_over_h,A2_8_16,R2,0.4490674112315609,160,40,0.31622776601683794
full200_extrapolated,0,M3_u_What_What_over_h,angular_entropy_8_16,R2,0.35767407756765246,160,40,0.31622776601683794
full200_extrapolated,1,M3_u_What_What_over_h,angular_entropy_8_16,R2,0.6978352334005771,160,40,1.0
full200_extrapolated,2,M3_u_What_What_over_h,angular_entropy_8_16,R2,0.69067416344772,160,40,0.31622776601683794
full200_extrapolated,3,M3_u_What_What_over_h,angular_entropy_8_16,R2,0.6285220239709128,160,40,1.0
full200_extrapolated,4,M3_u_What_What_over_h,angular_entropy_8_16,R2,0.4226959446014926,160,40,1.0
full200_extrapolated,0,M3_u_What_What_over_h,lambda_star_4_32,R2,0.49901348776807675,152,39,0.0031622776601683794
full200_extrapolated,1,M3_u_What_What_over_h,lambda_star_4_32,R2,0.3891634734608529,154,37,1.0
full200_extrapolated,2,M3_u_What_What_over_h,lambda_star_4_32,R2,0.23765666423940535,152,39,10.0
full200_extrapolated,3,M3_u_What_What_over_h,lambda_star_4_32,R2,0.3944272024383917,153,38,10.0
full200_extrapolated,4,M3_u_What_What_over_h,lambda_star_4_32,R2,0.24778793715747827,153,38,0.1
full200_extrapolated,0,M_GEO_What_h_eta,p_8_16,R2,0.24188392807068726,160,40,1.0
full200_extrapolated,1,M_GEO_What_h_eta,p_8_16,R2,0.30604714146853584,160,40,1.0
full200_extrapolated,2,M_GEO_What_h_eta,p_8_16,R2,0.3737148635230497,160,40,3.1622776601683795
full200_extrapolated,3,M_GEO_What_h_eta,p_8_16,R2,0.2979397390770998,160,40,3.1622776601683795
full200_extrapolated,4,M_GEO_What_h_eta,p_8_16,R2,0.3246349053113722,160,40,3.1622776601683795
full200_extrapolated,0,M_GEO_What_h_eta,ilr_z2,R2,0.2735499919521198,160,40,1.0
full200_extrapolated,1,M_GEO_What_h_eta,ilr_z2,R2,0.3690928825140386,160,40,1.0
full200_extrapolated,2,M_GEO_What_h_eta,ilr_z2,R2,0.2491822050981103,160,40,1.0
full200_extrapolated,3,M_GEO_What_h_eta,ilr_z2,R2,0.16515573779847958,160,40,1.0
full200_extrapolated,4,M_GEO_What_h_eta,ilr_z2,R2,0.42826126266278675,160,40,1.0
full200_extrapolated,0,M_GEO_What_h_eta,ilr_z1_z4,Q2_Aitchison,0.14592667616397814,160,40,
full200_extrapolated,1,M_GEO_What_h_eta,ilr_z1_z4,Q2_Aitchison,0.11575035452772442,160,40,
full200_extrapolated,2,M_GEO_What_h_eta,ilr_z1_z4,Q2_Aitchison,0.1809793180503514,160,40,
full200_extrapolated,3,M_GEO_What_h_eta,ilr_z1_z4,Q2_Aitchison,0.24066493949638945,160,40,
full200_extrapolated,4,M_GEO_What_h_eta,ilr_z1_z4,Q2_Aitchison,0.17481589503875605,160,40,
full200_extrapolated,0,M_GEO_What_h_eta,A2_8_16,R2,0.3640852969941324,160,40,1.0
full200_extrapolated,1,M_GEO_What_h_eta,A2_8_16,R2,0.6326477211428843,160,40,0.31622776601683794
full200_extrapolated,2,M_GEO_What_h_eta,A2_8_16,R2,0.6198917703454008,160,40,1.0
full200_extrapolated,3,M_GEO_What_h_eta,A2_8_16,R2,0.4960792831120102,160,40,1.0
full200_extrapolated,4,M_GEO_What_h_eta,A2_8_16,R2,0.4272383055667016,160,40,1.0
full200_extrapolated,0,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.41022834314061396,160,40,1.0
full200_extrapolated,1,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.6596123202293251,160,40,0.31622776601683794
full200_extrapolated,2,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.5915423146348904,160,40,1.0
full200_extrapolated,3,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.5733335815614758,160,40,1.0
full200_extrapolated,4,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.3997372569517057,160,40,1.0
full200_extrapolated,0,M_GEO_What_h_eta,lambda_star_4_32,R2,0.3063984417112885,152,39,31.622776601683793
full200_extrapolated,1,M_GEO_What_h_eta,lambda_star_4_32,R2,0.23529890002528686,154,37,3.1622776601683795
full200_extrapolated,2,M_GEO_What_h_eta,lambda_star_4_32,R2,0.059173366814733286,152,39,10.0
full200_extrapolated,3,M_GEO_What_h_eta,lambda_star_4_32,R2,0.18851878327348637,153,38,31.622776601683793
full200_extrapolated,4,M_GEO_What_h_eta,lambda_star_4_32,R2,0.1387927738168493,153,38,10.0
spline_src_gkf,0,M0_u,p_8_16,R2,0.738305931810276,80,21,
spline_src_gkf,1,M0_u,p_8_16,R2,0.43820078924255257,81,20,
spline_src_gkf,2,M0_u,p_8_16,R2,0.6184216202148352,81,20,
spline_src_gkf,3,M0_u,p_8_16,R2,0.6003761971773396,81,20,
spline_src_gkf,4,M0_u,p_8_16,R2,0.5424625038689294,81,20,
spline_src_gkf,0,M0_u,ilr_z2,R2,0.6587145371865611,80,21,
spline_src_gkf,1,M0_u,ilr_z2,R2,0.6217843593568854,81,20,
spline_src_gkf,2,M0_u,ilr_z2,R2,0.6453892122095843,81,20,
spline_src_gkf,3,M0_u,ilr_z2,R2,0.4575304416351793,81,20,
spline_src_gkf,4,M0_u,ilr_z2,R2,0.383715208590121,81,20,
spline_src_gkf,0,M0_u,ilr_z1_z4,R2,0.39428866696396525,80,21,
spline_src_gkf,1,M0_u,ilr_z1_z4,R2,0.349296099600481,81,20,
spline_src_gkf,2,M0_u,ilr_z1_z4,R2,0.26763800769354334,81,20,
spline_src_gkf,3,M0_u,ilr_z1_z4,R2,0.300489530260584,81,20,
spline_src_gkf,4,M0_u,ilr_z1_z4,R2,0.27905926413052906,81,20,
spline_src_gkf,0,M0_u,A2_8_16,R2,0.6478452393223363,80,21,
spline_src_gkf,1,M0_u,A2_8_16,R2,0.816718184355589,81,20,
spline_src_gkf,2,M0_u,A2_8_16,R2,0.760446762665833,81,20,
spline_src_gkf,3,M0_u,A2_8_16,R2,0.5579047491140594,81,20,
spline_src_gkf,4,M0_u,A2_8_16,R2,0.6988781101829333,81,20,
spline_src_gkf,0,M0_u,angular_entropy_8_16,R2,0.6998923240300567,80,21,
spline_src_gkf,1,M0_u,angular_entropy_8_16,R2,0.7064451225474111,81,20,
spline_src_gkf,2,M0_u,angular_entropy_8_16,R2,0.7940110757789178,81,20,
spline_src_gkf,3,M0_u,angular_entropy_8_16,R2,0.6296383950476954,81,20,
spline_src_gkf,4,M0_u,angular_entropy_8_16,R2,0.7129568637872323,81,20,
spline_src_gkf,0,M0_u,lambda_star_4_32,R2,0.44391458512286774,75,21,
spline_src_gkf,1,M0_u,lambda_star_4_32,R2,0.029954467419318398,77,19,
spline_src_gkf,2,M0_u,lambda_star_4_32,R2,0.43539746346283437,77,19,
spline_src_gkf,3,M0_u,lambda_star_4_32,R2,0.6105097922106184,77,19,
spline_src_gkf,4,M0_u,lambda_star_4_32,R2,0.30370205307406317,78,18,
spline_src_gkf,0,M_GEO_What_h_eta,p_8_16,R2,0.5741636836617594,80,21,
spline_src_gkf,1,M_GEO_What_h_eta,p_8_16,R2,0.28137956976909506,81,20,
spline_src_gkf,2,M_GEO_What_h_eta,p_8_16,R2,0.5245614195675128,81,20,
spline_src_gkf,3,M_GEO_What_h_eta,p_8_16,R2,0.5687336209337406,81,20,
spline_src_gkf,4,M_GEO_What_h_eta,p_8_16,R2,0.3349073136959374,81,20,
spline_src_gkf,0,M_GEO_What_h_eta,ilr_z2,R2,0.5993974519484886,80,21,
spline_src_gkf,1,M_GEO_What_h_eta,ilr_z2,R2,0.5066568530079738,81,20,
spline_src_gkf,2,M_GEO_What_h_eta,ilr_z2,R2,0.48200062373730856,81,20,
spline_src_gkf,3,M_GEO_What_h_eta,ilr_z2,R2,0.32373123632986334,81,20,
spline_src_gkf,4,M_GEO_What_h_eta,ilr_z2,R2,0.455652217412438,81,20,
spline_src_gkf,0,M_GEO_What_h_eta,ilr_z1_z4,R2,0.2231680946786556,80,21,
spline_src_gkf,1,M_GEO_What_h_eta,ilr_z1_z4,R2,0.05138302334051564,81,20,
spline_src_gkf,2,M_GEO_What_h_eta,ilr_z1_z4,R2,0.20998719387358214,81,20,
spline_src_gkf,3,M_GEO_What_h_eta,ilr_z1_z4,R2,0.2584944822201542,81,20,
spline_src_gkf,4,M_GEO_What_h_eta,ilr_z1_z4,R2,0.12351976178089566,81,20,
spline_src_gkf,0,M_GEO_What_h_eta,A2_8_16,R2,0.7525815805046934,80,21,
spline_src_gkf,1,M_GEO_What_h_eta,A2_8_16,R2,0.7816186987270277,81,20,
spline_src_gkf,2,M_GEO_What_h_eta,A2_8_16,R2,0.7400345872863312,81,20,
spline_src_gkf,3,M_GEO_What_h_eta,A2_8_16,R2,0.666513311119366,81,20,
spline_src_gkf,4,M_GEO_What_h_eta,A2_8_16,R2,0.6671986321909354,81,20,
spline_src_gkf,0,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.7635565891057334,80,21,
spline_src_gkf,1,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.7174262531087678,81,20,
spline_src_gkf,2,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.7803091046743519,81,20,
spline_src_gkf,3,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.7031695368670101,81,20,
spline_src_gkf,4,M_GEO_What_h_eta,angular_entropy_8_16,R2,0.6483693526039824,81,20,
spline_src_gkf,0,M_GEO_What_h_eta,lambda_star_4_32,R2,0.385790304454496,75,21,
spline_src_gkf,1,M_GEO_What_h_eta,lambda_star_4_32,R2,-0.343804903445569,77,19,
spline_src_gkf,2,M_GEO_What_h_eta,lambda_star_4_32,R2,0.12915318174177282,77,19,
spline_src_gkf,3,M_GEO_What_h_eta,lambda_star_4_32,R2,0.2233900755311038,77,19,
spline_src_gkf,4,M_GEO_What_h_eta,lambda_star_4_32,R2,-0.2553503639996302,78,18,
