group,artifact,pixel_count,col_span_px,row_span_px,max_correction_um,mean_correction_um,centroid_row_frac,centroid_col_frac,edge_proximal
101,12,71,13,11,2.8168,1.2472,0.529,0.287,False
101,13,38,11,6,3.9456,1.5438,0.515,0.626,False
101,14,12,4,4,2.8651,1.0908,0.532,0.58,False
101,15,31,7,6,3.9124,1.535,0.58,0.319,False
101,16,30,7,7,3.6637,1.2497,0.585,0.33,False
101,17,124,15,19,4.5593,1.3617,0.757,0.61,False
101,18,175,21,19,6.7937,1.6368,0.805,0.253,False
101,19,228,23,22,4.6664,1.0428,0.836,0.627,False
101,20,41,15,15,3.8605,1.7901,0.786,0.415,False
101,21,22,6,6,1.9011,0.6616,0.725,0.644,False
101,22,26,19,5,1.2031,0.5667,0.794,0.712,False
101,23,146,33,11,1.8957,0.6813,0.945,0.225,False
101,24,33,9,9,1.2376,0.4158,0.921,0.241,False
104,1,117,26,11,2.6004,1.2077,0.267,0.74,False
104,2,200,27,21,6.1554,2.4781,0.387,0.341,False
104,3,260,28,38,12.5414,2.9624,0.527,0.32,False
104,4,551,35,37,9.3589,2.603,0.577,0.196,False
104,5,128,26,20,3.2751,1.7215,0.409,0.541,False
104,6,194,17,26,1.7699,0.6431,0.49,0.225,False
104,7,139,14,16,8.2086,2.0446,0.418,0.766,False
104,8,12,9,3,1.5669,0.7253,0.328,0.625,False
104,9,68,13,13,1.7875,0.688,0.496,0.489,False
104,10,13,4,7,1.6617,0.6595,0.507,0.441,False
104,11,20,6,4,1.6539,0.7644,0.484,0.556,False
104,12,171,39,22,10.1783,3.6292,0.69,0.354,False
104,13,4,3,2,1.4149,1.0904,0.516,0.628,False
104,14,91,22,12,3.8161,1.1909,0.753,0.261,False
104,15,3,3,3,0.7076,0.4003,0.696,0.595,False
116,1,347,31,32,4.6336,1.9443,0.342,0.176,False
116,2,882,39,56,6.4807,1.7139,0.49,0.83,False
116,3,346,28,37,3.5127,0.8015,0.369,0.782,False
116,4,45,18,10,2.1842,0.8015,0.319,0.59,False
116,5,76,19,11,2.1135,0.7422,0.332,0.798,False
116,6,12,7,4,1.5025,0.5823,0.311,0.605,False
116,7,19,8,5,2.6569,1.2868,0.441,0.57,False
116,8,21,10,6,2.0743,0.9623,0.473,0.582,False
116,9,297,16,28,5.707,1.5015,0.688,0.154,False
116,10,17,7,6,2.4571,0.9583,0.531,0.517,False
116,11,83,18,9,3.959,1.5139,0.572,0.338,False
116,12,63,22,20,4.6685,1.2149,0.694,0.408,False
116,13,67,22,12,4.1241,1.3977,0.623,0.523,False
116,14,7,3,3,2.3578,1.6028,0.551,0.725,False
116,15,6,3,3,3.4589,2.1871,0.712,0.324,False
116,16,20,5,6,1.4421,0.4326,0.737,0.801,False
116,17,144,23,14,1.3478,0.3962,0.807,0.181,False
116,18,11,4,5,1.5484,0.6038,0.74,0.33,False
116,19,28,18,11,6.1868,1.471,0.801,0.523,False
116,20,36,19,9,3.8047,1.3985,0.79,0.677,False
116,21,74,26,12,3.7028,1.1533,0.834,0.393,False
116,22,58,20,12,5.0739,1.5748,0.838,0.55,False
116,23,46,15,10,2.1044,0.5889,0.849,0.223,False
116,24,33,9,9,2.1528,0.6162,0.843,0.354,False
