dataset_index,model,target,fold,y_true,y_pred,abs_error,norm_abs_error
66,extratrees,A2_8_16,3,0.2086237848664153,0.3886007017352096,0.1799769168687943,0.34361418480541855
67,extratrees,A2_8_16,2,0.1389702903184148,0.4017405076772117,0.2627702173587969,0.47382373407474954
68,extratrees,A2_8_16,1,0.1387404482803542,0.3611003427727879,0.2223598944924337,0.39483754398965276
69,extratrees,A2_8_16,0,0.3852301354284596,0.1807278647074879,0.20450227072097169,0.3666806462114697
70,extratrees,A2_8_16,4,0.4825486762102814,0.616821301544255,0.13427262533397355,0.2491939914622974
71,extratrees,A2_8_16,3,0.6467381747535611,0.503928121984198,0.1428100527693631,0.27265474216417074
72,extratrees,A2_8_16,2,0.2830216597611039,0.2020187514696816,0.08100290829142229,0.14606335856224192
73,extratrees,A2_8_16,1,0.295870409956582,0.1709965170535142,0.12487389290306777,0.2217346850915686
74,extratrees,A2_8_16,0,0.1678917533058013,0.5057482984952908,0.3378565451894895,0.6057901258509213
75,extratrees,A2_8_16,4,0.651129169986947,0.2709505065842428,0.38017866340270423,0.7055662936989624
76,extratrees,A2_8_16,3,0.083768854819673,0.1618837349504011,0.07811488013072809,0.14913790792883103
77,extratrees,A2_8_16,2,0.8985651245461259,0.7714136079045281,0.12715151664159785,0.22927791061696062
78,extratrees,A2_8_16,1,0.9225443341069854,0.9378785976291852,0.015334263522199798,0.02722857447749648
79,extratrees,A2_8_16,0,0.1418646249048596,0.3249796765125219,0.1831150516076623,0.3283325178631307
80,extratrees,A2_8_16,4,0.1366693088974582,0.2060308093558028,0.0693615004583446,0.12872667909812263
81,extratrees,A2_8_16,3,0.2405499894321976,0.2067260570600747,0.03382393237212289,0.06457707550037371
82,extratrees,A2_8_16,2,0.4420795259907235,0.3064200663717201,0.1356594596190034,0.24461931936323753
83,extratrees,A2_8_16,1,0.0760164024676483,0.1499708372251145,0.0739544347574662,0.1313185880638856
84,extratrees,A2_8_16,0,0.5378573726755123,0.5555259436641463,0.017668570988634058,0.03168044542930921
85,extratrees,A2_8_16,4,0.5009035509801845,0.8495042483138211,0.34860069733363663,0.6469613517948367
86,extratrees,A2_8_16,3,0.9120660712770626,0.6363075593829008,0.2757585118941618,0.5264816061758915
87,extratrees,A2_8_16,2,0.7122089151266764,0.5126837839073122,0.19952513121936422,0.3597810424117632
88,extratrees,A2_8_16,1,0.425287499276247,0.6535152207001486,0.22822772142390158,0.4052568616434302
89,extratrees,A2_8_16,0,0.2868035260737672,0.3928042436684161,0.10600071759464891,0.19006347210451494
90,extratrees,A2_8_16,4,0.0926545779279746,0.278644028862262,0.18598945093428743,0.34517425672520463
91,extratrees,A2_8_16,3,0.8154333503903629,0.3346584915978779,0.480774858792485,0.917901384538962
92,extratrees,A2_8_16,2,0.7296207570683865,0.4985921649292566,0.23102859213912985,0.416587660906504
93,extratrees,A2_8_16,1,0.3076703818946668,0.3482027766890875,0.04053239479442072,0.07197211191873734
94,extratrees,A2_8_16,0,0.5708752952649504,0.6165016923936474,0.04562639712869698,0.08180993161821191
95,extratrees,A2_8_16,4,0.6851653508238845,0.5697891466707798,0.11537620415310468,0.21412448562146705
96,extratrees,A2_8_16,3,0.430670170129388,0.2274855147613607,0.20318465536802732,0.38792268994224566
