variant,fold,model,target,metric,score,alpha,n_train,n_test
src_gkf_inbox,0,M_minus_h,angular_entropy_8_16,R2,-0.007810959793548955,1000.0,80,21
src_gkf_inbox,1,M_minus_h,angular_entropy_8_16,R2,-0.0050688241712177895,1000.0,81,20
src_gkf_inbox,2,M_minus_h,angular_entropy_8_16,R2,-0.0047359338175192445,1000.0,81,20
src_gkf_inbox,3,M_minus_h,angular_entropy_8_16,R2,-0.26307355230795415,1000.0,81,20
src_gkf_inbox,4,M_minus_h,angular_entropy_8_16,R2,-0.07279161608645923,1000.0,81,20
src_gkf_inbox,0,M_h,p_8_16,R2,0.5080540763588918,0.001,80,21
src_gkf_inbox,1,M_h,p_8_16,R2,0.24391394004584377,3.1622776601683795,81,20
src_gkf_inbox,2,M_h,p_8_16,R2,0.3752068053636848,0.001,81,20
src_gkf_inbox,3,M_h,p_8_16,R2,0.5070829696218724,3.1622776601683795,81,20
src_gkf_inbox,4,M_h,p_8_16,R2,0.3606859093642111,0.31622776601683794,81,20
src_gkf_inbox,0,M_h,ilr_z1_z4,Q2_Aitchison,0.2964998255388629,3.1622776601683795,80,21
src_gkf_inbox,1,M_h,ilr_z1_z4,Q2_Aitchison,0.02521189353065567,3.1622776601683795,81,20
src_gkf_inbox,2,M_h,ilr_z1_z4,Q2_Aitchison,0.15757527500212554,3.1622776601683795,81,20
src_gkf_inbox,3,M_h,ilr_z1_z4,Q2_Aitchison,0.3250877614546531,10.0,81,20
src_gkf_inbox,4,M_h,ilr_z1_z4,Q2_Aitchison,0.19040144750073695,1.0,81,20
src_gkf_inbox,0,M_h,A2_8_16,R2,0.6984662505829828,3.1622776601683795,80,21
src_gkf_inbox,1,M_h,A2_8_16,R2,0.7563441136563038,1.0,81,20
src_gkf_inbox,2,M_h,A2_8_16,R2,0.6936992301423885,0.1,81,20
src_gkf_inbox,3,M_h,A2_8_16,R2,0.6708433356054638,0.001,81,20
src_gkf_inbox,4,M_h,A2_8_16,R2,0.6668329467143569,0.001,81,20
src_gkf_inbox,0,M_h,angular_entropy_8_16,R2,0.6813504246157533,3.1622776601683795,80,21
src_gkf_inbox,1,M_h,angular_entropy_8_16,R2,0.6453546327128528,1.0,81,20
src_gkf_inbox,2,M_h,angular_entropy_8_16,R2,0.7275455836849327,0.001,81,20
