加工顺序,s_um,depth_p95_um,width_um,included_in_stable_region
1,-33,4.832256033,8.562732682,1
1,-32,4.53751285,8.506625157,1
1,-31,4.714610094,8.089584234,1
1,-30,4.506818579,8.143234567,1
1,-29,4.376375733,8.423991683,1
1,-28,4.275218654,8.489193061,1
1,-27,4.439267065,8.774647443,1
1,-26,4.500291233,9.066099405,1
1,-25,4.416194065,8.500670902,1
1,-24,4.433762383,8.652944913,1
1,-23,4.643555585,8.756195417,1
1,-22,4.739404023,8.726319912,1
1,-21,4.717517331,8.677746674,1
1,-20,4.738399033,8.57504032,1
1,-19,4.668175238,8.531021876,1
1,-18,4.65578873,8.416631114,1
1,-17,4.694599711,9.027273517,1
1,-16,4.838131469,8.958796126,1
1,-15,4.635907197,8.844111762,1
1,-14,4.564745848,9.009667472,1
1,-13,4.621756573,9.292476209,1
1,-12,4.608252701,9.287778822,1
1,-11,4.552866703,9.045333595,1
1,-10,4.983654518,8.998819555,1
1,-9,4.846377615,9.312324793,1
1,-8,4.77034128,9.569843331,1
1,-7,4.69627424,9.020247285,1
1,-6,4.51371379,8.782924373,1
1,-5,4.163338001,8.306563978,1
1,-4,4.183569611,7.707248662,1
1,-3,3.793814975,7.185975381,1
1,-2,3.810225042,7.274687747,1
1,-1,3.816280749,7.496648575,1
1,0,3.822378508,8.21140326,1
1,1,4.04959379,8.293997278,1
1,2,4.440953306,8.620190991,1
1,3,4.60527421,8.759194985,1
1,4,4.734692565,8.42892732,1
1,5,4.832925894,8.194621425,1
1,6,4.731309805,8.402447675,1
1,7,4.242296881,8.277070811,1
1,8,3.954155212,8.472014185,1
1,9,4.050891325,8.608904894,1
1,10,4.082668286,8.873828757,1
1,11,4.081404229,8.730791012,1
1,12,4.05110736,9.102042712,1
1,13,4.304979719,9.55721873,1
1,14,4.505332981,8.771136645,1
1,15,4.605168915,8.646868036,1
1,16,4.293813663,8.880402891,1
1,17,4.37552603,8.511739383,1
1,18,4.332795582,8.231538845,1
1,19,4.490142994,8.00432876,1
1,20,4.421615846,7.914706062,1
1,21,4.309139924,8.214393725,1
1,22,4.46004693,8.041452292,1
1,23,4.590089013,7.940690103,1
1,24,4.639337148,7.922570226,1
1,25,4.00539951,7.824017277,1
1,26,3.727501069,7.825622735,1
1,27,3.805090497,8.069983298,1
1,28,4.017045685,8.53938122,1
1,29,4.29684524,8.823799415,1
1,30,2.918008397,8.611488071,1
1,31,2.945217462,9.398898508,1
1,32,3.347754732,9.366404446,1
1,33,4.1965693,8.895487123,1
1,34,4.142749007,9.059645951,1
1,35,4.4996559,9.203140039,1
1,36,4.748357285,8.744121607,1
1,37,4.728253381,8.801820563,1
1,38,4.413422453,9.365626907,1
1,39,4.829001234,9.746856448,1
1,40,4.910520716,9.777355067,1
1,41,4.949480919,9.788638798,1
1,42,4.798596202,9.781442564,1
1,43,4.830959631,9.200666066,1
1,44,5.112187972,9.063581904,1
1,45,5.113802323,8.424461231,1
1,46,4.849413963,7.503350868,1
1,47,4.515993165,7.152419711,1
1,48,4.518913115,7.155334106,1
1,49,3.85314067,7.833609433,1
1,50,4.088748296,7.786617704,1
1,51,4.188452899,7.911173719,1
1,52,4.283026553,8.098046039,1
1,53,4.83155221,7.990047422,1
1,54,4.964811769,8.092340766,1
1,55,5.10303333,8.121841834,1
1,56,4.731842283,8.332695361,1
1,57,5.118308778,8.729597116,1
1,58,5.141801241,8.410039399,1
1,59,5.105613639,8.322590849,1
1,60,5.408182471,8.547989269,1
1,61,5.301309631,8.781459052,1
1,62,5.249454991,8.508003371,1
1,63,5.458176561,8.43747809,1
1,64,5.666080311,8.354563203,1
1,65,5.604299855,8.006165841,1
1,66,5.372479743,8.307014217,1
1,67,5.54078626,8.636877552,1
1,68,5.244246447,8.236905583,1
1,69,5.045307946,8.045921569,1
1,70,5.198143118,7.468571,1
1,71,5.336288536,7.88830461,1
1,72,5.579322823,8.694647256,1
1,73,5.648410389,9.875428212,0
1,74,5.723613732,9.652841575,0
1,75,5.676021697,8.792653418,0
1,76,5.369494871,8.143783187,0
1,77,6.014312413,8.371783961,0
1,78,6.354918714,8.834777186,0
1,79,6.273529795,9.148977603,0
1,80,6.01302041,8.993230843,0
1,81,6.215300302,8.689245997,0
1,82,6.274920608,8.544571865,0
1,83,6.020085731,8.755273688,0
1,84,4.97679943,9.035598045,0
1,85,4.454812751,8.495484541,0
1,86,4.399426125,8.880177699,0
1,87,6.067451352,8.856600114,0
1,88,5.659902731,8.607892877,0
1,89,5.190364824,8.500760919,0
1,90,4.517151855,8.219103587,0
1,91,3.719261758,7.925937282,0
1,92,3.474431393,7.919848527,0
1,93,3.737816299,8.168749771,0
1,94,3.666995308,8.127682101,0
1,95,3.82878946,7.807330404,0
1,96,5.46054952,8.384333481,0
1,97,6.93136221,9.158176789,0
1,98,7.135130028,9.45580237,0
1,99,6.798768481,9.440791123,0
1,100,4.376023757,9.246479705,0
