target,variant,model,fold,skill_q2,alpha,n_train,n_test
Ot_ent,proc_gkf,full,0,0.6955295353222753,0.31622776601683794,160,40
Ot_ent,proc_gkf,full,1,0.6449446532640573,3.1622776601683795,160,40
Ot_ent,proc_gkf,full,2,0.7420697390393854,0.001,160,40
Ot_ent,proc_gkf,full,3,0.2972509054022139,3.1622776601683795,160,40
Ot_ent,proc_gkf,full,4,0.43188311939451096,0.001,160,40
Ot_ent,proc_gkf,h_only,0,0.6639637432817527,1.0,160,40
Ot_ent,proc_gkf,h_only,1,0.5730638657762053,3.1622776601683795,160,40
Ot_ent,proc_gkf,h_only,2,0.6325843556125155,3.1622776601683795,160,40
Ot_ent,proc_gkf,h_only,3,0.1909947578800304,1.0,160,40
Ot_ent,proc_gkf,h_only,4,0.48413923431954153,1.0,160,40
Ot_ent,proc_gkf,minus_h,0,0.00013255364477049447,1000.0,160,40
Ot_ent,proc_gkf,minus_h,1,0.02705448164062041,316.22776601683796,160,40
Ot_ent,proc_gkf,minus_h,2,0.014047281240879506,1000.0,160,40
Ot_ent,proc_gkf,minus_h,3,0.01859636496062833,316.22776601683796,160,40
Ot_ent,proc_gkf,minus_h,4,-0.19919735165652175,100.0,160,40
Ot_ent,proc_gkf,dummy,0,0.0,,160,40
Ot_ent,proc_gkf,dummy,1,0.0,,160,40
Ot_ent,proc_gkf,dummy,2,0.0,,160,40
Ot_ent,proc_gkf,dummy,3,0.0,,160,40
Ot_ent,proc_gkf,dummy,4,0.0,,160,40
Ot_A2_16_32,src_gkf,full,0,0.20986306828195533,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,full,1,0.1385861314563489,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,full,2,0.017492263939601127,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,full,3,0.2202890349019202,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,full,4,0.142907040635617,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,h_only,0,0.2339626076877167,3.1622776601683795,160,40
Ot_A2_16_32,src_gkf,h_only,1,0.10350494999256843,31.622776601683793,160,40
Ot_A2_16_32,src_gkf,h_only,2,0.16783456428004018,3.1622776601683795,160,40
Ot_A2_16_32,src_gkf,h_only,3,0.24128186345874947,0.31622776601683794,160,40
Ot_A2_16_32,src_gkf,h_only,4,0.11274625670223426,0.001,160,40
Ot_A2_16_32,src_gkf,minus_h,0,0.00389202552488066,316.22776601683796,160,40
Ot_A2_16_32,src_gkf,minus_h,1,0.007525789508300851,1000.0,160,40
Ot_A2_16_32,src_gkf,minus_h,2,-0.09156614791615403,100.0,160,40
Ot_A2_16_32,src_gkf,minus_h,3,0.0015838020762403149,1000.0,160,40
Ot_A2_16_32,src_gkf,minus_h,4,0.002344443905551441,1000.0,160,40
Ot_A2_16_32,src_gkf,dummy,0,0.0,,160,40
Ot_A2_16_32,src_gkf,dummy,1,0.0,,160,40
Ot_A2_16_32,src_gkf,dummy,2,0.0,,160,40
Ot_A2_16_32,src_gkf,dummy,3,0.0,,160,40
Ot_A2_16_32,src_gkf,dummy,4,0.0,,160,40
Ot_ent_16_32,src_gkf,full,0,0.21586490669122393,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,full,1,0.14370802412743688,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,full,2,0.004321370692691451,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,full,3,0.2656246718559352,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,full,4,0.08552570006042504,31.622776601683793,160,40
Ot_ent_16_32,src_gkf,h_only,0,0.2623043828384307,1.0,160,40
Ot_ent_16_32,src_gkf,h_only,1,0.1381927899628057,10.0,160,40
Ot_ent_16_32,src_gkf,h_only,2,0.14422244242616877,1.0,160,40
Ot_ent_16_32,src_gkf,h_only,3,0.30433871373611776,3.1622776601683795,160,40
Ot_ent_16_32,src_gkf,h_only,4,0.07855579424508918,0.001,160,40
Ot_ent_16_32,src_gkf,minus_h,0,-0.002192403052321934,1000.0,160,40
Ot_ent_16_32,src_gkf,minus_h,1,0.0007922743700228274,1000.0,160,40
Ot_ent_16_32,src_gkf,minus_h,2,-0.01647593670544567,1000.0,160,40
Ot_ent_16_32,src_gkf,minus_h,3,-0.0010479446435311957,1000.0,160,40
Ot_ent_16_32,src_gkf,minus_h,4,-0.007101890630502483,1000.0,160,40
Ot_ent_16_32,src_gkf,dummy,0,0.0,,160,40
Ot_ent_16_32,src_gkf,dummy,1,0.0,,160,40
Ot_ent_16_32,src_gkf,dummy,2,0.0,,160,40
Ot_ent_16_32,src_gkf,dummy,3,0.0,,160,40
Ot_ent_16_32,src_gkf,dummy,4,0.0,,160,40
Ot_joint,src_gkf,full,0,0.442654028628496,1.0,160,40
Ot_joint,src_gkf,full,1,0.6630364901524536,3.1622776601683795,160,40
Ot_joint,src_gkf,full,2,0.6618278136360567,3.1622776601683795,160,40
Ot_joint,src_gkf,full,3,0.6614075057238205,10.0,160,40
Ot_joint,src_gkf,full,4,0.43578133112473627,0.31622776601683794,160,40
