depth_bin,metric,predictor,n,spearman,spearman_p,depth_min,depth_max
D_Q3,p_64_inf,N,45,-0.15157898718892476,0.32023860651518615,25.7712,44.4284
D_Q3,p_64_inf,Q_log10,45,-0.2386616874200756,0.11437039418043601,25.7712,44.4284
D_Q3,dc_offset_frac,N,45,0.100386629242847,0.5117439925552318,25.7712,44.4284
D_Q3,dc_offset_frac,Q_log10,45,0.2253917014805361,0.13657771712134414,25.7712,44.4284
D_Q3,dc_to_non_dc_ratio,N,45,0.100386629242847,0.5117439925552318,25.7712,44.4284
D_Q3,dc_to_non_dc_ratio,Q_log10,45,0.2253917014805361,0.13657771712134414,25.7712,44.4284
D_Q3,spectral_centroid_log_um,N,45,-0.02197895314239409,0.8860472981220361,25.7712,44.4284
D_Q3,spectral_centroid_log_um,Q_log10,45,-0.09955790446181853,0.5152525688531316,25.7712,44.4284
D_Q3,spectral_entropy,N,45,0.1558507586460672,0.30662828531010033,25.7712,44.4284
D_Q3,spectral_entropy,Q_log10,45,0.35505464867086217,0.01669707336969187,25.7712,44.4284
D_Q3,effective_band_number,N,45,0.1558507586460672,0.30662828531010033,25.7712,44.4284
D_Q3,effective_band_number,Q_log10,45,0.35505464867086217,0.01669707336969187,25.7712,44.4284
D_Q3,lambda_peak_um,N,45,-0.060681163910900913,0.6921256153891989,25.7712,44.4284
D_Q3,lambda_peak_um,Q_log10,45,-0.037873612355546975,0.804905846512583,25.7712,44.4284
D_Q3,A2_8_16,N,45,-0.018740674779721606,0.9027491566014375,25.7712,44.4284
D_Q3,A2_8_16,Q_log10,45,-0.4470202726200089,0.0020804781898990836,25.7712,44.4284
D_Q3,A2_16_32,N,45,-0.08784691302994503,0.5660873440564079,25.7712,44.4284
D_Q3,A2_16_32,Q_log10,45,-0.42655412515106733,0.0034789551748144565,25.7712,44.4284
D_Q3,A2_32_64,N,45,0.38818000628291005,0.00841551578932664,25.7712,44.4284
D_Q3,A2_32_64,Q_log10,45,0.21529066740715533,0.15552313986859415,25.7712,44.4284
D_Q3,angular_entropy_8_16,N,45,0.14785841204883296,0.33239822896647303,25.7712,44.4284
D_Q3,angular_entropy_8_16,Q_log10,45,0.5037973268886852,0.0004185594243200225,25.7712,44.4284
D_Q3,Sq_um,N,45,-0.0954947619290226,0.5326273110348221,25.7712,44.4284
D_Q3,Sq_um,Q_log10,45,-0.28943093710915946,0.05380230896545975,25.7712,44.4284
D_Q3,Sa_um,N,45,-0.21799814339352633,0.150266200371852,25.7712,44.4284
D_Q3,Sa_um,Q_log10,45,-0.4456998760091094,0.002152704670613801,25.7712,44.4284
D_Q3,rms_DCT_8_16_um,N,45,-0.12553496120828225,0.411262059317822,25.7712,44.4284
D_Q3,rms_DCT_8_16_um,Q_log10,45,-0.3056057955926777,0.041200669559934094,25.7712,44.4284
D_Q3,rms_DCT_16_32_um,N,45,-0.029282304343315014,0.8485687666796646,25.7712,44.4284
D_Q3,rms_DCT_16_32_um,Q_log10,45,-0.1716515594169285,0.2595464130348,25.7712,44.4284
D_Q3,rms_DCT_32_64_um,N,45,-0.06428327047603037,0.6748325416403818,25.7712,44.4284
D_Q3,rms_DCT_32_64_um,Q_log10,45,-0.046543980534205616,0.7614288568909868,25.7712,44.4284
D_Q3,rms_DCT_64_inf_um,N,45,-0.1011445241787916,0.5085458527435447,25.7712,44.4284
D_Q3,rms_DCT_64_inf_um,Q_log10,45,-0.2918076510087785,0.05177683055811982,25.7712,44.4284
D_Q3,E_DCT_8_16_frac,N,45,0.016329190892625075,0.9152141420859301,25.7712,44.4284
D_Q3,E_DCT_8_16_frac,Q_log10,45,-0.01505252136425373,0.9218216032568493,25.7712,44.4284
D_Q3,E_DCT_16_32_frac,N,45,0.20587182441841234,0.17485978690967255,25.7712,44.4284
D_Q3,E_DCT_16_32_frac,Q_log10,45,0.14927083686218284,0.3277486803245039,25.7712,44.4284
D_Q3,E_DCT_32_64_frac,N,45,0.16584119189260993,0.27626348972920234,25.7712,44.4284
D_Q3,E_DCT_32_64_frac,Q_log10,45,0.3327399459466614,0.025526580870023546,25.7712,44.4284
D_Q3,E_DCT_64_inf_frac,N,45,-0.16074262595989156,0.2915034489180413,25.7712,44.4284
D_Q3,E_DCT_64_inf_frac,Q_log10,45,-0.2279664748717901,0.1320356451852042,25.7712,44.4284
D_Q4,p_lt8,N,45,-0.027966858997731922,0.8552973443768275,44.5562,65.0842
D_Q4,p_lt8,Q_log10,45,0.21623412426615934,0.15367622112299978,44.5562,65.0842
D_Q4,p_8_16,N,45,-0.021752001442680382,0.8872163274299947,44.5562,65.0842
D_Q4,p_8_16,Q_log10,45,0.19493483151189098,0.19941639222503715,44.5562,65.0842
D_Q4,p_16_32,N,45,0.2931341146799309,0.050673430670773886,44.5562,65.0842
D_Q4,p_16_32,Q_log10,45,-0.057680072303484535,0.7066529778020211,44.5562,65.0842
D_Q4,p_32_64,N,45,-0.2920983050874223,0.05153341030396603,44.5562,65.0842
D_Q4,p_32_64,Q_log10,45,0.04875024459594965,0.7504749595255775,44.5562,65.0842
D_Q4,p_64_inf,N,45,-0.08459111672153481,0.5806208796428729,44.5562,65.0842
D_Q4,p_64_inf,Q_log10,45,-0.29812395168784955,0.04669167432111612,44.5562,65.0842
D_Q4,dc_offset_frac,N,45,-0.24859430220206155,0.09962832410755382,44.5562,65.0842
D_Q4,dc_offset_frac,Q_log10,45,0.11390491342500043,0.45625637482058146,44.5562,65.0842
D_Q4,dc_to_non_dc_ratio,N,45,-0.24859430220206155,0.09962832410755382,44.5562,65.0842
D_Q4,dc_to_non_dc_ratio,Q_log10,45,0.11390491342500043,0.45625637482058146,44.5562,65.0842
D_Q4,spectral_centroid_log_um,N,45,-0.08010260848733093,0.6009287025928929,44.5562,65.0842
D_Q4,spectral_centroid_log_um,Q_log10,45,-0.2143820118527447,0.15731724421533233,44.5562,65.0842
D_Q4,spectral_entropy,N,45,-0.06145803582217632,0.6883825046792542,44.5562,65.0842
