direction,target,predictor,controls,n,partial_r2,std_beta,partial_spearman,target_min,target_max,predictor_min,predictor_max
process_to_spectrum,E_DCT_16_32_frac,D,N+Q_log10,180,0.1296507575783417,0.4541184211868039,0.38783910315930337,0.0085989698688193,0.55833397676849,0.0514,65.0842
process_to_spectrum,E_DCT_16_32_frac,N,D+Q_log10,180,0.000518959438732458,-0.027446912030582502,-0.10073292093252775,0.0085989698688193,0.55833397676849,1.0,5.0
process_to_spectrum,E_DCT_16_32_frac,Q_log10,D+N,180,0.004647790227444169,-0.08200205970088763,-0.0036997428006423604,0.0085989698688193,0.55833397676849,1.425966017923287,3.6478147675396433
process_to_spectrum,E_DCT_32_64_frac,D,N+Q_log10,180,0.21113921706591432,0.5496045246353635,0.49154900605337043,0.0041942239005982,0.4903173149968517,0.0514,65.0842
process_to_spectrum,E_DCT_32_64_frac,N,D+Q_log10,180,0.029529432353035272,-0.18970906748945995,-0.21955698837867496,0.0041942239005982,0.4903173149968517,1.0,5.0
process_to_spectrum,E_DCT_32_64_frac,Q_log10,D+N,180,0.02390912416682805,0.16957595158843086,0.21325332341618516,0.0041942239005982,0.4903173149968517,1.425966017923287,3.6478147675396433
process_to_spectrum,E_DCT_64_inf_frac,D,N+Q_log10,180,0.015099999810396727,0.15533989874034962,0.18796783267641892,0.0067649234893713,0.901263674605876,0.0514,65.0842
process_to_spectrum,E_DCT_64_inf_frac,N,D+Q_log10,180,0.004011426043125813,0.08150767920648068,0.02302003072933118,0.0067649234893713,0.901263674605876,1.0,5.0
process_to_spectrum,E_DCT_64_inf_frac,Q_log10,D+N,180,9.531010232900743e-06,0.003950241794718116,0.02906917976385359,0.0067649234893713,0.901263674605876,1.425966017923287,3.6478147675396433
spectrum_to_depth,D,p_lt8,N+Q_log10,180,0.18036909669682963,-0.35132360684546565,-0.4234192245253096,0.0514,65.0842,0.0018144156918754,0.5068174730020572
spectrum_to_depth,D,p_8_16,N+Q_log10,180,0.11758836812343747,-0.2836754092460096,-0.28152374663620744,0.0514,65.0842,0.0024359757659457,0.9126072594872168
spectrum_to_depth,D,p_16_32,N+Q_log10,180,0.13948288105305648,0.2964579200478999,0.401132703514563,0.0514,65.0842,0.0091307090722022,0.5822239904747101
spectrum_to_depth,D,p_32_64,N+Q_log10,180,0.21760680054799125,0.39020253220235224,0.4997470166863978,0.0514,65.0842,0.0041942539928453,0.5207961743870223
