session_id,measurement_id,sample_id,roi_within_measurement,cag_path,mapping_provenance,plane_a,plane_b,plane_c,plane_rmse_um,sigma_ref_um,theta_line_deg,orientation_center_x_um,orientation_center_y_um,orientation_threshold_um,orientation_signal_pixels,orientation_confident,crop_center_x_um,crop_center_y_um,crop_length_um,crop_pixels,raw_width_um,raw_height_um,valid_pixel_ratio
zro2_120_line,28,28,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.016241747736110333,0.009285134101524761,16.376310297389274,0.6987621954571803,0.6397156104769849,0.12903427066964923,51.90775870296117,1.2842027918720023,2.5588624419079395,11531,True,0.0,0.0,289.3842079316443,1000,285.344768,17.834048,1.0
zro2_120_line,29,29,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.004146409784507175,0.013576918465639076,10.685487806182218,0.31281387729651144,0.2981062282627996,-0.4431161074599288,0.09475760589976394,0.35026650759566497,1.1924249130511984,19430,True,0.0,0.0,289.4741587031884,1000,285.344768,17.834048,1.0
zro2_120_line,30,30,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.003981439969879424,0.01853164375149685,13.578962516188703,0.2372142375815317,0.21923012237727454,-0.36259904124577247,5.0715520128794385,0.686871920887944,0.8769204895090982,22041,True,0.0,0.0,289.45191677748653,1000,285.344768,17.834048,1.0
zro2_120_line,31,31,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0043779050622084975,0.012518414649033582,20.42671561974106,0.2846943775926769,0.2661028875256491,-0.634746305769454,-12.337845972378782,1.1521638468178281,1.0644115501025964,20753,True,0.0,0.0,289.5248267283665,1000,285.344768,17.834048,1.0
zro2_120_line,32,32,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.005196646706019638,0.023282330551396946,18.642815987975542,0.305260724827331,0.2849979877280733,-0.38017212986369486,0.5262980288426392,-0.17351113643551352,1.139991950912293,19743,True,0.0,0.0,289.45681923587676,1000,285.344768,17.834048,1.0
zro2_120_line,33,33,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.003399896527018878,0.018460564687566627,10.808354443380441,0.2659190809696135,0.2389292035618109,-0.5386191875496422,-9.342730091262741,-0.23108011515825852,0.9557168142472436,15687,True,0.0,0.0,289.4998094193527,1000,285.344768,17.834048,1.0
zro2_120_line,34,34,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0034397285864032653,0.018788079695560178,10.6562240976609,0.2638937543533642,0.25008539159602916,-0.5740417221501275,-11.65336885034461,0.298158125702441,1.0003415663841166,21171,True,0.0,0.0,289.5091217255314,1000,285.344768,17.834048,1.0
zro2_120_line,35,35,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0023190193321319676,0.012109276862076968,9.435031535991927,0.28245144963392355,0.27275020715315956,-0.5159335450220226,6.11235033897051,0.16420610476200442,1.0910008286126383,16826,True,0.0,0.0,289.4937882201767,1000,285.344768,17.834048,1.0
zro2_120_line,36,36,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0027853934034761706,0.019923005619318146,8.16316298817056,0.2773933272510751,0.26755997736974013,-0.4493831287822445,-0.8695195398402871,0.5094305237306643,1.0702399094789605,17454,True,0.0,0.0,289.4758662493502,1000,285.344768,17.834048,1.0
zro2_120_line,37,37,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.003094932894652372,0.018214660500516677,9.651238776237895,0.2330813045162092,0.22463191410083838,-0.4771852400716625,5.955560587140102,1.1874773631460538,0.8985276564033535,16140,True,0.0,0.0,289.4834001766453,1000,285.344768,17.834048,1.0
