session_id,sample_id,design_row_id,cag_measurement_id,roi_within_measurement,mapping_rule,mapping_provenance,mapping_status
zro2_60_pass,12,12,6,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,13,13,7,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,14,14,7,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,15,15,8,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,16,16,8,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,17,17,9,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,18,18,9,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,19,19,10,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,20,20,10,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,21,21,11,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,22,22,11,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,23,23,12,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,24,24,12,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,25,25,13,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,26,26,13,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,27,27,14,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,28,28,14,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,29,29,15,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,30,30,15,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,31,31,16,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,32,32,16,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,33,33,17,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,34,34,17,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,35,35,18,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,36,36,18,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,37,37,19,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,38,38,19,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,39,39,20,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,40,40,20,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,41,41,21,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,42,42,21,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,43,43,22,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,44,44,22,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,45,45,23,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,46,46,23,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,47,47,24,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,48,48,24,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,49,49,25,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,50,50,25,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,51,51,26,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,52,52,26,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,53,53,27,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,54,54,27,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,55,55,28,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,56,56,28,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,57,57,29,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,58,58,29,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,59,59,30,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,60,60,30,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,1,1,1,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,2,2,1,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,3,3,2,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,4,4,2,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,5,5,3,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,6,6,3,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,7,7,4,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,8,8,4,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,9,9,5,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,10,10,5,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,11,11,6,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,12,12,6,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,13,13,7,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,14,14,7,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,15,15,8,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,16,16,8,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,17,17,9,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,18,18,9,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,19,19,10,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_20_supplement,20,20,10,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
