session_id,group,data_name,slot_1_sample_id,slot_2_sample_id,width,height,dx_um,dy_um,z_step_pm,n_valid,n_invalid,valid_fraction,z_min_um,z_max_um,z_mean_um,mask_source,mask_is_fabricated,timestamp,original_name,lut_structural_ok,lut_derived_bytes,lut_verified,lut_seam_ratio,lut_seam_headroom,lut_seam_conclusive,decoded,error
zro2_120_formal,44,44,44,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,65.677,54.214,cag_raw_sentinel,False,2026-05-22 22:40:25,MeasureData20260522224028,True,776,,,,,True,
zro2_120_formal,45,45,45,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,63.78,52.395,cag_raw_sentinel,False,2026-05-22 22:42:11,MeasureData20260522224214,True,776,,,,,True,
zro2_120_formal,46,46,46,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,65.864,54.538,cag_raw_sentinel,False,2026-05-22 22:43:57,MeasureData20260522224401,True,776,,,,,True,
zro2_120_formal,47,47,47,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,57.635,46.632,cag_raw_sentinel,False,2026-05-22 22:45:27,MeasureData20260522224531,True,776,,,,,True,
zro2_120_formal,48,48,48,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,60.138,49.18,cag_raw_sentinel,False,2026-05-22 22:47:07,MeasureData20260522224711,True,776,,,,,True,
zro2_120_formal,49,49,49,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,27.188,19.335,cag_raw_sentinel,False,2026-05-22 22:48:58,MeasureData20260522224902,True,776,,,,,True,
zro2_120_formal,50,50,50,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,26.664,19.285,cag_raw_sentinel,False,2026-05-22 22:50:01,MeasureData20260522225005,True,776,,,,,True,
zro2_120_formal,51,51,51,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,28.203,20.485,cag_raw_sentinel,False,2026-05-22 22:51:06,MeasureData20260522225110,True,776,,,,,True,
zro2_120_formal,52,52,52,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,50.094,39.47,cag_raw_sentinel,False,2026-05-22 22:52:10,MeasureData20260522225217,True,776,,,,,True,
zro2_120_formal,53,53,53,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,45.904,35.851,cag_raw_sentinel,False,2026-05-22 22:54:48,MeasureData20260522225452,True,776,,,,,True,
