session_id,measurement_id,cag_data_name,expected_csv_filename,expected_csv_relative_path,slot_1_sample_id,slot_2_sample_id,design_factor_tuple,depth_proxy_max_pass,depth_band,selection_reason,existing_official_csv,action_required,depth_proxy_um,robust_range_um,iqr_um,n_distinct_levels,valid_fraction,width,height,flip_norm_x,flip_norm_y,direction_min_flip_norm,transposition_structurally_impossible
zro2_120_formal,56,56,56_高度.csv,氧化锆/pass实验数据/csv文件/120正式/56_高度.csv,56,,"('2', '58400', '50', '0.004', '5')",2.0,-1,not_selected,False,export_from_keyence,42.555,46.368,5.162999999999997,47382,1.0,2048,1536,0.030193236714975813,0.0977613871635611,0.030193236714975813,True
zro2_120_formal,57,57,57_高度.csv,氧化锆/pass实验数据/csv文件/120正式/57_高度.csv,57,,"('3', '58400', '50', '0.004', '9')",3.0,-1,not_selected,False,export_from_keyence,47.352,49.291,3.4440000000000026,52618,1.0,2048,1536,0.025643626625550364,0.0453023878598528,0.025643626625550364,True
zro2_120_formal,58,58,58_高度.csv,氧化锆/pass实验数据/csv文件/120正式/58_高度.csv,58,,"('3', '58400', '50', '0.006', '9')",3.0,-1,existing_official_export,True,none,44.786,50.284,4.884999999999998,54308,1.0,2048,1536,0.03533927292975899,0.08823880359557722,0.03533927292975899,True
zro2_120_formal,59,59,59_高度.csv,氧化锆/pass实验数据/csv文件/120正式/59_高度.csv,59,,"('4', '58400', '50', '0.006', '3')",4.0,-1,not_selected,False,export_from_keyence,53.949999999999996,59.650999999999996,4.990000000000002,62115,1.0,2048,1536,0.034333037166183335,0.0748520561264689,0.034333037166183335,True
zro2_120_formal,60,60,60_高度.csv,氧化锆/pass实验数据/csv文件/120正式/60_高度.csv,60,,"('1', '58400', '50', '0.01', '5')",1.0,-1,not_selected,False,export_from_keyence,4.899000000000001,10.029,4.345999999999998,14822,1.0,2048,1536,0.1756904975570845,0.42347193139894307,0.1756904975570845,True
zro2_120_formal,61,61,61_高度.csv,氧化锆/pass实验数据/csv文件/120正式/61_高度.csv,61,,"('2', '58400', '100', '0.004', '11')",2.0,-1,not_selected,False,export_from_keyence,47.844,53.144,4.911000000000001,55977,1.0,2048,1536,0.029410657835315282,0.08095928044558186,0.029410657835315282,True
zro2_120_formal,62,62,62_高度.csv,氧化锆/pass实验数据/csv文件/120正式/62_高度.csv,62,,"('5', '58400', '100', '0.004', '9')",5.0,-1,not_selected,False,export_from_keyence,60.88000000000001,66.801,5.141000000000005,69132,1.0,2048,1536,0.034610260325444196,0.07058277570695054,0.034610260325444196,True
zro2_120_formal,63,63,63_高度.csv,氧化锆/pass实验数据/csv文件/120正式/63_高度.csv,63,,"('4', '58400', '100', '0.006', '5')",4.0,-1,not_selected,False,export_from_keyence,59.828,65.018,4.945,65714,1.0,2048,1536,0.02751545725799012,0.06947306899627789,0.02751545725799012,True
zro2_120_formal,64,64,64_高度.csv,氧化锆/pass实验数据/csv文件/120正式/64_高度.csv,64,,"('2', '58400', '100', '0.008', '5')",2.0,-1,not_selected,False,export_from_keyence,37.381,41.927,4.868000000000002,44323,1.0,2048,1536,0.012545614997495558,0.10038877095904794,0.012545614997495558,True
zro2_120_formal,65,65,65_高度.csv,氧化锆/pass实验数据/csv文件/120正式/65_高度.csv,65,,"('2', '58400', '100', '0.008', '11')",2.0,-1,not_selected,False,export_from_keyence,36.669,41.82,4.755000000000003,44118,1.0,2048,1536,0.022046867527498733,0.10078909612625546,0.022046867527498733,True
zro2_120_formal,66,66,66_高度.csv,氧化锆/pass实验数据/csv文件/120正式/66_高度.csv,66,,"('1', '58400', '200', '0.002', '5')",1.0,-1,not_selected,False,export_from_keyence,38.329,43.616,5.097999999999999,42244,1.0,2048,1536,0.03452861335289802,0.10525953778429936,0.03452861335289802,True
zro2_120_formal,67,67,67_高度.csv,氧化锆/pass实验数据/csv文件/120正式/67_高度.csv,67,,"('3', '58400', '200', '0.002', '5')",3.0,-1,not_selected,False,export_from_keyence,60.06400000000001,65.44,5.075999999999993,68783,1.0,2048,1536,0.0238080684596577,0.07299816625916872,0.0238080684596577,True
zro2_120_formal,68,68,68_高度.csv,氧化锆/pass实验数据/csv文件/120正式/68_高度.csv,68,,"('5', '58400', '200', '0.002', '11')",5.0,-1,not_selected,False,export_from_keyence,62.897000000000006,68.23400000000001,4.828000000000003,70154,1.0,2048,1536,0.026262567048685424,0.06662367734560491,0.026262567048685424,True
zro2_120_formal,69,69,69_高度.csv,氧化锆/pass实验数据/csv文件/120正式/69_高度.csv,69,,"('1', '58400', '200', '0.004', '7')",1.0,-1,not_selected,False,export_from_keyence,9.464000000000002,14.749000000000002,4.564,23832,1.0,2048,1536,0.09607431012272016,0.2712048274459285,0.09607431012272016,True
zro2_120_formal,70,70,70_高度.csv,氧化锆/pass实验数据/csv文件/120正式/70_高度.csv,70,,"('4', '58400', '200', '0.004', '9')",4.0,-1,not_selected,False,export_from_keyence,61.143,66.682,4.774000000000008,68638,1.0,2048,1536,0.022734771002669466,0.06625476140487686,0.022734771002669466,True
zro2_120_formal,71,71,71_高度.csv,氧化锆/pass实验数据/csv文件/120正式/71_高度.csv,71,,"('2', '58400', '200', '0.01', '3')",2.0,-1,not_selected,False,export_from_keyence,21.778000000000002,27.410999999999998,4.820999999999998,36219,1.0,2048,1536,0.07380248805224167,0.16464193207106642,0.07380248805224167,True
zro2_120_formal,72,72,72_高度.csv,氧化锆/pass实验数据/csv文件/120正式/72_高度.csv,72,,"('5', '58400', '200', '0.01', '3')",5.0,-1,not_selected,False,export_from_keyence,49.055,54.774,5.216000000000001,56574,1.0,2048,1536,0.025596085734107443,0.08210099682331033,0.025596085734107443,True
zro2_120_formal,73,73,73_高度.csv,氧化锆/pass实验数据/csv文件/120正式/73_高度.csv,73,,"('5', '87300', '2', '0.002', '5')",5.0,-1,not_selected,False,export_from_keyence,28.986729999999994,34.861729999999994,5.0219999999999985,41280,1.0,2048,1536,0.05708265195100766,0.1222544033242183,0.05708265195100766,True
zro2_120_formal,74,74,74_高度.csv,氧化锆/pass实验数据/csv文件/120正式/74_高度.csv,74,,"('5', '87300', '2', '0.002', '11')",5.0,-1,not_selected,False,export_from_keyence,27.664,33.243,4.716999999999999,42900,1.0,2048,1536,0.05180037902716365,0.12562043136901008,0.05180037902716365,True
zro2_120_formal,75,75,75_高度.csv,氧化锆/pass实验数据/csv文件/120正式/75_高度.csv,75,,"('1', '87300', '2', '0.006', '5')",1.0,-1,not_selected,False,export_from_keyence,4.832000000000001,10.176,4.192,23620,1.0,2048,1536,0.15585691823899372,0.4067413522012578,0.15585691823899372,True
