session_id,measurement_id,cag_data_name,csv_path,csv_source_type,shape_match,pitch_pass,height_decision,mask_decision,overall_decision,compared_pixels,cag_invalid_pixels,height_mismatch_pixels,max_abs_difference_um,median_abs_difference_um,rmse_um,orientation_best_transform,fixed_pixel_checks_pass,csv_sha256,cag_sha256,error
zro2_60_pass,15,29 30,氧化锆/pass实验数据/csv文件/fixture/60pass/29 30_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,870a6d152380e1628a74d90b78a2aa55c33bb59f349dd866dfe90e11ab023c3e,9b9d1ed67d2e1268584506fa27779c6f23c8253bdc884dfad11c5c6612ad3fe0,
zro2_20_supplement,1,1 2,氧化锆/pass实验数据/csv文件/20补充pass/1 2_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,dfd108c6633f99b3d9458d86921113070c04993cd80a6b27fdb9ad98fdedf53c,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,2,3 4,氧化锆/pass实验数据/csv文件/20补充pass/3 4_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,2c0913b38b1d2665c4f275f03e95fe28be98afa312ac52a211a4d42229d37d68,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,3,5 6,氧化锆/pass实验数据/csv文件/20补充pass/5 6_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,967217b308ac05db42115f4b45262cdd0ff1726353caf18ced562f3854d2465e,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,4,7 8,氧化锆/pass实验数据/csv文件/20补充pass/7 8_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,03de5035481144cf976e1f4f90f956ddfe5f4fe3ef303b00fde27bf2d8586a61,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,5,9 10,氧化锆/pass实验数据/csv文件/20补充pass/9 10_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,60077a06b9733519b7cea74223dd58b8f7129ffe6d437469dfed5756f3057841,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,6,11 12,氧化锆/pass实验数据/csv文件/20补充pass/11 12_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,55d945f0493d0b1f787cab153574ac406e4477854f7a7799c68cd25c8e4283d5,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,7,13 14,氧化锆/pass实验数据/csv文件/20补充pass/13 14_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,afa09a5aa218f50dd6bbc71a55d01dcd67ab7674375a4ea92dc88213f89b70df,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,8,15 16,氧化锆/pass实验数据/csv文件/20补充pass/15 16_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,301307b111df1ef77aa9dd8f99f139fe2d70d9cca7f26b9156016720afa6ce61,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,9,17 18,氧化锆/pass实验数据/csv文件/20补充pass/17 18_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,431b590e729d9fe7c789757b2aabb13566ab0ad6775f99efd162c787d7133f54,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
zro2_20_supplement,10,19 20,氧化锆/pass实验数据/csv文件/20补充pass/19 20_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,55d83952eadc93129fa2db414c996df7cce3fa9462324cc58eca7ab7560c5109,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9,
