single_line_id,theta_line_deg,L_detected_um,s_start_um,s_end_um,stable_start_um,stable_end_um,n_cones_repaired,n_repair_pixels,qc_auto_flags,n_sections_total,n_sections_used,median_W20_um,iqr_W20_um,p10_W20_um,p90_W20_um,censored_frac_W20,n_uncensored_sections_W20,median_W50_um,iqr_W50_um,p10_W50_um,p90_W50_um,censored_frac_W50,n_uncensored_sections_W50,median_W80_um,iqr_W80_um,p10_W80_um,p90_W80_um,censored_frac_W80,n_uncensored_sections_W80,CV_W50,median_W_eq_um,median_max_depth_um,width_identifiability,n_sections_total_rep,n_sections_used_rep,median_W20_um_rep,iqr_W20_um_rep,p10_W20_um_rep,p90_W20_um_rep,censored_frac_W20_rep,n_uncensored_sections_W20_rep,median_W50_um_rep,iqr_W50_um_rep,p10_W50_um_rep,p90_W50_um_rep,censored_frac_W50_rep,n_uncensored_sections_W50_rep,median_W80_um_rep,iqr_W80_um_rep,p10_W80_um_rep,p90_W80_um_rep,censored_frac_W80_rep,n_uncensored_sections_W80_rep,CV_W50_rep,median_W_eq_um_rep,median_max_depth_um_rep,width_identifiability_rep
33,-0.5386191875496422,83.0,-71.33554547985051,11.66445452014949,-94.33554547985051,9.66445452014949,0,0,threshold_width_relative_range_above|short_visible_length,48,48,6.897620315433365,0.715080287962925,6.36793462539127,7.9734449243570875,0.0,48,5.107347107571531,0.7254118487563099,4.1099651027951065,5.780032979677285,0.0,48,3.0885898993583734,0.9406626495753101,2.083932282811422,4.01783277581159,0.0,48,0.1420330033337469,5.29318344892579,4.230541286556399,estimable,48,48,6.897620315433365,0.715080287962925,6.36793462539127,7.9734449243570875,0.0,48,5.107347107571531,0.7254118487563099,4.1099651027951065,5.780032979677285,0.0,48,3.0885898993583734,0.9406626495753101,2.083932282811422,4.01783277581159,0.0,48,0.1420330033337469,5.29318344892579,4.230541286556399,estimable
34,-0.5740417221501275,208.0,-103.02559118519949,104.97440881480051,-102.02559118519949,102.97440881480051,1,212,threshold_width_relative_range_above,94,94,7.889749988112692,0.9990425462748735,6.697844790386711,8.7346261851849,0.0,94,5.32370973592462,1.1258952676920986,3.853859933297096,6.361703898073544,0.0,94,2.6206111695054988,1.074114923471345,1.6260442192823694,3.7777888212291635,0.0,94,0.21148697497433216,5.413559435272733,5.755801308827696,estimable,94,94,7.907953884512358,1.003055224846774,6.734008458032463,8.825684019338151,0.0,94,5.333342496036171,1.1592802236451707,3.899812761349102,6.361703898073544,0.0,94,2.6206111695054988,1.074114923471345,1.6380437062616624,3.7777888212291635,0.0,94,0.21736466849949482,5.426678850265377,5.755801308827696,estimable
35,-0.5159335450220226,168.0,-70.79076667211527,97.20923332788473,-96.79076667211527,94.20923332788473,0,0,threshold_width_relative_range_above,92,92,7.410255542266938,0.7931108498121757,6.575596411056089,8.481268688484564,0.0,92,5.526049933041469,0.8372671768136151,4.5940895724544175,6.173012465792732,0.0,92,3.0220319714046227,1.0425684079053865,1.7482998593645154,3.876320302239433,0.0,92,0.15151277801661006,5.5742749934138445,3.312459735638008,estimable,92,92,7.410255542266938,0.7931108498121757,6.575596411056089,8.481268688484564,0.0,92,5.526049933041469,0.8372671768136151,4.5940895724544175,6.173012465792732,0.0,92,3.0220319714046227,1.0425684079053865,1.7482998593645154,3.876320302239433,0.0,92,0.15151277801661006,5.5742749934138445,3.312459735638008,estimable
36,-0.4493831287822445,207.0,-106.8072261462116,100.1927738537884,-104.8072261462116,95.1927738537884,1,137,threshold_width_relative_range_above,97,97,7.048901484526551,0.8703326750371359,5.949315533644053,7.787420283907159,0.0,97,4.879516367106321,1.2238825219024072,3.652990969650331,5.830260676512508,0.0,97,2.4454568404759653,1.0795339741211385,1.5802809530710742,3.6657913281641723,0.0,97,0.2508204563371925,5.06784798223613,4.394949126859631,estimable,97,97,7.048901484526551,0.8703326750371359,5.949315533644053,7.787420283907159,0.0,97,4.879516367106321,1.2238825219024072,3.652990969650331,5.830260676512508,0.0,97,2.4454568404759653,1.0795339741211385,1.5802809530710742,3.6657913281641723,0.0,97,0.2508204563371925,5.06784798223613,4.394949126859631,estimable
37,-0.4771852400716625,197.0,-103.63309938651429,93.36690061348571,,,0,0,few_sections|fragmented_stable_region,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections
38,-0.4933797718846051,201.0,-102.92599529468023,98.07400470531977,-98.92599529468023,96.07400470531977,1,266,ok,92,92,6.760269910613972,0.5557750372803527,6.117395096086079,7.35545889651021,0.0,92,4.848963942743562,0.5913441564821094,4.254807293391575,5.299088690960738,0.0,92,2.927047092764535,0.6347568528183603,2.205657580765912,3.5378218698197172,0.0,92,0.12195268174081836,5.017740629161321,5.781053201629396,estimable,92,92,6.7771440991962475,0.5541084740924616,6.174420173173843,7.361172134573805,0.0,92,4.869517028345615,0.5989263753098015,4.2779663632570335,5.302044322800048,0.0,92,2.927047092764535,0.6347568528183603,2.205657580765912,3.5378218698197172,0.0,92,0.1229950263698498,5.017740629161321,5.771617962337103,estimable
39,-0.4899537282410335,207.0,-102.24367568031934,104.75632431968066,-97.24367568031934,55.75632431968066,0,0,threshold_width_relative_range_above,65,65,6.722192862076531,0.5690389656083097,6.128871097437928,7.359938851582535,0.0,65,4.494032820640529,0.8382542923871981,3.6029357358442318,5.276831908399931,0.0,65,2.3522921836998867,1.0305732718167677,1.5332679783324952,3.3354027887941333,0.0,65,0.18652607264842422,4.623804946946089,16.384743416251524,estimable,65,65,6.722192862076531,0.5690389656083097,6.128871097437928,7.359938851582535,0.0,65,4.494032820640529,0.8382542923871981,3.6029357358442318,5.276831908399931,0.0,65,2.3522921836998867,1.0305732718167677,1.5332679783324952,3.3354027887941333,0.0,65,0.18652607264842422,4.623804946946089,16.384743416251524,estimable
40,-0.5317002139022122,196.0,-98.94256513967323,97.05743486032677,-97.94256513967323,93.05743486032677,2,760,threshold_width_relative_range_above,93,93,6.745319359509094,0.6636561323378034,6.228535610428549,7.539635711463213,0.0,93,4.752275904617341,0.8489213578936923,4.080413050150935,5.485343200674146,0.0,93,2.557593056073747,0.8971168644677912,1.7394211822313468,3.634657229169056,0.0,93,0.1786346952349452,4.835281082598658,5.448777057659424,estimable,93,93,6.795244337743334,0.6774954802745583,6.276302785616109,7.625352214832968,0.0,93,4.804292307890316,0.8296969126477407,4.080413050150935,5.617084215111712,0.0,93,2.5268553213515257,0.9154550952377298,1.529803721336508,3.634657229169056,0.0,93,0.17269909062050415,4.852560640525112,5.4020757701917494,estimable
41,-0.5415958481623022,208.0,-95.44716707847641,112.55283292152359,,,0,0,few_sections|fragmented_stable_region,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections
42,-0.8791616606493733,57.0,-86.72008364157966,-29.720083641579663,-86.72008364157966,105.27991635842034,0,0,threshold_width_relative_range_above|short_visible_length,70,70,5.281229025359173,0.8625591918066107,4.6113846200131885,6.148383923773489,0.0,70,3.787930362997085,0.6568035845921929,3.1020636714571643,4.344701785153235,0.014285714285714285,69,1.9929125506175644,0.8328087854483146,1.2156229708075683,2.7172726148322783,0.02857142857142857,68,0.17339378543182007,4.267684219825467,2.162384657547988,estimable,70,70,5.281229025359173,0.8625591918066107,4.6113846200131885,6.148383923773489,0.0,70,3.787930362997085,0.6568035845921929,3.1020636714571643,4.344701785153235,0.014285714285714285,69,1.9929125506175644,0.8328087854483146,1.2156229708075683,2.7172726148322783,0.02857142857142857,68,0.17339378543182007,4.267684219825467,2.162384657547988,estimable
