dataset_index,hatch_spacing_um,lambda_star_4_32_um,lambda_star_valid,lambda_peak_4_32_um,lambda_peak_valid,r_h,r_h_peak,d_int,d_int_peak,class_code,class_name
169,2.0,11.80156011694523,True,,False,5.900780058472615,,2.9007800584726158,,0,INVALID
170,2.0,10.992604555676673,True,,False,5.496302277838336,,2.4963022778383364,,0,INVALID
171,2.0,13.021054880614985,True,,False,6.510527440307492,,3.5105274403074924,,0,INVALID
172,10.0,9.407459257280316,True,9.450672659117906,True,0.9407459257280316,0.9450672659117906,0.0592540742719684,0.0549327340882094,2,m1
173,10.0,10.56715703018984,True,9.450672659117906,True,1.056715703018984,0.9450672659117906,0.0567157030189839,0.0549327340882094,2,m1
174,10.0,10.19269859979156,True,9.450672659117906,True,1.019269859979156,0.9450672659117906,0.019269859979156,0.0549327340882094,2,m1
175,10.0,17.38592853614663,True,,False,1.7385928536146629,,0.2614071463853371,,0,INVALID
176,6.0,16.934453385495903,True,,False,2.8224088975826507,,0.1775911024173493,,0,INVALID
177,6.0,10.025623028224508,True,6.010042719351759,True,1.6709371713707517,1.0016737865586265,0.3290628286292485,0.0016737865586264,2,m1
178,6.0,12.71262711631094,True,,False,2.1187711860518235,,0.1187711860518234,,0,INVALID
179,6.0,12.903457466297608,True,,False,2.150576244382935,,0.1505762443829348,,0,INVALID
180,10.0,11.81471575262988,True,11.851008286901518,True,1.181471575262988,1.185100828690152,0.181471575262988,0.1851008286901518,2,m1
181,10.0,13.459631624030925,True,18.63547485933348,True,1.3459631624030926,1.863547485933348,0.3459631624030925,0.1364525140666519,3,m2
182,10.0,15.652923642651269,True,18.63547485933348,True,1.5652923642651269,1.863547485933348,0.4347076357348731,0.1364525140666519,3,m2
183,10.0,11.121279222471848,True,9.450672659117906,True,1.112127922247185,0.9450672659117906,0.1121279222471849,0.0549327340882094,2,m1
184,4.0,10.8895821832711,True,,False,2.722395545817775,,0.2776044541822249,,0,INVALID
185,4.0,9.844185813333066,True,,False,2.4610464533332665,,0.4610464533332665,,0,INVALID
186,4.0,9.56283765931253,True,,False,2.3907094148281325,,0.3907094148281325,,0,INVALID
187,4.0,9.390936745447489,True,,False,2.347734186361872,,0.3477341863618721,,0,INVALID
188,2.0,11.805113379327636,True,,False,5.902556689663818,,2.902556689663818,,0,INVALID
189,2.0,10.922526745032467,True,,False,5.461263372516234,,2.4612633725162336,,0,INVALID
