point,log_log_tau_s,log_log_f_Hz,log_log_v_m_s,log_log_h_m,tau_fs,f_kHz,v_mm_s,h_um,ep_J,n_x,n_y,total_pulses,J_nominal_m,J_terminal_mean_m
19,-25.926632467999834,9.003057650471261,-5.50862391853232,-13.02337058139739,5498.0234115546045,8.12789824338453,4.051678989221176,2.2081166918031387,0.0006561720927474561,40,9,360,2.3238693287062236e-07,2.3238693287062236e-07
20,-28.522288216382186,7.939610815105922,-4.484981575741958,-12.844571865179185,410.1357401853988,2.8062681385792185,11.27709529094015,2.640421841354007,0.0019004955109885504,5,8,40,2.6893840180492187e-08,2.6893840180492187e-08
21,-27.566791681737612,10.328296974049334,-3.859834201446074,-11.54339193086545,1066.3370248702015,30.58597880823007,21.07149285648328,9.69992959367354,0.00017437074789854092,29,2,58,2.6923019692793398e-08,2.6923019692793398e-08
22,-27.893038527493562,8.142993375701355,-4.234816137474965,-11.687655612965294,769.4976254330002,3.4391972848189907,14.48247273698777,8.396835804967417,0.0015507397681260669,5,2,10,7.230872743005026e-09,7.230872743005026e-09
23,-27.839742292353456,9.65864317531101,-5.264942759271696,-12.524554165848816,811.6215033067396,15.656527087449163,5.169688936611086,3.6362625861309414,0.00034064387141611793,61,6,366,1.780178767653431e-07,1.780178767653431e-07
24,-26.542459535708527,9.393558424292818,-3.7872626505118965,-12.558507507238469,2969.998893394282,12.01076276993886,22.657538642930316,3.514871794341203,0.00044404340524886987,11,6,66,3.57419603827195e-08,3.57419603827195e-08
25,-27.39387911089503,7.657078239257401,-4.181468161874751,-13.00314438623888,1267.62111357355,2.1155672085928656,15.276063361070527,2.253233220720384,0.0025209787608436967,3,9,27,2.109100229401859e-08,2.109100229401859e-08
26,-27.622924816326748,8.958256466805262,-5.610628269560103,-11.962384664270472,1008.1291632669095,7.771795259522061,3.658769941698303,6.379730746312509,0.0006862378410529539,42,3,126,7.992008186022617e-08,7.992008186022617e-08
27,-28.120112224526242,7.995110636405532,-4.57359216169411,-12.838846980818406,613.1834581638985,2.966418572789389,10.3208189991575,2.6555813027377573,0.0017978919256108152,6,8,48,3.180237086660258e-08,3.180237086660258e-08
28,-27.693600137906717,9.999952981526368,-4.733399278279099,-12.592171527881762,939.338831467927,22.02543016835252,8.796518346052965,3.3985165584769734,0.00024214283032089024,50,6,300,1.4145378743024087e-07,1.4145378743024087e-07
29,-26.64453958334589,8.7291419252506,-3.7938949164122455,-12.152449196871238,2681.7820902465005,6.1804225707034055,22.50776504018869,5.275436164161683,0.000862934522516477,5,4,20,1.3561484708894874e-08,1.3561484708894874e-08
30,-27.837623126021583,8.28150146540736,-4.737678763813902,-12.83294119576516,813.3432880004897,3.9501209015233956,8.758954207956316,2.6713109974824825,0.001350161205937563,9,7,63,4.335227022210294e-08,4.335227022210294e-08
31,-26.280529539581877,8.740739847563562,-4.4033333766625224,-12.209932443502847,3859.322215991529,6.252519913067414,12.23648303824895,4.98073820736429,0.0008529840886797824,10,4,40,2.7343759379478684e-08,2.7343759379478684e-08
