stratum_spec,stratum,target_id,model,fold,n_train_local,n_test,MAE_global,MAE_local,MAE_dummy,Skill_global,Skill_local,delta_skill
depth_q4,Q3,rms_DCT_64_inf_um,extratrees,0,46,3,0.40085270272116835,0.06498126970971692,0.28000552961239183,-0.4315885235411734,0.7679286198395093,1.1995171433806826
depth_q4,Q4,Sq_um,ridge,0,48,16,0.8671054863165394,1.0598321293899635,1.1886909448291179,0.27053748487905616,0.10840396824733833,-0.16213351663171782
depth_q4,Q4,rms_DCT_8_16_um,ridge,0,48,16,0.2523470144551159,0.2759599903229361,0.2991610999568055,0.1564845346151249,0.07755389867606222,-0.07893063593906269
depth_q4,Q4,rms_DCT_16_32_um,ridge,0,48,16,0.2959832645210355,0.36417925420661,0.47531777448611084,0.3772939275392396,0.23381940723689132,-0.1434745203023483
depth_q4,Q4,rms_DCT_32_64_um,ridge,0,48,16,0.39966286889417635,0.5322566014771348,0.5805806094344736,0.31161519623696,0.08323393370717258,-0.2283812625297874
depth_q4,Q4,rms_DCT_64_inf_um,ridge,0,48,16,0.6423393888999563,0.750053972441125,0.8484171351256933,0.24289672814682894,0.11593726554096018,-0.12695946260586877
depth_q4,Q4,Sq_um,extratrees,0,48,16,0.730079530253996,0.9945715201766135,1.1886909448291179,0.38581215459755214,0.16330521023730882,-0.22250694436024332
depth_q4,Q4,rms_DCT_8_16_um,extratrees,0,48,16,0.1882518467166937,0.26090013967414594,0.2991610999568055,0.37073420727536266,0.1278941690219213,-0.24284003825344136
depth_q4,Q4,rms_DCT_16_32_um,extratrees,0,48,16,0.2425915063184244,0.3601415385780141,0.47531777448611084,0.489622481337455,0.2423141781992465,-0.2473083031382085
depth_q4,Q4,rms_DCT_32_64_um,extratrees,0,48,16,0.38766010433762366,0.5493391788826176,0.5805806094344736,0.3322889224370895,0.0538106682244992,-0.2784782542125903
