i,j,D_proc_raw,D_proc_phys,D_morph_total_um,D_over_sentinel_total,D_morph_DCT_8_16_um,D_over_sentinel_DCT_8_16,D_morph_DCT_16_32_um,D_over_sentinel_DCT_16_32,D_morph_DCT_32_64_um,D_over_sentinel_DCT_32_64,D_morph_DCT_64_inf_um,D_over_sentinel_DCT_64_inf,D_morph_desc,type_raw_D_morph_total_um,type_raw_D_morph_DCT_8_16_um,type_raw_D_morph_DCT_16_32_um,type_raw_D_morph_DCT_32_64_um,type_raw_D_morph_DCT_64_inf_um,type_raw_D_morph_desc,type_phys_D_morph_total_um,type_phys_D_morph_DCT_8_16_um,type_phys_D_morph_DCT_16_32_um,type_phys_D_morph_DCT_32_64_um,type_phys_D_morph_DCT_64_inf_um,type_phys_D_morph_desc
96,101,2.401418645704089,4.972589609948047,0.7031002665738901,2.4473515565451693,0.5254117621831585,3.489882807478633,0.2538996519623516,2.0041493080108395,0.20624226988631844,2.357804829098503,0.10604064514584681,1.419766988851621,9.947423982863643,III,III,III,III,III,III,III,III,III,III,III,III
96,102,2.542444230915154,5.113415236150341,0.603249029142531,2.099789348182791,0.41036181208259453,2.7256996053575007,0.2554807908446554,2.0166299804826084,0.20419082468404107,2.334352277847847,0.09400612378506429,1.2586380544588833,9.754724532619344,III,III,III,III,III,III,III,III,III,III,III,III
96,103,0.6436501643730625,3.5984909665989697,0.7074299809325673,2.4624224272002735,0.4000919948036449,2.6574855657462986,0.3866164167846583,3.0517451212556077,0.26383467004637606,3.016213211102862,0.13164035432157906,1.7625187889931357,7.438481246630576,I,I,I,I,I,I,III,III,III,III,III,III
96,104,0.6727260826687946,2.6806149803061268,0.5945355020623088,2.069459301279674,0.34477205097164204,2.290040192830019,0.26768617925835075,2.1129728488333623,0.2268420450251842,2.5933057733401133,0.18170148076139034,2.4327819191939697,5.967711093875097,I,I,I,I,I,I,III,III,III,III,III,III
96,105,2.130316141507026,5.1027167062357055,0.6218148484452299,2.1644132559369513,0.39317926565118005,2.6115699308893587,0.27598580728707284,2.1784857144160896,0.1915004905496787,2.1892737198909065,0.11422886463915044,1.5293981941132873,9.526255651662337,III,III,III,III,III,III,III,III,III,III,III,III
96,106,2.9627913333649802,5.306811620053871,0.8249121469073554,2.871354375364284,0.592599699039751,3.936157601045289,0.3036541645727683,2.3968850650230986,0.25643758052866666,2.93164813433299,0.08679432497257814,1.162080042480321,10.323467233050106,III,III,III,III,III,III,III,III,III,III,III,III
96,107,2.298843775336473,5.066419835400865,0.6701692536280284,2.33272527972069,0.4286396472740849,2.8471043918199586,0.29068617631796045,2.294522637637733,0.15419327507100708,1.762769818123747,0.22700054908476636,3.0392863566462944,10.179530779165312,III,III,III,III,III,III,III,III,III,III,III,III
96,108,3.4966524307265376,5.33099301869743,1.8350758228245658,6.38753231207335,1.6633598955442344,11.048346306502516,0.38507632812585296,3.0395884774951125,0.2200473730799709,2.515627660442138,0.27928459593000815,3.739311933182061,11.79781322139736,III,IV,III,III,III,III,III,IV,III,III,III,III
96,109,1.4002496896069285,4.956679083728235,2.5164871145559955,8.759388880401236,0.8162320183838778,5.421565128339234,1.1770042030853953,9.290647470006075,0.9507450048831321,10.86911604003557,1.7118905399005395,22.920321483666086,8.310212070500215,I,I,I,I,I,I,III,III,III,III,III,III
96,110,1.7545577740503515,5.029164590369237,1.7747829158786874,6.177664748828554,0.5394915305537392,3.5834032520259744,0.8924529953886194,7.044551023667881,1.0537736689297454,12.046961307926441,0.9029334811146116,12.089280934232539,77.01257560394738,III,III,III,III,III,IV,III,III,III,III,III,IV
96,111,3.43426292195522,5.526640453770858,1.8577627003491144,6.466500800157429,1.5543420405109742,10.324229403584487,0.7145223836432504,5.64006106219167,0.42332669234185055,4.839559417378795,0.26687976180652107,3.5732249203533115,11.735765360773557,III,IV,III,III,III,III,III,IV,III,III,III,III
96,112,2.392324554828241,5.154920606946113,0.5899433649643914,2.053474989498339,0.3508051303310643,2.330113029884745,0.28403816910384133,2.2420467915510924,0.21515247295199347,2.4596681368873323,0.13830555405252182,1.851758443647065,7.16599286771352,III,III,III,III,III,III,III,III,III,III,III,III
96,113,1.8108784413720214,4.762633456658814,2.3697951563636233,8.248783481310504,1.11935675514454,7.434976101376696,1.4516128984272358,11.458262992475229,1.0373874746422798,11.859630902559836,0.7000999128061886,9.373563728634622,6.873186126637564,III,III,III,III,III,III,III,III,III,III,III,III
96,114,1.7085517853227044,5.589686647204215,0.7595090379145797,2.6436992197542106,0.4705966835881077,3.125790843521474,0.3851787877733638,3.040397239657923,0.3094801669486529,3.538042092651302,0.11078578684171703,1.4832991894333316,7.2812645964157685,I,I,I,I,I,I,III,III,III,III,III,III
96,115,2.6298638609289897,5.118401094893219,0.8247193796234208,2.870683390961608,0.4640277871041642,3.082159009304124,0.4677340787960228,3.6920449599164327,0.30553371751223307,3.4929254560660246,0.22042329573693725,2.9512242068195182,7.701487546862395,III,III,III,III,III,III,III,III,III,III,III,III
96,116,3.884787435193114,5.608793478534847,2.1529588557963377,7.494019640450727,1.391259255012906,9.241003160341323,0.808196292504016,6.3794732597704655,0.9161052930708835,10.473107598921539,0.8887663126849378,11.899598213665467,9.899002721609818,III,III,III,III,III,III,III,III,III,III,III,III
96,117,3.695552557341332,5.589295450537738,2.3857536045190613,8.304331651024007,0.6395879011660408,4.24826199336703,0.7273830073575135,5.741576010787779,1.160919096932476,13.27187028366606,1.798824551673821,24.08427177795546,12.192974328935357,III,III,III,III,III,III,III,III,III,III,III,III
96,118,3.3989275323577797,5.374651053404071,2.939767056771143,10.232741792756766,0.8332828656818015,5.53482003262747,0.994197092818139,7.847665013315236,1.3053501946618744,14.92303684562293,2.2124703669747885,29.62253187466829,9.906996501136668,III,III,III,III,III,III,III,III,III,III,III,III
96,119,3.4834177675270372,6.59780679647694,1.1784153705733766,4.101828471041294,0.37583615604441695,2.496373765897984,0.4784793530141079,3.7768624605396917,0.656606304839619,7.5064608104862485,0.711078949970232,9.520560896686977,10.09997516781416,III,III,III,III,III,III,III,III,III,III,III,III
96,120,4.98768577019986,6.0767663986661775,0.7733515904748866,2.6918823796328235,0.578568311806656,3.8429585130264274,0.2619109598617466,2.0673863272770774,0.2064693322725274,2.360400653858409,0.20434124721998573,2.735903359175918,9.851065557384924,III,III,III,III,III,III,III,III,III,III,III,III
96,121,5.117328698684153,6.0476274134170716,0.6676218346438082,2.323858223181822,0.43509088110370103,2.8899546887669723,0.2371262650644468,1.871749080264885,0.21053781271784375,2.4069123744981558,0.2792147435359631,3.7383766868619257,9.780572468113192,III,III,III,III,III,III,III,III,III,III,III,III
96,122,4.080777366573829,5.351371391951002,0.9048426934475186,3.149576638660804,0.583922524069159,3.878522188351965,0.33222388064787983,2.6223992642725373,0.2017560625030979,2.3065175666070403,0.47797397127747304,6.399542977286833,10.009827084071151,III,III,III,III,III,III,III,III,III,III,III,III
96,123,4.238252892839632,5.318219337791018,0.868198137060616,3.0220242590416047,0.4916192225726515,3.2654264639096855,0.28547201039444275,2.2533647748887864,0.19602245030430454,2.2409697109810103,0.5604850287243356,7.5042748036273235,9.763046125403129,III,III,III,III,III,III,III,III,III,III,III,III
96,124,4.6721065863207984,6.002961365374745,1.7626218662603221,6.135334564745767,0.3654603002331967,2.427455398600695,0.3776356073763301,2.980855370828746,0.6387155421423182,7.301929863909668,1.526424598506932,20.437137598988954,10.292903378529964,III,III,III,III,III,III,III,III,III,III,III,III
96,125,4.810262323622741,5.964279519209321,0.7772077481547919,2.705304894100336,0.39560509406654404,2.627682735150716,0.25711393543738154,2.029521158473979,0.22661478696986107,2.590707711649909,0.4612190235710021,6.175212753523438,7.23347638292727,III,III,III,III,III,III,III,III,III,III,III,III
96,126,4.735104612621274,6.025806238048906,1.018560072868172,3.5454041169912025,0.34317202454428414,2.2794125192180963,0.250109838380458,1.9742345278646727,0.2642226489889526,3.0206486676409408,0.8302614710279178,11.116283072962728,14.017933403187465,III,III,III,III,III,III,III,III,III,III,III,III
96,127,4.871474043920335,5.969451552162542,0.8990940891545675,3.1295668956224865,0.2823479952520273,1.875407985275769,0.23724923362720388,1.8727197289367201,0.1941715801315201,2.2198101754802084,0.7508446608019093,10.052979795585442,19.522706159319508,III,III,III,III,III,III,III,III,III,III,III,III
96,128,3.8153545721180184,5.9357004478187925,1.0341390558736536,3.5996314443305093,0.3812570261761285,2.5323801952090195,0.26609601049717585,2.10042089928283,0.23891358814328964,2.731310182786481,0.8135006629328136,10.891874385075393,23.153636291248052,III,III,III,III,III,III,III,III,III,III,III,III
96,129,3.9833370657156464,5.872770937637346,1.0526593163378652,3.6640967708700303,0.3561120851596024,2.3653628125299315,0.2577886906844982,2.03484731883353,0.2228150421145947,2.547268232565299,0.8813641112165569,11.800490920653607,59.18830648892316,III,III,III,III,III,IV,III,III,III,III,III,IV
96,130,2.6859926301073176,4.899381103067514,0.6963478991907645,2.423847914730349,0.3933160593201642,2.612478539923112,0.2747929640173865,2.169070041747654,0.19407560194988177,2.218712932804012,0.3386554539240271,4.5342220750787865,9.762928120149715,III,III,III,III,III,III,III,III,III,III,III,III
96,131,2.919691777758929,4.814338427578028,0.7301891182616395,2.541642437227217,0.3772535203495626,2.5057881636646204,0.26656611332060964,2.10413164185769,0.28575585117501495,3.2668207454028733,0.38590537589626156,5.166846285821065,9.830242076980944,III,III,III,III,III,III,III,III,III,III,III,III
96,132,3.0778409260949604,5.0719011353263035,0.602754022162083,2.0980663277805895,0.3452122371808634,2.292963991637392,0.2556341690979461,2.0178406671370435,0.1966428926284591,2.2480627375893536,0.2232544441515762,2.989130153677117,9.656567295979105,III,III,III,III,III,III,III,III,III,III,III,III
96,133,3.2837704600759405,4.92587147107793,0.584957067714948,2.0361186849782356,0.3505283763616814,2.3282747784614464,0.27494199281892145,2.170246396134757,0.18358569560190477,2.0987901262053246,0.18079816385530798,2.420687504623374,8.971152982773543,III,III,III,III,III,III,III,III,III,III,III,III
96,134,2.285723856819114,4.5928221402702825,0.7098263936801588,2.470763861198758,0.3749993291881027,2.490815406019338,0.27461346164024314,2.167653145103024,0.21143908537617062,2.417215912309822,0.3709708437812225,4.96688941398467,8.232837109771658,III,III,III,III,III,III,III,III,III,III,III,III
96,135,2.5562819128089753,4.3982456003321015,0.6049508945636192,2.105713201700336,0.3467290359633497,2.3030388517269498,0.26200817697190737,2.0681537076281318,0.17833025621124973,2.0387088422805935,0.2644637495100723,3.5408771871002767,9.62569475217135,III,III,III,III,III,III,III,III,III,III,III,III
96,136,2.944162476509391,4.570849244054461,0.8329001698454864,2.8991590872962183,0.3259094637902369,2.1647513747125346,0.25101576105350965,1.9813854013860626,0.25014619683911243,2.8597237181930835,0.5952125438926642,7.969237833350723,10.468647632367233,III,III,III,III,III,III,III,III,III,III,III,III
96,137,3.158818822947619,4.327783398688345,0.8292420914119499,2.886426047111346,0.30872625391178965,2.0506172935056024,0.2478133787774743,1.9561074926811934,0.21091414737051947,2.4112147110750612,0.641103417890479,8.583665894421403,10.055396823677262,III,III,III,III,III,III,III,III,III,III,III,III
96,138,2.2413187323875308,2.524232885824329,0.7808829026896147,2.7180973727821764,0.39421853421270114,2.6184729462884335,0.4399808736242005,3.4729758650582876,0.31556807716195606,3.6076403573909035,0.13800457834686286,1.8477287117385768,8.041444243739072,III,III,III,III,III,III,III,III,III,III,III,III
