dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um
44,zro2_120_formal,45,45,zro2_120_formal:m045,single,formal,,45,-3900.0,14600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,6.0,3,7,1.0,0.0122265625,49.5979,5.7599
45,zro2_120_formal,46,46,zro2_120_formal:m046,single,formal,,46,-3900.0,15200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,11,1.0,0.0,52.3175,0.6211
46,zro2_120_formal,47,47,zro2_120_formal:m047,single,formal,,47,-3900.0,15800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,3,9,1.0,0.0,45.2915,1.5158
47,zro2_120_formal,48,48,zro2_120_formal:m048,single,formal,,48,-3900.0,16400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,11,1.0,0.0,51.0696,0.7467
48,zro2_120_formal,49,49,zro2_120_formal:m049,single,formal,,49,-4500.0,16400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,2,9,1.0,0.0,1.8695,0.2192
49,zro2_120_formal,50,50,zro2_120_formal:m050,single,formal,,50,-4500.0,15800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,2,9,1.0,0.0,1.8423,0.2199
50,zro2_120_formal,51,51,zro2_120_formal:m051,single,formal,,51,-4500.0,15200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,3,9,1.0,0.0,1.7472,0.86
51,zro2_120_formal,52,52,zro2_120_formal:m052,single,formal,,52,-4500.0,14600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,2,5,1.0,0.0,32.7444,1.2357
52,zro2_120_formal,53,53,zro2_120_formal:m053,single,formal,,53,-4500.0,14000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,2,9,1.0,0.0,29.1019,0.4348
53,zro2_120_formal,54,54,zro2_120_formal:m054,single,formal,,54,-4500.0,13400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,3,5,1.0,0.00015625,41.7621,1.1116
54,zro2_120_formal,55,55,zro2_120_formal:m055,single,formal,,55,-4500.0,12800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,4,5,1.0,0.0,26.5716,0.5474
55,zro2_120_formal,56,56,zro2_120_formal:m056,single,formal,,56,-4500.0,12200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,5,1.0,0.0,41.6434,0.4493
56,zro2_120_formal,57,57,zro2_120_formal:m057,single,formal,,57,-4500.0,11600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,3,9,1.0,0.0,44.8735,0.3081
57,zro2_120_formal,58,58,zro2_120_formal:m058,single,formal,,58,-4500.0,11000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,9,1.0,0.008828125,43.4805,4.0055
58,zro2_120_formal,59,59,zro2_120_formal:m059,single,formal,,59,-4500.0,10400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,4,3,1.0,0.0171484375,53.0235,3.0752
59,zro2_120_formal,60,60,zro2_120_formal:m060,single,formal,,60,-4500.0,9800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,1,5,1.0,0.0,1.3027,1.2604
60,zro2_120_formal,61,61,zro2_120_formal:m061,single,formal,,61,-4500.0,9200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,2,11,1.0,0.0028125,46.7247,3.1962
61,zro2_120_formal,62,62,zro2_120_formal:m062,single,formal,,62,-4500.0,8600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,5,9,1.0,0.0026953125,60.3441,1.7943
62,zro2_120_formal,63,63,zro2_120_formal:m063,single,formal,,63,-4500.0,8000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,4,5,1.0,0.0005078125,58.8036,2.4031
63,zro2_120_formal,64,64,zro2_120_formal:m064,single,formal,,64,-4500.0,7400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,2,5,1.0,0.0,35.8151,1.5879
64,zro2_120_formal,65,65,zro2_120_formal:m065,single,formal,,65,-4500.0,6800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,2,11,1.0,0.0,34.5322,1.1313
65,zro2_120_formal,66,66,zro2_120_formal:m066,single,formal,,66,-4500.0,6200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,2.0,1,5,1.0,0.0019140625,37.9908,12.6035
66,zro2_120_formal,67,67,zro2_120_formal:m067,single,formal,,67,-4500.0,5600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,2.0,3,5,1.0,0.001171875,58.7545,2.1507
67,zro2_120_formal,68,68,zro2_120_formal:m068,single,formal,,68,-4500.0,5000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,2.0,5,11,1.0,0.003359375,62.5775,3.9126
68,zro2_120_formal,69,69,zro2_120_formal:m069,single,formal,,69,-4500.0,4400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,1,7,1.0,0.0,6.6174,0.77
69,zro2_120_formal,70,70,zro2_120_formal:m070,single,formal,,70,-4500.0,3800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,4,9,1.0,0.0051171875,59.6402,4.3365
