replicate,k,max_principal_angle_deg,note
41,3,72.20769530047971,
41,4,63.93866914529281,
41,5,80.1656630592018,
41,6,67.80246283992902,
42,1,37.927741023395036,
42,2,42.87377961656806,
42,3,70.67698823668589,
42,4,89.499503601843,
42,5,77.43593427836893,
42,6,59.6691562106269,
43,1,26.134474974416566,
43,2,64.74862017208982,
43,3,63.484431112123076,
43,4,70.870881049729,
43,5,85.26712875216809,
43,6,83.25041124880012,
44,1,23.19017973703998,
44,2,47.688579641378695,
44,3,47.21575370538032,
44,4,56.187066129727484,
44,5,70.93456360542436,
44,6,71.15972053365937,
45,1,24.909115637845325,
45,2,11.880758303138206,
45,3,36.10629985431765,
45,4,82.69302204635764,
45,5,41.83978810995023,
45,6,42.130168031768825,
46,1,29.778859316631863,
46,2,82.19655742195054,
46,3,89.44472062917762,
46,4,88.46455484816806,
46,5,72.91904546689206,
46,6,72.1385218246118,
47,1,24.643618076223664,
47,2,35.15547935596183,
47,3,56.42500401240865,
47,4,67.52411832272203,
47,5,76.70863714804247,
47,6,89.19582475196847,
48,1,24.383766390589976,
48,2,78.93161232344995,
48,3,54.716912418593786,
48,4,68.10614172989747,
48,5,82.52742523730166,
48,6,74.17849186886315,
49,1,17.27218976088358,
49,2,39.26952930377121,
49,3,58.6038020480784,
49,4,49.3028562431382,
49,5,71.2475730050688,
49,6,52.444048239727394,
50,1,62.778351695715685,
50,2,34.078339332456665,
50,3,63.87772998406443,
50,4,63.61778707872912,
50,5,74.80725234204243,
50,6,77.51647554879378,
51,1,27.471195627704354,
51,2,13.629026458295368,
51,3,38.40510690193936,
51,4,24.195122902461854,
51,5,55.743266105703135,
51,6,62.61628729875054,
52,1,38.96480079129195,
52,2,18.529603022839268,
52,3,74.65533930055791,
52,4,79.00055520806315,
52,5,85.94947816712819,
52,6,84.9535104787933,
53,1,23.61079802590236,
53,2,67.58368809348067,
53,3,68.7060989463862,
53,4,86.79729129796736,
53,5,78.96995563754875,
53,6,78.4074506714419,
54,1,48.34313267162049,
54,2,50.56683291744441,
54,3,75.08213373896412,
54,4,43.1640574204749,
54,5,42.26864196323406,
54,6,57.46606314695671,
55,1,60.02142140243925,
55,2,71.77580311025876,
55,3,68.14333137709892,
55,4,59.64064622817659,
55,5,84.31839179835103,
55,6,89.78589662615886,
56,1,27.03196416038952,
56,2,36.441968846500316,
56,3,55.270915629460376,
56,4,61.86973060175702,
56,5,61.49744994440375,
56,6,53.26185656716173,
57,1,26.795734745986508,
57,2,54.946587083582806,
57,3,44.76556837216601,
57,4,48.37183724333309,
57,5,53.148514264723,
57,6,61.14105624901685,
58,1,58.24452136982078,
58,2,67.75403296347288,
58,3,62.80747630923739,
58,4,88.11015856872848,
58,5,88.22593851670555,
58,6,78.47430531858433,
59,1,20.765310822896787,
59,2,19.297893045937734,
59,3,24.764179112379473,
59,4,30.196608675675346,
59,5,50.81360011545899,
59,6,51.5993451120244,
60,1,23.17267082249902,
60,2,13.391829079037413,
60,3,54.5504336828267,
60,4,54.29114644739844,
60,5,87.48525597504829,
60,6,71.53164729572039,
61,1,56.95955510065901,
61,2,51.27787038496816,
61,3,51.192657393044854,
61,4,42.19146428598049,
61,5,75.55898476495095,
61,6,63.336068150485495,
62,1,23.00202586515818,
62,2,12.09466079819627,
62,3,57.41261532267647,
62,4,87.36908922028377,
62,5,50.240577936085636,
62,6,68.01131370012043,
63,1,29.553187761809824,
63,2,13.33092871236757,
63,3,43.300251661197706,
63,4,73.98791817334082,
63,5,64.87598441524001,
63,6,45.42445951225568,
64,1,60.09087407865081,
64,2,53.95601339081205,
64,3,82.43810590626111,
64,4,76.44602393074796,
64,5,66.90885421992712,
64,6,80.15344540442652,
65,1,26.705015604865505,
65,2,57.09146182878315,
65,3,78.017300675921,
65,4,87.92334416973141,
65,5,84.83381852202625,
65,6,74.46235143683958,
66,1,26.69381826384588,
66,2,19.791926344689777,
66,3,71.52422072185807,
66,4,85.23316204839848,
66,5,88.74837450366935,
66,6,89.84712815165182,
67,1,25.524008151629587,
67,2,83.34295491790168,
67,3,88.73736115588356,
67,4,87.33445103011032,
67,5,57.09217168874097,
67,6,88.9145964701645,
68,1,32.46573956736336,
68,2,9.729022773193881,
68,3,32.522209620196215,
68,4,19.314785720387448,
68,5,43.84786579462546,
68,6,76.086100789636,
69,1,21.311998381373186,
69,2,38.177080120960326,
69,3,37.78265494120828,
69,4,19.46939265558994,
69,5,77.11094360400003,
69,6,63.792459909655435,
70,1,30.50176222847687,
70,2,16.021631573730122,
70,3,58.54382158302981,
70,4,83.32075820538269,
70,5,66.40908888770973,
70,6,57.6886989770642,
71,1,23.90157226655602,
71,2,12.69032133650751,
71,3,71.36190224299081,
71,4,53.01214704170801,
71,5,86.71406231026609,
71,6,69.13463335758472,
72,1,59.22693747802979,
72,2,56.958545505748276,
72,3,67.29157140745798,
72,4,71.11536742312848,
72,5,62.611062965999416,
72,6,66.14984763080302,
73,1,26.24175172507988,
73,2,12.874346082766365,
73,3,27.003078819479803,
73,4,29.94128196619196,
73,5,87.80320948525137,
73,6,85.36404571905122,
74,1,21.9593292777537,
74,2,16.6344731205649,
74,3,57.954733778533374,
74,4,74.20934244303784,
74,5,70.29063886195406,
74,6,61.149059090649075,
75,1,18.687842381896694,
75,2,13.758592782211998,
75,3,19.1505426363025,
75,4,28.148459992140726,
75,5,34.517221750239834,
75,6,19.947939486265575,
76,1,26.898679187790126,
76,2,83.05372856791675,
76,3,58.248353663693386,
76,4,86.41069029329296,
76,5,75.29056110285164,
76,6,73.49796050289932,
77,1,52.466182082015244,
77,2,77.27485086914238,
77,3,63.55073511249932,
77,4,86.33948674786683,
77,5,87.82592135540453,
77,6,83.47034535084667,
78,1,59.23889578685475,
78,2,8.51880483076145,
78,3,22.49548562187193,
78,4,50.119991019601095,
78,5,38.33510595833081,
78,6,46.89180506093005,
79,1,15.944298308161489,
79,2,15.814386855518974,
79,3,59.27346532760503,
79,4,85.32544434797028,
79,5,72.77969132401537,
79,6,71.25034509126701,
80,1,62.139061732525676,
80,2,27.72494155093085,
80,3,41.06110382215458,
80,4,41.419238508128934,
80,5,60.496361596599606,
80,6,69.7617999963339,
81,1,17.037228643950094,
81,2,13.425819460460765,
81,3,26.698448573023995,
81,4,28.182424471351116,
81,5,86.51138800664476,
81,6,45.10827453278922,
82,1,30.607688846002976,
82,2,32.60861851523665,
82,3,26.981595245872487,
82,4,24.67142815973612,
82,5,84.09393283420404,
82,6,67.86561613426868,
83,1,28.414984315615882,
83,2,44.980913309999465,
83,3,51.78020143046749,
83,4,89.44572367097136,
83,5,82.9224108772248,
83,6,88.11370701512826,
84,1,25.790659818413204,
84,2,82.77539467805316,
84,3,55.274886050533254,
84,4,85.04920094967498,
84,5,80.42260026781045,
84,6,79.67934860437879,
85,1,19.73532893160949,
85,2,13.568873517672953,
85,3,58.33095972864997,
85,4,31.68335420449415,
85,5,63.990260761268715,
85,6,69.05791178952815,
86,1,52.35250591827306,
86,2,35.85046656228407,
86,3,50.63886988160226,
86,4,48.123429740476496,
86,5,60.72866552062014,
86,6,65.60085607697359,
87,1,55.290110835452495,
87,2,49.08845561575422,
87,3,64.34482047546653,
87,4,83.75967847029253,
87,5,83.64388128247427,
87,6,82.00267976650235,
88,1,49.16314394732302,
88,2,36.60785164432433,
88,3,44.29451247924841,
88,4,65.56937761067829,
88,5,45.98483339233235,
88,6,57.92305774906101,
89,1,59.18451675123501,
89,2,58.77495724148745,
89,3,77.43789853403881,
89,4,79.93755950084822,
89,5,55.34874859178617,
89,6,71.32954779948274,
90,1,45.826420713458205,
90,2,80.72283840506373,
90,3,70.15080636577268,
90,4,88.62794694578433,
90,5,86.76146821643965,
90,6,89.85740903078496,
91,1,10.592222756352076,
91,2,9.049045339725906,
91,3,39.737695174548875,
91,4,40.504385609003606,
91,5,47.863959060526334,
91,6,55.529183636221276,
92,1,55.17192914005552,
92,2,87.59862643427438,
92,3,53.694494669672046,
92,4,85.27559511965813,
92,5,86.14518673968003,
92,6,80.20411794419168,
93,1,14.29418521318804,
93,2,13.943438772530428,
93,3,48.54945128053786,
93,4,73.91891471161772,
93,5,76.13427692467083,
93,6,70.04954461170806,
94,1,60.24194595852735,
94,2,53.312950610196104,
94,3,59.42504540227347,
94,4,77.55279118075438,
94,5,77.00535721459812,
94,6,89.07113853299083,
95,1,60.06223777224091,
95,2,12.730516864126782,
95,3,16.870130966804187,
95,4,87.97984226931203,
95,5,42.5696896083688,
95,6,37.810921195811666,
96,1,27.21709725548329,
96,2,35.63995761460058,
96,3,26.995996649641143,
96,4,31.044136848964683,
96,5,58.45947416689333,
96,6,70.7741279561829,
97,1,28.191854380384093,
97,2,13.360962415442167,
97,3,36.23259158747271,
97,4,17.02809075194135,
97,5,46.58850292517951,
97,6,22.688338166098877,
98,1,60.11213297692132,
98,2,57.13443818473956,
98,3,70.84610219913914,
98,4,60.99898764995873,
98,5,43.38654020529546,
98,6,40.315510524884346,
99,1,63.12099027726988,
99,2,85.66399613874839,
99,3,62.656927760461215,
99,4,89.28891280336941,
99,5,68.09393817215823,
99,6,79.2376970567061,
100,1,51.497895010871204,
100,2,87.68114864199022,
100,3,53.622070855195695,
100,4,55.88927382716125,
100,5,80.10541006294024,
100,6,70.89949128634514,
