replicate,k,max_principal_angle_deg,note
179,1,10.170644099305184,
179,2,10.577485821109907,
179,3,37.835683677346296,
179,4,20.382432005732323,
179,5,22.17635987521169,
179,6,27.306869971118203,
180,1,47.83206002884884,
180,2,47.91932853850854,
180,3,71.23674563393456,
180,4,79.35915058487959,
180,5,89.19924229996207,
180,6,84.30175085597362,
181,1,25.942996320764877,
181,2,10.926280973764726,
181,3,29.692768475174145,
181,4,32.22067873736872,
181,5,46.393745814793604,
181,6,51.84917082283015,
182,1,30.182708191451173,
182,2,80.62194145901356,
182,3,68.86654313408204,
182,4,87.8591879110283,
182,5,89.79992246839076,
182,6,84.95508884705814,
183,1,58.045303471377075,
183,2,76.3002552450209,
183,3,68.85222639053488,
183,4,55.7709785546852,
183,5,56.85309244697472,
183,6,65.3263109519271,
184,1,40.67358133279235,
184,2,50.343931470075134,
184,3,35.74801112879117,
184,4,64.66836108414752,
184,5,62.6086880513315,
184,6,89.15301375034048,
185,1,24.978924517010235,
185,2,13.917265934811217,
185,3,53.702831686079,
185,4,78.25010897471884,
185,5,74.58543323488055,
185,6,53.47619211155329,
186,1,61.682774414074096,
186,2,46.319541711426155,
186,3,62.6314076614032,
186,4,82.96299070464813,
186,5,68.33379483996582,
186,6,88.26541610140299,
187,1,31.082302789774722,
187,2,10.599017030140113,
187,3,38.943179661499,
187,4,72.60531117997131,
187,5,50.60201476027787,
187,6,47.8881024102722,
188,1,31.144127353916986,
188,2,42.17335834675832,
188,3,85.38335583459913,
188,4,84.87978017610166,
188,5,60.42777878970608,
188,6,80.39237036410212,
189,1,47.20652757269758,
189,2,52.519319765172156,
189,3,88.7194483338915,
189,4,84.93639955956037,
189,5,84.26235447067386,
189,6,81.85502377412037,
190,1,51.91940932061209,
190,2,16.309403837406414,
190,3,13.85323756652895,
190,4,17.399449199218168,
190,5,60.52135268584385,
190,6,59.65989107819324,
191,1,61.76598653726065,
191,2,12.994725049399852,
191,3,44.1768177837769,
191,4,22.755082516378017,
191,5,76.51180287247804,
191,6,41.2733148353585,
192,1,17.570650277494757,
192,2,17.32664898250786,
192,3,17.792682993920728,
192,4,37.330102952876345,
192,5,37.855306027054645,
192,6,45.22931371863211,
193,1,45.83925696678109,
193,2,88.0277132002128,
193,3,60.888117776633315,
193,4,46.5137173202249,
193,5,45.98735453767538,
193,6,58.05505195778601,
194,1,29.949416084189558,
194,2,15.643243614025835,
194,3,77.19431738643225,
194,4,81.45895919812587,
194,5,68.3033938019393,
194,6,81.52398497015386,
195,1,22.92085558666378,
195,2,14.49632853607467,
195,3,69.70414128808294,
195,4,74.85744298046129,
195,5,69.70171253214227,
195,6,58.92362186772996,
196,1,28.22521547302136,
196,2,79.9551940704721,
196,3,53.522197324028156,
196,4,55.82092840813729,
196,5,51.01816833528548,
196,6,58.66198138411032,
197,1,58.24173501541118,
197,2,72.63310345232948,
197,3,66.55302494089104,
197,4,88.94756644091075,
197,5,73.56916617866734,
197,6,84.87629364131197,
198,1,15.992216491527854,
198,2,15.376706653189466,
198,3,53.768307148355326,
198,4,57.315414401169804,
198,5,81.4763510199633,
198,6,57.9129662664403,
199,1,41.788008973734236,
199,2,79.51380724657983,
199,3,61.58480509322661,
199,4,47.01978973792698,
199,5,79.79018983830545,
199,6,73.00670152741678,
200,1,29.150062948362145,
200,2,40.044038520763365,
200,3,61.171588752172624,
200,4,89.29735312703839,
200,5,78.63906679165274,
200,6,86.03949624701659,
summary,1,31.073129670610236,"IQR=29.69 deg, range=10.17..80.30 deg"
summary,2,42.44433790722319,"IQR=44.79 deg, range=8.52..89.83 deg"
summary,3,57.24274067886344,"IQR=24.09 deg, range=13.85..89.66 deg"
summary,4,66.76391866691489,"IQR=37.12 deg, range=11.60..89.84 deg"
summary,5,67.01863340903623,"IQR=24.31 deg, range=22.18..89.80 deg"
summary,6,70.83680962126402,"IQR=25.33 deg, range=19.95..89.86 deg"
