dataset_index,W_hat_um,hatch_spacing_um,eta_h,bridge_coverage,in_box,p_8_16,A2_8_16,angular_entropy_8_16,ilr_z2
51,5.732299116213432,2.0,2.866149558106716,in_box_pred,True,0.034702128595685,0.12792012603282,0.9174741956782942,-0.7375842381192994
52,5.68101203025955,2.0,2.840506015129775,in_box_pred,True,0.1684546978474572,0.0120799449422375,0.9454630740160777,-0.4788069946524049
53,5.838899151043617,2.0,2.9194495755218086,in_box_pred,True,0.2736571121857817,0.1494548018772401,0.9549473698303074,-0.7207427361215213
54,5.945499185873802,10.0,0.5945499185873803,exact_match,True,0.591649700692359,0.9009628591577852,0.3680154583415413,-1.861872604120544
55,5.426498311731818,4.0,1.3566245779329544,out_of_box,False,0.3265753064979049,0.1144279319118449,0.8985446402962041,-0.2565916575489391
56,5.48181126060812,4.0,1.37045281515203,out_of_box,False,0.2884064376581287,0.1551199380862315,0.9227907409452876,-0.5765887886428088
57,5.48181126060812,6.0,0.9136352101013534,out_of_box,False,0.0345421640093308,0.3894175170945714,0.8879316836979431,-0.1819203273929274
58,5.6653419243691285,6.0,0.9442236540615214,out_of_box,False,0.1355675313426685,0.4585070295278349,0.8800731858272365,-0.6827876483292161
59,5.3198982769016325,10.0,0.5319898276901632,out_of_box,False,0.5907599962344074,0.7762643093733309,0.5975008214928869,-0.9534942134250162
60,4.967316677198975,4.0,1.241829169299744,out_of_box,False,0.0718419905853204,0.404614653604061,0.8190005258447024,-0.416880498199005
61,5.312760324666471,4.0,1.328190081166618,out_of_box,False,0.1787432730677672,0.1221562900130918,0.90456627382475,-0.4063059961695129
62,5.257447375790169,6.0,0.8762412292983615,out_of_box,False,0.1790796240087256,0.2253194845984911,0.8917024906394125,-0.75977731626625
63,5.044247306129798,8.0,0.6305309132662248,out_of_box,False,0.1517967728524684,0.9136382975759128,0.449579176973677,-0.1062981142582463
64,4.967316677198975,8.0,0.6209145846498719,out_of_box,False,0.2763662886541764,0.7742734099616825,0.5697681242294695,-0.7965135635612094
65,4.173145260095576,2.0,2.086572630047788,out_of_box,False,0.0257373301168219,0.8229161791456135,0.5274392364228843,-0.4621856811502186
66,4.386345329755946,2.0,2.193172664877973,out_of_box,False,0.0626340107359206,0.2086237848664153,0.896374902968404,-0.7870999649967435
67,4.522614770485493,2.0,2.2613073852427465,out_of_box,False,0.0356981807231867,0.1389702903184148,0.9464377346842676,-0.4495350481441131
68,4.147501717118635,4.0,1.0368754292796587,out_of_box,False,0.3079226502527427,0.1387404482803542,0.8954340227892266,-0.5155381968450417
