dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg,p_8_16,log10_tau,W_hat_um,in_box,W_hat_lookup_um,bridge_coverage,eta_h,band_energy_fraction_4_32,lambda_star_valid,lambda_star_4_32_um,lambda_peak_valid,lambda_peak_4_32_um,peak_energy_share_in_window,lambda_star_centroid_um,r_W,r_h,r_h_peak,d_int,d_int_peak,abs_lambda_star_minus_What_um,abs_lambda_star_minus_h_um,abs_lambda_star_minus_2h_um
21,zro2_120_formal,22,22,zro2_120_formal:m022,single,formal,,22,-3300.0,3800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,11,1.0,0.0,49.3129,1.3731,0.2049884893177623,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,4545454.545454546,242.4227272727273,500:100:6:11,F22,FQ:500:100:6:11|N3,157,0.0007282569092748,0.1912262383874776,2.6989700043360187,5.253987604798337,False,,out_of_box,0.8756646007997229,0.7300315729839179,True,19.300862343934504,False,,0.17497074678519342,24.887064038048926,3.6735644991448977,3.2168103906557506,,0.21681039065575058,,14.046874739136168,13.300862343934504,7.300862343934504
22,zro2_120_formal,23,23,zro2_120_formal:m023,single,formal,,23,-3300.0,3200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,3,1.0,0.0045703125,63.9191,6.5075,0.2172488832109467,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.015,33333333.33333333,888.8833333333333,500:200:8:3,F23,FQ:500:200:8:3|N4,8,4.636344558020923,0.0453775706377478,2.6989700043360187,4.698659800332249,False,,out_of_box,0.5873324750415311,0.319048115359162,True,21.03300978873768,False,,0.10593719230068886,46.08708678886612,4.476384901765054,2.62912622359221,,0.37087377640779007,,16.33434998840543,13.03300978873768,5.0330097887376795
23,zro2_120_formal,24,24,zro2_120_formal:m024,single,formal,,24,-3300.0,2600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,11,1.0,0.005,65.0842,6.8297,0.2184241086730409,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.055,9090909.090909092,242.4227272727273,500:200:10:11,F24,FQ:500:200:10:11|N5,7,5.274674297422882,0.0235223849619013,2.6989700043360187,4.70268566325467,False,,out_of_box,0.470268566325467,0.19270944622750005,True,22.50844413661983,False,,0.07923842264047529,71.94625164664915,4.786295693223522,2.2508444136619827,,0.25084441366198273,,17.80575847336516,12.50844413661983,2.508444136619829
24,zro2_120_formal,25,25,zro2_120_formal:m025,single,formal,,25,-3900.0,2600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,3,7,1.0,0.000703125,16.0061,0.5573,0.2216450568394508,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,428571.4285714286,1142.85,1000:2:2:7,F25,FQ:1000:2:2:7|N3,75,0.041845803113869,0.2569624712389576,3.0,5.964451215347588,True,,in_box_pred,2.982225607673794,0.5261284247592161,True,12.772355638285045,False,,0.18389226296201205,35.34557236091369,2.141413380231783,6.386177819142523,,3.3861778191425227,,6.807904422937457,10.772355638285045,8.772355638285045
25,zro2_120_formal,26,26,zro2_120_formal:m026,single,formal,,26,-3900.0,3200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,1,11,1.0,0.0,0.1715,0.2535,0.2064777301526381,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,18181.81818181818,48.484545454545454,1000:2:10:11,F26,FQ:1000:2:10:11|N1,149,0.005022374618387,0.4732961296022142,3.0,5.699964059733336,True,,in_box_pred,0.5699964059733336,0.72551867776091,True,9.448952183282888,True,9.450672659117906,0.5183031356478071,15.041764910177053,1.657721361794857,0.9448952183282888,0.9450672659117906,0.05510478167171118,0.05493273408820942,3.7489881235495517,0.5510478167171122,10.551047816717112
26,zro2_120_formal,27,27,zro2_120_formal:m027,single,formal,,27,-3900.0,3800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,7,1.0,0.0025390625,48.2729,1.7548,0.2005819401178535,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,2857142.8571428573,1523.8,1000:10:2:7,F27,FQ:1000:10:2:7|N4,60,0.0718763769337649,0.1868192616154143,3.0,6.009891089281449,True,,in_box_pred,3.0049455446407247,0.576538687222412,True,16.85114805181296,False,,0.18692062081075453,28.746513971353657,2.803902400472236,8.42557402590648,,5.42557402590648,,10.84125696253151,14.85114805181296,12.85114805181296
27,zro2_120_formal,28,28,zro2_120_formal:m028,single,formal,,28,-3900.0,4400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,9,1.0,0.0,9.989,0.3221,0.2102607814675598,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,277777.7777777777,148.14722222222224,1000:10:4:9,F28,FQ:1000:10:4:9|N1,143,0.0072674111019691,0.4235140119089293,3.0,5.664447441813953,True,,in_box_pred,1.4161118604534884,0.6614303684866183,True,10.15857296040633,True,7.536507573664894,0.44858140269758856,18.467231205212336,1.7933916882020184,2.5396432401015825,1.8841268934162234,0.4603567598984175,0.11587310658377659,4.4941255185923765,6.15857296040633,2.15857296040633
28,zro2_120_formal,29,29,zro2_120_formal:m029,single,formal,,29,-3900.0,5000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,4,7,1.0,0.0002734375,39.5635,0.5222,0.2381367823531738,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,1428571.4285714286,761.9,1000:10:4:7,F29,FQ:1000:10:4:7|N4,99,0.0228807852553065,0.2504962607918012,3.0,6.009891089281449,True,,in_box_pred,1.5024727723203624,0.7152855961652111,True,16.448715843082976,False,,0.14041175730580774,22.00801354527221,2.7369407529562415,4.112178960770744,,1.112178960770744,,10.438824753801526,12.448715843082976,8.448715843082976
29,zro2_120_formal,30,30,zro2_120_formal:m030,single,formal,,30,-3900.0,5600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,2,7,1.0,0.0,17.5765,0.3347,0.2025703016512185,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,476190.4761904762,253.96666666666667,1000:10:6:7,F30,FQ:1000:10:6:7|N2,118,0.0151563184647022,0.4925534341695751,3.0,5.79669101962108,True,,in_box_pred,0.9661151699368467,0.8534123464119967,True,11.469957883713992,True,11.851008286901518,0.373442602476098,14.103713163843718,1.9787078257042867,1.9116596472856653,1.9751680478169196,0.08834035271433471,0.02483195218308043,5.673266864092912,5.469957883713992,0.5300421162860083
30,zro2_120_formal,31,31,zro2_120_formal:m031,single,formal,,31,-3900.0,6200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,2,9,1.0,0.0,10.0665,0.5314,0.1909103953566175,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,277777.7777777777,148.14722222222224,1000:10:8:9,F31,FQ:1000:10:8:9|N2,97,0.024030868946523,0.4418353332682509,3.0,5.771047476644139,True,,in_box_pred,0.7213809345805173,0.8504476086513063,True,9.442777413200083,True,7.536507573664894,0.5606909930457308,12.191854136058312,1.6362328418568226,1.1803471766500104,0.9420634467081117,0.18034717665001043,0.05793655329188829,3.671729936555945,1.4427774132000835,6.5572225867999165
