dataset_index,session_id,median_depth_um,Sq_um,Sa_um,Ssk,Sku,grad_rms_um_per_um,aniso_gradx_over_y,lap_rms_um,corr_len_um,pit_count_per_roi,pit_depth_um,rms_DCT_8_16_um,E_DCT_8_16_frac,rms_DCT_16_32_um,E_DCT_16_32_frac,rms_DCT_32_64_um,E_DCT_32_64_frac,rms_DCT_64_inf_um,E_DCT_64_inf_frac
76,zro2_120_formal,29.0964,0.24946252611004938,0.1907006937265396,0.5527777553189024,1.8272837057307765,0.13595172614431633,1.158918347218783,0.046517384918794924,8.5,9,0.8327245712280273,0.1290494306798098,0.26760951706069397,0.11733557471295694,0.22123242415674707,0.08649513364088285,0.12021889075792222,0.11950802147792045,0.22950041825882952
77,zro2_120_formal,4.4573,0.7181731534536773,0.6046301929326728,0.04331696777374424,-0.6349465261709515,0.5244719270801304,2.8967252349860066,0.14639511050168816,21.0,0,1.890265941619873,0.593228096399874,0.6823152701491876,0.28169874779328813,0.1538549594434893,0.09927197791958944,0.019107110581651404,0.0667943020259477,0.008650087471633502
78,zro2_120_formal,6.5035,2.5381418247553262,2.34847104548011,0.08129441584966168,-1.5625008383984542,1.726613553573655,3.295254843013698,0.8031538512687789,21.25,0,5.188738584518433,2.140285468177783,0.7110688179235143,0.6771100267790268,0.07116832074984338,0.5549489919710135,0.04780511446015412,0.6662537741189978,0.06890450116807424
79,zro2_120_formal,49.6996,0.43212117609195366,0.2872701348364353,2.5108446448379884,13.65002915180369,0.1998245365637266,1.0666437411459107,0.0885662010855929,6.25,0,0.9553966522216797,0.2028220550918426,0.22030241546395193,0.216365205823033,0.25070543294326125,0.2325902292463047,0.2897155691871207,0.16948733686313203,0.15383792470755295
80,zro2_120_formal,50.5904,0.4746853157378821,0.2953379189968109,3.3517333114375885,25.8323170779498,0.32036582095254135,0.8284653638135236,0.16432948970400635,4.0,0,1.0477371215820312,0.26482792030331215,0.3112547198384974,0.2136596388250335,0.20259717511733843,0.17319125929472826,0.133119091735476,0.1897687370062525,0.1598224338738267
81,zro2_120_formal,37.2541,0.8489634204941184,0.3300959448516369,6.956393412992277,56.903331314340264,0.5267609010111014,1.2330538652983847,0.2780845039251908,4.25,1,1.0206890106201172,0.5148126625182781,0.36772273761019286,0.4165235850531273,0.24071393880949793,0.33963069330830226,0.16004271386434363,0.2564716494029027,0.09126426771274537
82,zro2_120_formal,45.0402,7.107023639977323,3.136149873137474,2.4313956553541187,5.353117113800048,2.070966549817936,0.8052364099891587,1.0371848923812153,17.25,0,1.6214103698730469,1.7152386263797679,0.05824700192857709,2.404512591991433,0.11446654945864454,3.7169055811213343,0.27351902396179895,5.138816124749821,0.5228181263086448
83,zro2_120_formal,47.2083,3.7833624105870998,1.010572329238057,4.997438028337787,24.059380258868362,1.1544721835390668,0.7237771972145971,0.5177672503020465,10.0,12,1.2684478759765625,0.9952107833971928,0.06919492722846508,1.5713743943536775,0.17250570199072876,2.51127325828659,0.440587381573666,2.025906311321223,0.2867363981746276
84,zro2_120_formal,19.0499,0.6864754824917072,0.5365811208635569,0.6807688045673985,2.7586247779000805,0.448297836965214,2.1994057831905978,0.19340097182156904,21.25,0,1.892049789428711,0.5229305250084436,0.5802804314174416,0.1869015404117658,0.07412687633066942,0.11300389310007555,0.027097969477814565,0.22443158933749596,0.10688528213882692
85,zro2_120_formal,4.8342,1.424675020601857,1.130491578268593,0.0955891823218236,0.2252149733589035,0.900459057260312,1.8626616402285834,0.42261464677206423,21.25,0,4.647732734680176,1.070825335008433,0.5649443323844835,0.6070550631246842,0.18156183021240035,0.49698299115668393,0.12168903070086788,0.18431742823643768,0.016737908323196108
86,zro2_120_formal,38.13,0.594923238357644,0.4728240618109703,0.1886347923590326,0.19983491415009924,0.3337963041343407,2.3201819644472117,0.12285309953729605,21.25,0,1.6262073516845703,0.4169940442932879,0.49128990218979157,0.3758863018521555,0.39920055104264995,0.0996953270834763,0.028081980830127067,0.0754502573303113,0.016084204420235032
87,zro2_120_formal,17.6588,1.238820896849605,0.9336053667590022,-0.8100619354523931,0.40853711777274704,0.8758707272479068,2.420003380394943,0.41498073020343546,21.0,131,4.167594909667969,0.80355597313284,0.4207413753646745,0.5833725986169404,0.22175581002180508,0.23365884253010433,0.035575203813342685,0.3759370635471991,0.09209016359650754
88,zro2_120_formal,38.2797,0.5116972080508037,0.38968468829989433,0.9562205828433616,3.368752211103395,0.30165037269880624,1.4820370064141166,0.1458598025527579,21.5,0,1.4906730651855469,0.2494931442726568,0.23773391255047852,0.34937766769029766,0.4661913251284188,0.10078033095634702,0.038790507872065415,0.15396726369066205,0.09053795658835481
89,zro2_120_formal,41.9254,0.5361639130454028,0.41224444150924683,0.8502335400520413,6.038650187336184,0.2803833094424363,1.1757653576327602,0.10225072279825806,4.75,0,1.70391845703125,0.29990668302302187,0.3128795129738487,0.31268310047586223,0.3401055031054185,0.23757483503665758,0.19633861025195942,0.08523821127645524,0.02527397169493259
90,zro2_120_formal,47.3335,0.549210907458636,0.3476215760409832,5.025171298037781,61.069191627291914,0.33413653325893355,1.1826803820673595,0.14320102824344494,4.25,0,1.354269027709961,0.3001044491595758,0.29858401967646925,0.247358620641887,0.20285036488780647,0.21639472236352034,0.15524407052355238,0.21143053925099117,0.14820304514412358
91,zro2_120_formal,25.7712,0.8918833631292288,0.6763448939472437,0.8019072724595705,2.3360901261880187,0.5773573537124611,2.1762006106575575,0.21827999342892762,10.0,0,2.3087549209594727,0.5597061487604731,0.3938256788289415,0.33883501881668343,0.1443312761298061,0.31806128423772895,0.12717609647483374,0.26164434628997557,0.08606103879394422
92,zro2_120_formal,35.6122,0.8039851853049615,0.5644127774238586,1.8569456686007157,8.576972114887761,0.4669001299300035,1.5669410686197622,0.1837960021741989,6.0,0,2.1064815521240234,0.48862869438561385,0.36937018892401174,0.32964422459504694,0.1681105039253018,0.2683345666690729,0.11139280780147501,0.35307419496989595,0.1928572024227458
93,zro2_120_formal,45.2375,0.5899495626324645,0.43040752500295637,-1.1889517608767712,2.7376189944943725,0.2395240927211839,1.3904590525903868,0.09146844833169086,11.75,474,2.848695755004883,0.2713911667971715,0.21162240682611308,0.27972021429617683,0.22481119677749498,0.22235424515492977,0.14205649130848427,0.35718081344916774,0.36656118602009446
94,zro2_120_formal,42.3406,1.0370889597322765,0.73007877856493,0.6816332393648663,7.404350042280203,0.48379250564311604,1.5422734779505312,0.16931001931024342,22.0,211,5.510120391845703,0.5155418360365958,0.24711312095061727,0.7400156654765301,0.5091547559988299,0.32819805747316083,0.10014747187170618,0.3027714979361362,0.08523107318809336
95,zro2_120_formal,44.5562,0.7039122837654384,0.5274204944074153,1.3289241506127345,14.364782817469898,0.42498608180161906,1.348639430606738,0.21428142057080019,21.5,0,2.050067901611328,0.4088112635652303,0.3372940016778437,0.46057058119718514,0.42810992876582926,0.18423671662762595,0.06850389770189881,0.14267345459773859,0.04108178128612939
96,zro2_120_formal,29.3917,0.4818403734605209,0.2274613769352436,7.436393602080374,84.81545872046767,0.34996250560596215,1.2557472554037878,0.17196575334344108,3.5,0,0.7245635986328125,0.2929037512811512,0.369524717879097,0.20483608382993454,0.180720140175831,0.18397389655744378,0.14578271699032228,0.10123657913758405,0.04414368149513669
97,zro2_120_formal,9.6619,0.2895653368065848,0.23057155288755893,0.3283346540287006,0.11641186795805858,0.15520044980111172,1.2850695364400386,0.047397106674949535,6.0,0,0.9347305297851562,0.15829556563707842,0.2988438712172951,0.13191960852768475,0.2075513503206789,0.06803063500028203,0.05519705474833917,0.15997615800232973,0.30522308707437007
