scale,permutation,null_median_cos_pc1_next
DCT_8_16,114,0.9857847227920027
DCT_8_16,115,0.9894592774004474
DCT_8_16,116,0.9463594855393337
DCT_8_16,117,0.9801093316237869
DCT_8_16,118,0.9942270369540415
DCT_8_16,119,0.996811790441549
DCT_8_16,120,0.9895298376223234
DCT_8_16,121,0.9530026633353951
DCT_8_16,122,0.9854924348369586
DCT_8_16,123,0.9798425491356703
DCT_8_16,124,0.9713500265381322
DCT_8_16,125,0.9816752496464197
DCT_8_16,126,0.9883470472283593
DCT_8_16,127,0.9869422132373225
DCT_8_16,128,0.9801532499972769
DCT_8_16,129,0.9896220388635206
DCT_8_16,130,0.9888077276532332
DCT_8_16,131,0.9948681644723834
DCT_8_16,132,0.9707204782442609
DCT_8_16,133,0.9078439042441749
DCT_8_16,134,0.9420550873597349
DCT_8_16,135,0.9678536804997595
DCT_8_16,136,0.9760486790037548
DCT_8_16,137,0.9898071507485806
DCT_8_16,138,0.9854426021680563
DCT_8_16,139,0.9825297017909557
DCT_8_16,140,0.988846532525727
DCT_8_16,141,0.9840690080858636
DCT_8_16,142,0.9846521330567191
DCT_8_16,143,0.9865732188135568
DCT_8_16,144,0.9820686376158262
DCT_8_16,145,0.9777381174969257
DCT_8_16,146,0.9832264183412036
DCT_8_16,147,0.9794177547790186
DCT_8_16,148,0.9889561333630651
DCT_8_16,149,0.9432572172498873
DCT_8_16,150,0.9520061754655809
DCT_8_16,151,0.9762931849881529
DCT_8_16,152,0.993871075139392
DCT_8_16,153,0.9858022434798457
DCT_8_16,154,0.981046473068121
DCT_8_16,155,0.9741955488228862
DCT_8_16,156,0.9693632266393633
DCT_8_16,157,0.9917556385546367
DCT_8_16,158,0.9876051997367047
DCT_8_16,159,0.9901851473016666
DCT_8_16,160,0.9824224321052238
DCT_8_16,161,0.9776010554337652
DCT_8_16,162,0.9794317574392843
DCT_8_16,163,0.9748053727556423
DCT_8_16,164,0.9843046974396048
DCT_8_16,165,0.9860518059071168
DCT_8_16,166,0.9953480732612052
DCT_8_16,167,0.948168727273923
DCT_8_16,168,0.9652864745120767
DCT_8_16,169,0.9929982985591015
DCT_8_16,170,0.9681303843104948
DCT_8_16,171,0.8537734756690313
DCT_8_16,172,0.9448972767306836
DCT_8_16,173,0.955764231175914
DCT_8_16,174,0.9723561076378348
DCT_8_16,175,0.9662154078516934
DCT_8_16,176,0.9931118859960343
DCT_8_16,177,0.984411120166508
DCT_8_16,178,0.9293240643340227
DCT_8_16,179,0.9095643913125037
DCT_8_16,180,0.9954701124826801
DCT_8_16,181,0.9870163144665308
DCT_8_16,182,0.9638589680797365
DCT_8_16,183,0.9908690752033543
DCT_8_16,184,0.9504313001280541
DCT_8_16,185,0.9605369335958871
