kind,scale,window_center_depth_um,evr_pc1,cos_pc1_next,cos_pc13_next_worst
nonoverlap,DCT_16_32,3.5307459999999997,,0.06288079455479703,0.03255411008492841
nonoverlap,DCT_16_32,14.908479999999999,,0.07034963664148498,0.12946515043236803
nonoverlap,DCT_16_32,36.096326,,0.2141555416632917,0.0070977649673567185
overlap,DCT_32_64,3.5307459999999997,0.4669371194166106,0.2844934782128075,0.24474591136218565
overlap,DCT_32_64,5.04847,0.29504680167015723,0.9955169609907938,0.986566522357618
overlap,DCT_32_64,6.762202000000001,0.28031361265497223,0.4338930506674334,0.22564609388699092
overlap,DCT_32_64,8.982137999999999,0.22462193353900697,0.5926560729605315,0.8566893356712797
overlap,DCT_32_64,11.578942,0.23636385187176184,0.944919906171412,0.24266417504876142
overlap,DCT_32_64,14.908479999999999,0.3018232187174617,0.18487258909852544,0.5087218491393038
overlap,DCT_32_64,19.013384000000002,0.6893349476512315,0.9995421589722617,0.9295185203605445
overlap,DCT_32_64,23.469266,0.665964827151167,0.8088498891693643,0.1039751723758994
overlap,DCT_32_64,27.898742000000002,0.6616709160848386,0.999863200589258,0.9648487090697166
overlap,DCT_32_64,32.229470000000006,0.6866143655934692,0.9932405476025162,0.1905281395021438
overlap,DCT_32_64,36.096326,0.5796547083619903,0.7787841802580797,0.13294512035490752
overlap,DCT_32_64,39.367364,0.41505120899187137,0.8935786665346187,0.7861907765934746
overlap,DCT_32_64,42.296556,0.344190145183509,0.2887345206497504,0.28808059838013395
overlap,DCT_32_64,45.047982000000005,0.2865973094473639,0.37506007266220126,0.5954683549067518
overlap,DCT_32_64,48.049182,0.516185247346332,0.9960646646454969,0.05062275598004727
nonoverlap,DCT_32_64,3.5307459999999997,,0.14315845648827072,0.0457190785385545
nonoverlap,DCT_32_64,14.908479999999999,,0.004476675352998711,0.07473324133303152
nonoverlap,DCT_32_64,36.096326,,0.329744963245244,0.11806492008588684
