subset,scale,n,evr_pc1,evr_cum3,eigengap_l1_over_l2,theta1_q25_deg,theta1_q50_deg,theta1_q75_deg,theta1_q90_deg,theta1_q95_deg,theta3_q50_deg,loco_median_deg,loco_max_deg,baseline_pool,rand_theta1_q50_deg,rand_theta1_q25_deg,rand_theta1_q75_deg,rand_theta1_q90_deg,prank1,stable_call
formal f=50kHz,DCT_8_16,24,0.23918224077496886,0.5651566287203257,1.214077181855785,16.1355472027793,59.74607029862261,84.58084411963506,87.28691741218498,88.50258198374699,75.29217357473956,0.5316704050384256,85.00342152714619,zro2_120_formal,25.187342967876507,13.05120178318705,49.76153136259011,64.21061761860607,0.15,not_called
formal f=50kHz,DCT_16_32,24,0.26721223442664527,0.5660938952560245,1.5849117295984416,7.074316821784355,43.884514418431934,84.93418477575773,87.91267609103818,88.93301049166891,79.60538187991156,0.5157993107358055,89.74906348350743,zro2_120_formal,20.657113623514384,10.096943294676853,38.0476084209202,48.417638833576525,0.15,not_called
formal f=50kHz,DCT_32_64,24,0.4409635602566603,0.8050642151723417,1.6298448860730679,3.6451254607586843,9.972011814212497,85.60757025192629,86.40653853048653,86.80482327403126,75.18405371009811,0.33852887503368434,85.62783528636366,zro2_120_formal,9.569928778784604,4.095576896305128,34.02685990048635,43.37130660545102,0.48,not_called
formal f=50kHz,DCT_64_inf,24,0.5825680074086421,0.8418248606395256,3.6556269973869693,4.368963806462254,6.749995219941714,59.72160231716321,83.74693892632372,87.6089874306236,69.15465220244505,0.2074388784520541,68.21274798368461,zro2_120_formal,7.686152839997593,3.937016375712797,18.504004459982937,28.15688341624746,0.54,not_called
formal f=100kHz,total,24,0.5342433873836246,0.862101804057034,1.85603504291272,1.629836867116138,4.436463558651676,86.62787343640625,87.08012480685518,88.20538437722821,83.45051927675065,0.3575730678443533,86.6862910394069,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.75,not_called
formal f=100kHz,G2,24,0.541971767835086,0.8801813356356621,1.8167210750570568,1.5561806977735615,4.5474992490155675,86.499667559078,87.09596885963833,88.36148341962026,83.08331956059519,0.3530059956816969,86.51845477475274,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.71,not_called
formal f=100kHz,G4,24,0.5519274369140058,0.90599827799321,1.7547107746698731,1.4457147169601021,4.744952375607284,86.36526896028215,87.2272683055975,88.71355437838305,81.5904053493172,0.3245935341515822,86.34331421989566,zro2_120_formal,7.939832912345029,3.6397554466495574,30.017116878369723,42.117384137155064,0.69,not_called
formal f=100kHz,G8,24,0.559363250965547,0.9410843056481921,1.6281985876307121,1.3135314343420532,5.255335511782368,86.25956353594083,87.59138552027247,89.21258132895383,78.06136934072059,0.30151793765008666,86.20818627827578,zro2_120_formal,9.529082221289144,3.8741582894145257,20.518046208023904,36.29497027989035,0.67,not_called
formal f=100kHz,G16,24,0.5538335106314625,0.971020169499696,1.4487980528282516,1.3127645302867619,6.654430517088609,86.11631739614185,87.92076982130095,89.32155373907285,64.11505619890892,0.33052974945074604,86.07970404328184,zro2_120_formal,8.583076850916623,2.959741399859731,17.532365995263447,25.23152364445446,0.55,not_called
formal f=100kHz,DCT_8_16,24,0.35862742253875746,0.5445177211119998,3.2595395273434074,4.196683989474907,5.342500716699874,83.00051542457422,87.85855258629681,88.95396526903527,83.2505464021599,0.5834104014877349,87.17114669334275,zro2_120_formal,25.187342967876507,13.05120178318705,49.76153136259011,64.21061761860607,0.9,not_called
formal f=100kHz,DCT_16_32,24,0.4573028148565723,0.6231903795906197,4.914103464461144,3.7414717346802835,4.933803037472157,79.65888679778091,85.52645087831097,87.91591565985156,76.8673858319604,0.464876878342879,83.52340479456367,zro2_120_formal,20.657113623514384,10.096943294676853,38.0476084209202,48.417638833576525,0.85,not_called
formal f=100kHz,DCT_32_64,24,0.758438873373676,0.8961917367509388,7.9460805967713455,2.9069068281616337,3.6721004662860786,57.08931275272657,68.77535125824994,76.52815553258523,75.06985043378617,0.17191426033984405,56.816235655878224,zro2_120_formal,9.569928778784604,4.095576896305128,34.02685990048635,43.37130660545102,0.83,not_called
formal f=100kHz,DCT_64_inf,24,0.5199613851025559,0.9822697854018025,1.2273437767932607,15.343394301523988,20.78272691741812,68.19478146725109,72.60657425856756,86.44240836283572,46.75010881372734,0.4421542864805321,68.39896760058612,zro2_120_formal,7.686152839997593,3.937016375712797,18.504004459982937,28.15688341624746,0.23,not_called
formal f=200kHz,total,24,0.464776847381295,0.7326981566571006,3.0385703768559895,5.817026050239536,8.378173608202228,67.79050750020153,78.63734073719759,84.4612469266979,70.75722686856288,0.3302359208350465,78.72905510665663,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.54,not_called
formal f=200kHz,G2,24,0.47586224021952334,0.7452168345077861,3.0757829693780527,5.698023016294082,8.274031054011399,67.2713498900047,78.16605619108385,84.16199650730712,69.59470368066978,0.31423102950591664,77.1373830054751,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.52,not_called
formal f=200kHz,G4,24,0.49435316954445413,0.7638241364977344,3.170450498443734,5.480825844983139,7.986882355688614,66.50339351054345,77.33992988141756,83.1816022009096,67.88624332768373,0.28745962020284876,74.17322054272847,zro2_120_formal,7.939832912345029,3.6397554466495574,30.017116878369723,42.117384137155064,0.5,not_called
formal f=200kHz,G8,24,0.5344848267947766,0.7986788324395843,3.443493213259702,5.028294753693837,7.300970447365355,64.63251190095639,75.48272787868153,79.69426756665777,61.6944938066211,0.24499309367282596,67.93619639454928,zro2_120_formal,9.529082221289144,3.8741582894145257,20.518046208023904,36.29497027989035,0.6,not_called
