feature,value_std,balance,response
pulse_duration_fs,-0.14448975746114057,z1,-0.584154380493727
pulse_duration_fs,-0.14448975746114057,z2,-0.26971916113844596
pulse_duration_fs,-0.14448975746114057,z3,0.029066212058467378
pulse_duration_fs,-0.14448975746114057,z4,-0.8057807014415009
pulse_duration_fs,-0.14448975746114057,z1,-0.584154380493727
pulse_duration_fs,-0.14448975746114057,z2,-0.26971916113844596
pulse_duration_fs,-0.14448975746114057,z3,0.029066212058467378
pulse_duration_fs,-0.14448975746114057,z4,-0.8057807014415009
pulse_duration_fs,-0.14448975746114057,z1,-0.584154380493727
pulse_duration_fs,-0.14448975746114057,z2,-0.26971916113844596
pulse_duration_fs,-0.14448975746114057,z3,0.029066212058467378
pulse_duration_fs,-0.14448975746114057,z4,-0.8057807014415009
pulse_duration_fs,-0.14448975746114057,z1,-0.584154380493727
pulse_duration_fs,-0.14448975746114057,z2,-0.26971916113844596
pulse_duration_fs,-0.14448975746114057,z3,0.029066212058467378
pulse_duration_fs,-0.14448975746114057,z4,-0.8057807014415009
pulse_duration_fs,-0.14448975746114057,z1,-0.584154380493727
pulse_duration_fs,-0.14448975746114057,z2,-0.26971916113844596
pulse_duration_fs,-0.14448975746114057,z3,0.029066212058467378
pulse_duration_fs,-0.14448975746114057,z4,-0.8057807014415009
pulse_duration_fs,0.914664013695145,z1,-0.22961435419457743
pulse_duration_fs,0.914664013695145,z2,-0.4189546265275163
pulse_duration_fs,0.914664013695145,z3,0.20314852891266205
pulse_duration_fs,0.914664013695145,z4,-0.4542495148747058
pulse_duration_fs,0.914664013695145,z1,-0.22961435419457743
pulse_duration_fs,0.914664013695145,z2,-0.4189546265275163
pulse_duration_fs,0.914664013695145,z3,0.20314852891266205
pulse_duration_fs,0.914664013695145,z4,-0.4542495148747058
pulse_duration_fs,0.914664013695145,z1,-0.22961435419457743
pulse_duration_fs,0.914664013695145,z2,-0.4189546265275163
pulse_duration_fs,0.914664013695145,z3,0.20314852891266205
pulse_duration_fs,0.914664013695145,z4,-0.4542495148747058
pulse_duration_fs,0.914664013695145,z1,-0.22961435419457743
pulse_duration_fs,0.914664013695145,z2,-0.4189546265275163
pulse_duration_fs,0.914664013695145,z3,0.20314852891266205
pulse_duration_fs,0.914664013695145,z4,-0.4542495148747058
pulse_duration_fs,0.914664013695145,z1,-0.22961435419457743
pulse_duration_fs,0.914664013695145,z2,-0.4189546265275163
pulse_duration_fs,0.914664013695145,z3,0.20314852891266205
pulse_duration_fs,0.914664013695145,z4,-0.4542495148747058
pulse_duration_fs,0.914664013695145,z1,-0.22961435419457743
pulse_duration_fs,0.914664013695145,z2,-0.4189546265275163
pulse_duration_fs,0.914664013695145,z3,0.20314852891266205
pulse_duration_fs,0.914664013695145,z4,-0.4542495148747058
pulse_duration_fs,1.9738177848514307,z1,-0.27283545740717896
pulse_duration_fs,1.9738177848514307,z2,-0.5012343904198913
pulse_duration_fs,1.9738177848514307,z3,0.10378053242876789
pulse_duration_fs,1.9738177848514307,z4,-0.29561303925923427
