target,input_set,model,cv_variant,Q2_median,Q2_q25,Q2_q75,n_pos,n_folds,dA_median_median,R2_z1_median,R2_z2_median,R2_z3_median,R2_z4_median,R2_median,R2_q25,R2_q75
ilr_z1_z4,C,ridge,proc_gss,0.34523541706106287,0.34032539677028206,0.38103736621361683,5,5,1.279872313491559,0.4643112187826055,0.26428119255721716,0.13324344528009968,0.05955111559647808,,,
ilr_z1_z4,C,ridge,src_gkf,0.35735385424167876,0.3345425006892341,0.4144432773226512,5,5,1.3164237869555993,0.4738047782474881,0.2660314005743454,0.2067802131241716,0.24044345968238767,,,
ilr_z1_z4,C,ridge,src_gss,0.34759585109621494,0.157914876235134,0.38060519187944963,5,5,1.357047467466471,0.50933578447932,0.38871259458775953,0.16684883694731045,0.16876030505504858,,,
ilr_z1_z4,C,spline,proc_gkf,-0.04394928280144428,-0.252341659828323,-0.005581812216439053,0,5,1.958536083752588,-0.16734228669061335,-0.05144386914540777,-0.10229578978471898,-0.15351532471857743,,,
ilr_z1_z4,C,spline,proc_gss,-0.02791712286507364,-0.08173942771519083,-0.020052283798329906,1,5,1.6667037558649633,-0.11352584257093001,-0.07584416731484378,-0.03322528488431842,-0.10410376324450232,,,
ilr_z1_z4,C,spline,src_gkf,-0.03851615731652602,-0.12764969515602642,-0.024191581524886763,0,5,1.8592537779362606,-0.14066514406900188,-0.06201143503306206,-0.0463778679271849,-0.14793783547808959,,,
ilr_z1_z4,C,spline,src_gss,-1.2559608987254425,-1.4379816087115813,-0.2757580029958109,1,5,2.0476467999399404,-1.1217450474542416,-0.4489840565972174,-0.643310261805083,-0.09938467759204439,,,
ilr_z1_z4,R,dummy,src_gkf,0.0,0.0,0.0,0,5,1.806928859517251,-0.011558392623570724,-0.06776242131806987,-0.0038463221464251074,-0.004138949944936021,,,
ilr_z1_z4,R,extratrees,src_gkf,0.29448020984547996,0.2385346649856951,0.32527761351828255,5,5,1.2590465197497922,0.3678346611582489,0.10380085100444869,0.041606102001978895,0.08920418984783529,,,
ilr_z1_z4,R,ridge,src_gkf,0.15807842810028794,0.10628060707572329,0.17270647977917164,5,5,1.400317520568056,0.18728413761766993,-0.06594374834546013,0.009292564050266017,0.19162157097274635,,,
ilr_z1_z4,R,spline,src_gkf,-0.038421458772927686,-0.07675940384412949,0.0032462305281980575,2,5,1.7147286730079685,-0.10221367842854745,-0.18963539040910415,-0.05103581382171929,0.01577313986789397,,,
A2_16_32,A,dummy,proc_gkf,,,,0,5,,,,,,-0.0628466575640294,-0.10116633171323386,-0.015344716747366816
A2_16_32,A,dummy,proc_gss,,,,0,5,,,,,,-0.008572401707794386,-0.04793438779216408,-0.004024953152680144
A2_16_32,A,dummy,src_gkf,,,,0,5,,,,,,-0.08217939883189129,-0.12160779276866962,-0.022073561859859314
A2_16_32,A,dummy,src_gss,,,,0,5,,,,,,-0.09747850288701043,-0.10792785251457793,-0.03488401524565732
A2_16_32,A,extratrees,proc_gkf,,,,2,5,,,,,,-0.020085007061221516,-0.10051040753659723,0.29322002534532765
A2_16_32,A,extratrees,proc_gss,,,,4,5,,,,,,0.18397574705345965,0.1712697796921211,0.25096061295993666
A2_16_32,A,extratrees,src_gkf,,,,4,5,,,,,,0.23387752158049713,0.09911798760653467,0.245068225619275
A2_16_32,A,extratrees,src_gss,,,,4,5,,,,,,0.12648314708910013,0.11065345943909355,0.3655930228760783
A2_16_32,A,ridge,proc_gkf,,,,2,5,,,,,,-0.0449332915029792,-0.09673128484080507,0.15335946238222986
A2_16_32,A,ridge,proc_gss,,,,4,5,,,,,,0.11231287815303781,0.06423846117788856,0.2144918753982471
A2_16_32,A,ridge,src_gkf,,,,4,5,,,,,,0.11900000452261339,0.05820647051957406,0.12250457906305423
A2_16_32,A,ridge,src_gss,,,,4,5,,,,,,0.006874075107593303,0.0006313735040407442,0.15113339874843967
A2_16_32,A,spline,proc_gkf,,,,0,5,,,,,,-0.36686528779696004,-0.6637270173442504,-0.3204347189899166
A2_16_32,A,spline,proc_gss,,,,0,5,,,,,,-0.2219963701715506,-0.3696694906258502,-0.0030865639971588976
A2_16_32,A,spline,src_gkf,,,,0,5,,,,,,-1.0244919712456557,-2.1701853312048756,-0.37688851892142283
A2_16_32,A,spline,src_gss,,,,0,5,,,,,,-0.1639177989665439,-0.5826724811058239,-0.13729267282450097
A2_16_32,C,dummy,proc_gkf,,,,0,5,,,,,,-0.0628466575640294,-0.10116633171323386,-0.015344716747366816
A2_16_32,C,dummy,proc_gss,,,,0,5,,,,,,-0.008572401707794386,-0.04793438779216408,-0.004024953152680144
A2_16_32,C,dummy,src_gkf,,,,0,5,,,,,,-0.08217939883189129,-0.12160779276866962,-0.022073561859859314
A2_16_32,C,dummy,src_gss,,,,0,5,,,,,,-0.09747850288701043,-0.10792785251457793,-0.03488401524565732
A2_16_32,C,extratrees,proc_gkf,,,,3,5,,,,,,0.033853616045783186,-0.032595269289500184,0.34418562630575955
A2_16_32,C,extratrees,proc_gss,,,,4,5,,,,,,0.23721887973106948,0.04729540671910293,0.2581389515764674
A2_16_32,C,extratrees,src_gkf,,,,4,5,,,,,,0.25816551544933075,0.058895592254467055,0.26769462936320576
A2_16_32,C,extratrees,src_gss,,,,4,5,,,,,,0.192531422099244,0.13898719756489286,0.36753910576851745
A2_16_32,C,ridge,proc_gkf,,,,2,5,,,,,,-0.00710276607295568,-0.07025501894571051,0.0119195078715566
A2_16_32,C,ridge,proc_gss,,,,5,5,,,,,,0.1356716999116323,0.0810249364422253,0.16387713106154322
A2_16_32,C,ridge,src_gkf,,,,5,5,,,,,,0.07933595815022876,0.0386995612648765,0.12009725880211597
A2_16_32,C,ridge,src_gss,,,,3,5,,,,,,0.05303900392481753,-0.06922384911805901,0.12555501143929482
A2_16_32,C,spline,proc_gkf,,,,0,5,,,,,,-0.1080757667861143,-0.14376033893713736,-0.04381667505667619
A2_16_32,C,spline,proc_gss,,,,1,5,,,,,,-0.01440166096432649,-0.0947708549152011,-0.0015518965332508294
A2_16_32,C,spline,src_gkf,,,,0,5,,,,,,-0.21254329980557674,-0.2686869412804147,-0.030821833432149504
A2_16_32,C,spline,src_gss,,,,0,5,,,,,,-0.015204295365341736,-0.165464263362332,-0.005896216585326464
A2_16_32,R,dummy,src_gkf,,,,0,5,,,,,,-0.08217939883189129,-0.12160779276866962,-0.022073561859859314
A2_16_32,R,extratrees,src_gkf,,,,2,5,,,,,,-0.05973488162299989,-0.10312508086115746,0.007098101974452264
A2_16_32,R,ridge,src_gkf,,,,3,5,,,,,,0.0017897492747736,-0.003257982125127956,0.0084450629086118
A2_16_32,R,spline,src_gkf,,,,1,5,,,,,,-0.09369015846996498,-0.11067238488514963,-0.007858514152371932
A2_32_64,A,dummy,proc_gkf,,,,0,5,,,,,,-0.005950499931150821,-0.006156518748214879,-0.003061602200428837
A2_32_64,A,dummy,proc_gss,,,,0,5,,,,,,-0.001813043203308995,-0.06798304511014286,-0.0015035176658191318
A2_32_64,A,dummy,src_gkf,,,,0,5,,,,,,-0.024250972034080442,-0.030652082149032145,-0.00653189640684948
A2_32_64,A,dummy,src_gss,,,,0,5,,,,,,-0.003572396589730298,-0.06279653281530018,-0.003191514776581972
A2_32_64,A,extratrees,proc_gkf,,,,0,5,,,,,,-0.19624812019357218,-0.2649526201334482,-0.15457031752618278
A2_32_64,A,extratrees,proc_gss,,,,1,5,,,,,,-0.23376626116693444,-0.3022601348758247,-0.05799263862592019
A2_32_64,A,extratrees,src_gkf,,,,1,5,,,,,,-0.07226811809016498,-0.21200716901483996,-0.050625747170312874
A2_32_64,A,extratrees,src_gss,,,,1,5,,,,,,-0.21990519642059558,-0.2922765244714538,-0.1966923466710948
A2_32_64,A,ridge,proc_gkf,,,,2,5,,,,,,-0.04898816727437372,-0.06559282587904636,0.038393463267236805
A2_32_64,A,ridge,proc_gss,,,,2,5,,,,,,-0.007808455788724578,-0.07633867289258767,0.018901513377233004
A2_32_64,A,ridge,src_gkf,,,,2,5,,,,,,-0.029783848245860334,-0.03651230875003919,0.029978622697582336
A2_32_64,A,ridge,src_gss,,,,2,5,,,,,,-0.0691928701872242,-0.1270926958756633,0.005508023274538698
A2_32_64,A,spline,proc_gkf,,,,1,5,,,,,,-0.005268666580386938,-0.0638102736362336,-0.004451915716759958
A2_32_64,A,spline,proc_gss,,,,0,5,,,,,,-0.00517796596901654,-0.06683867639740382,-0.0011144392817623583
