outer_fold,dataset_index,nearest_train_distance,train_threshold,support_status,scope
2,144,1.5239274768416273,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,145,1.2025396078391848,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,146,1.4027091138369219,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,147,1.7234044436279317,1.6127152668545526,OOS,unconditional_process_diagnostic_not_design_support_gate
2,180,0.5866926366030647,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,181,0.7789289225120691,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,182,0.7043079785193443,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,183,0.9304297928717663,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,192,0.8200418299047296,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,193,0.9676372338898803,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,194,0.8704763175722812,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
2,195,0.7220523968720169,1.6127152668545526,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,1,1.24836671265683,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,4,0.73967324337333,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,13,0.8354978881544174,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,20,0.8387755414319548,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,34,0.7120753237760781,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,40,0.9396051736337657,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,48,0.7377676440673556,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,49,0.7377676440673556,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,52,1.0964717571031168,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,54,0.39135008627699197,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,59,0.7381746616360402,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,74,0.43180449603961063,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,75,1.1031416587999008,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,76,0.9689496622709018,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,81,0.9689496622709018,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,90,0.43180449603961063,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,92,0.854226546233685,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,94,0.9583176879152816,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,95,1.0379398702162193,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,102,0.8366308020087344,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,105,1.2255611170303886,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,109,0.587708691456229,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,112,1.2318794126784325,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,116,0.6926308584111238,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,140,0.5983907245282232,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
3,141,0.5983907245282232,1.5307505746098249,IN_SUPPORT,unconditional_process_diagnostic_not_design_support_gate
