model_id,variant,target,MAE,RMSE,group_balanced_Q2,coverage
GAM,M_Dh,ilr_z4,0.6082311845471937,0.7683742313130226,0.013099187344723262,180
GAM,M_U,A2_8_16,0.1791066743917602,0.22076507672006984,0.4089383912365071,180
GAM,M_U,A_med,1.282924238311979,2.004946514571134,-0.006287822605822058,180
GAM,M_U,entropy_8_16,0.11657255691090732,0.1455446555640126,0.5142272686262359,180
GAM,M_U,ilr_z1,0.9436557694734612,1.1870057609575064,0.34522079347711265,180
GAM,M_U,ilr_z2,0.3192960556283486,0.41795770564287565,0.25594944873073966,180
GAM,M_U,ilr_z3,0.6277729270703442,0.801327834632828,0.013016736052534505,180
GAM,M_U,ilr_z4,0.583583629249358,0.752022892605205,0.054655621747148775,180
GAM,M_UD,A2_8_16,0.18982431539152037,0.23098354627368287,0.35295558053122167,180
GAM,M_UD,A_med,1.1857538113101467,1.89917269371422,0.09708774249624108,180
GAM,M_UD,entropy_8_16,0.12295291433528398,0.1534578195918899,0.4599690465921493,180
GAM,M_UD,ilr_z1,0.9102973967086629,1.1692338628982926,0.3646807781692143,180
GAM,M_UD,ilr_z2,0.32300937333386953,0.44728851840888284,0.14785545072322015,180
GAM,M_UD,ilr_z3,0.636576379999325,0.7899250522926361,0.04090614885666888,180
GAM,M_UD,ilr_z4,0.5797591521474238,0.738563159991275,0.08819240537732964,180
GAM,M_UDhat,A2_8_16,0.1886229467903503,0.22897926509237151,0.36413587841777006,180
GAM,M_UDhat,A_med,1.1782304578390215,1.9110623316719482,0.08574711646230138,180
GAM,M_UDhat,entropy_8_16,0.1242815937596161,0.15615004092497145,0.4408545287979574,180
GAM,M_UDhat,ilr_z1,0.895591228097468,1.1331205439140684,0.40332003868161004,180
GAM,M_UDhat,ilr_z2,0.3276934666943216,0.4559352743029526,0.11459054187777706,180
GAM,M_UDhat,ilr_z3,0.6345522350771801,0.7883569650087676,0.04471018095422774,180
GAM,M_UDhat,ilr_z4,0.5813754869362036,0.7383594600114338,0.08869529960570566,180
Ridge,C1,A2_8_16,0.21922847771680792,0.26033600569013865,0.1780593095644033,180
Ridge,C1,A_med,1.2680758857757464,2.0023061209126722,-0.0036391270776845452,180
Ridge,C1,entropy_8_16,0.14691400051022924,0.18231377805608015,0.2377813185228299,180
Ridge,C1,ilr_z1,1.1335628175509198,1.3826058066510911,0.11164617056760229,180
Ridge,C1,ilr_z2,0.34637432811355245,0.4792891072697654,0.02156295404738995,180
Ridge,C1,ilr_z3,0.6294872406245849,0.798407302286782,0.020197975964264536,180
Ridge,C1,ilr_z4,0.5997746464965591,0.7626860073240124,0.027657025636157795,180
Ridge,C2,A2_8_16,0.19090225308526618,0.22883915001458532,0.3649138256432274,180
Ridge,C2,A_med,1.2957138964351158,2.04333621228482,-0.04519253077779961,180
Ridge,C2,entropy_8_16,0.13622236109103297,0.1625984556078071,0.39371972430319735,180
Ridge,C2,ilr_z1,1.1357906921448675,1.3810977643500442,0.11358301263531467,180
Ridge,C2,ilr_z2,0.32825200786830017,0.44166532228770045,0.1691466542370571,180
Ridge,C2,ilr_z3,0.6243803094483414,0.7839325110272357,0.055402736657752416,180
Ridge,C2,ilr_z4,0.6072113926784158,0.7709839580156475,0.006383930332713339,180
Ridge,C3,A2_8_16,0.18321682237280237,0.22201850468365988,0.40220764999794323,180
Ridge,C3,A_med,1.162847891443912,1.892910190608424,0.1030326131463849,180
Ridge,C3,entropy_8_16,0.12885099545455125,0.1547433738882265,0.4508832011010565,180
Ridge,C3,ilr_z1,0.9841924049698304,1.228514828317919,0.29862540412296934,180
Ridge,C3,ilr_z2,0.3313757310246415,0.44188537018567103,0.16831854721807593,180
Ridge,C3,ilr_z3,0.6299495860334672,0.7894115423206877,0.04215270806627691,180
Ridge,C3,ilr_z4,0.5920154682460372,0.7544542777445126,0.04853290404786126,180
Ridge,C4,A2_8_16,0.18309705393879988,0.22272895669341577,0.3983756964890893,180
Ridge,C4,A_med,1.1394475220181226,1.8852671477405811,0.11026139748460162,180
Ridge,C4,entropy_8_16,0.12784885754115666,0.15507371543342752,0.44853622227064716,180
Ridge,C4,ilr_z1,0.9215122488295188,1.1548217443220254,0.3802462957951297,180
Ridge,C4,ilr_z2,0.3346335144545161,0.44364631186649467,0.1616767311156171,180
Ridge,C4,ilr_z3,0.6216826935436836,0.7842970846141636,0.054523948535642686,180
Ridge,C4,ilr_z4,0.5836789399882898,0.7457941210325972,0.07025075489400845,180
Ridge,M_D,A2_8_16,0.2410554221002527,0.28086804393146836,0.043298035427961845,180
Ridge,M_D,A_med,1.147226393138419,1.8564557034009386,0.137248314938353,180
Ridge,M_D,entropy_8_16,0.15933502124858967,0.19555976915321507,0.1229999083156671,180
Ridge,M_D,ilr_z1,0.9472219580270501,1.1898494661580956,0.3420797313388182,180
Ridge,M_D,ilr_z2,0.3526721007187764,0.4918970999244324,-0.030590877855064313,180
Ridge,M_D,ilr_z3,0.6295149932528272,0.8155683139287588,-0.022374527215704543,180
Ridge,M_D,ilr_z4,0.5947035069218793,0.7618707508581918,0.0297346439872217,180
Ridge,M_Dh,A2_8_16,0.18035494383897138,0.21986414620328779,0.4137527294947293,180
Ridge,M_Dh,A_med,1.1567822953801303,1.8759755316302955,0.11901001133439426,180
Ridge,M_Dh,entropy_8_16,0.12758228661389157,0.15356666883520353,0.4592026756358589,180
Ridge,M_Dh,ilr_z1,0.9362832552135054,1.1852822424104488,0.34712087659688984,180
Ridge,M_Dh,ilr_z2,0.3285397905600128,0.43996512085052186,0.17553112241949675,180
Ridge,M_Dh,ilr_z3,0.6268764594391566,0.7940139021929916,0.03095143136969747,180
Ridge,M_Dh,ilr_z4,0.6070386177482548,0.7795574947486777,-0.01583746457506674,180
Ridge,M_U,A2_8_16,0.1843579561386093,0.22581664518885458,0.38157945582787456,180
Ridge,M_U,A_med,1.183297646528309,1.8627520876428691,0.13138614639947221,180
Ridge,M_U,entropy_8_16,0.12575511340721998,0.15381353045905777,0.45746259218686613,180
