outer_fold,model_id,variant,alpha,inner_risk
3,Ridge,M_D,1000.0,1.065853287250693
3,Ridge,M_Dh,0.001,0.8347429271884864
3,Ridge,M_Dh,0.01,0.8347356481596225
3,Ridge,M_Dh,0.1,0.8346632274265038
3,Ridge,M_Dh,1.0,0.8339752750960693
3,Ridge,M_Dh,10.0,0.8301201481444166
3,Ridge,M_Dh,100.0,0.8757012611051098
3,Ridge,M_Dh,1000.0,1.0405317472427669
3,Ridge,M_U,0.001,0.8357466245403598
3,Ridge,M_U,0.01,0.8357335888775428
3,Ridge,M_U,0.1,0.8356039196281947
3,Ridge,M_U,1.0,0.8343743140419261
3,Ridge,M_U,10.0,0.8274266351276699
3,Ridge,M_U,100.0,0.8800659898828087
3,Ridge,M_U,1000.0,1.0444594167527559
3,Ridge,M_UD,0.001,0.8315351238139064
3,Ridge,M_UD,0.01,0.831506465170889
3,Ridge,M_UD,0.1,0.8312244617556995
3,Ridge,M_UD,1.0,0.828796261846892
3,Ridge,M_UD,10.0,0.8192634376406536
3,Ridge,M_UD,100.0,0.8516099828325218
3,Ridge,M_UD,1000.0,1.0208574342193635
3,Ridge,M_UDhat,0.001,0.8465617161595902
3,Ridge,M_UDhat,0.01,0.8461155804832315
3,Ridge,M_UDhat,0.1,0.8430323529970806
3,Ridge,M_UDhat,1.0,0.836517070906363
3,Ridge,M_UDhat,10.0,0.8272272736609377
3,Ridge,M_UDhat,100.0,0.8537195530287797
3,Ridge,M_UDhat,1000.0,1.0201138991918535
3,Ridge,C1,0.001,0.9633156823317215
3,Ridge,C1,0.01,0.9633159038644022
3,Ridge,C1,0.1,0.9633182433049478
3,Ridge,C1,1.0,0.9633537922924469
3,Ridge,C1,10.0,0.9647033048008073
3,Ridge,C1,100.0,0.998620458200881
3,Ridge,C1,1000.0,1.0745346326600325
3,Ridge,C2,0.001,0.9867810516443729
3,Ridge,C2,0.01,0.9867487551235407
3,Ridge,C2,0.1,0.9864274464693522
3,Ridge,C2,1.0,0.983372636067855
3,Ridge,C2,10.0,0.9636106102461749
3,Ridge,C2,100.0,0.955403243768932
3,Ridge,C2,1000.0,1.051869650035639
3,Ridge,C3,0.001,0.8575129068766298
3,Ridge,C3,0.01,0.8574955831422907
3,Ridge,C3,0.1,0.8573235298343266
3,Ridge,C3,1.0,0.8557153426730915
3,Ridge,C3,10.0,0.8469615267653624
3,Ridge,C3,100.0,0.8768969355599909
3,Ridge,C3,1000.0,1.0313240270463422
3,Ridge,C4,0.001,0.8336401466757911
3,Ridge,C4,0.01,0.8334614321092929
3,Ridge,C4,0.1,0.8318245564508114
3,Ridge,C4,1.0,0.8238975679846126
3,Ridge,C4,10.0,0.8197953940592471
3,Ridge,C4,100.0,0.848301318665461
3,Ridge,C4,1000.0,1.0142921032023822
3,GAM,M_D,0.001,0.9330133482789672
3,GAM,M_D,0.01,0.9313276885411028
3,GAM,M_D,0.1,0.9241493684102068
3,GAM,M_D,1.0,0.9249384707481823
3,GAM,M_D,10.0,0.955227973739542
3,GAM,M_D,100.0,1.0512598431984146
3,GAM,M_D,1000.0,1.0910045472164218
3,GAM,M_Dh,0.001,0.8598163114935293
3,GAM,M_Dh,0.01,0.8513778930693917
3,GAM,M_Dh,0.1,0.8211492026362484
3,GAM,M_Dh,1.0,0.8185860283483849
3,GAM,M_Dh,10.0,0.8651767764606096
3,GAM,M_Dh,100.0,1.0202350379682934
3,GAM,M_Dh,1000.0,1.0870433080040958
3,GAM,M_U,0.001,1.1350602030908459
3,GAM,M_U,0.01,0.9992629900297949
3,GAM,M_U,0.1,0.9405014188301095
3,GAM,M_U,1.0,0.8987235028048529
3,GAM,M_U,10.0,0.8874722083182022
3,GAM,M_U,100.0,1.0299888865550764
3,GAM,M_U,1000.0,1.0884841067778845
3,GAM,M_UD,0.001,1.1455302607921702
3,GAM,M_UD,0.01,1.032354127603718
3,GAM,M_UD,0.1,0.9521564958214138
3,GAM,M_UD,1.0,0.8990703104526068
3,GAM,M_UD,10.0,0.8648818982738058
3,GAM,M_UD,100.0,0.9989696449884086
3,GAM,M_UD,1000.0,1.0830457068047612
3,GAM,M_UDhat,0.001,1.175782942340001
3,GAM,M_UDhat,0.01,1.0479848135677343
3,GAM,M_UDhat,0.1,0.9737076407175815
3,GAM,M_UDhat,1.0,0.89961692469962
3,GAM,M_UDhat,10.0,0.8607516601627274
3,GAM,M_UDhat,100.0,1.001757844565533
3,GAM,M_UDhat,1000.0,1.0838526417538579
3,GAM,C1,0.001,0.9647208445217423
3,GAM,C1,0.01,0.9604783857620199
3,GAM,C1,0.1,0.944419750488053
3,GAM,C1,1.0,0.9410589212828167
3,GAM,C1,10.0,0.977481280137103
3,GAM,C1,100.0,1.066801266518178
3,GAM,C1,1000.0,1.0932145004185776
3,GAM,C2,0.001,1.0337598002502184
3,GAM,C2,0.01,1.0171982588764101
3,GAM,C2,0.1,0.9551217206228979
3,GAM,C2,1.0,0.9120117306307122
3,GAM,C2,10.0,0.9202575657215558
3,GAM,C2,100.0,1.0381151412579606
3,GAM,C2,1000.0,1.0892867651980487
3,GAM,C3,0.001,0.9620540626404352
3,GAM,C3,0.01,0.9466217274985639
3,GAM,C3,0.1,0.8914576515797026
3,GAM,C3,1.0,0.8536048063532358
3,GAM,C3,10.0,0.8537980446498826
3,GAM,C3,100.0,1.010262103788622
3,GAM,C3,1000.0,1.0855803683216982
3,GAM,C4,0.001,0.9903632126475758
3,GAM,C4,0.01,0.9630056953187496
3,GAM,C4,0.1,0.8910899392215257
3,GAM,C4,1.0,0.8525995848691283
3,GAM,C4,10.0,0.846298994319909
3,GAM,C4,100.0,0.9914979623587828
3,GAM,C4,1000.0,1.0821106514573628
4,Ridge,M_D,0.001,0.9182572663350537
4,Ridge,M_D,0.01,0.9182562456552275
4,Ridge,M_D,0.1,0.9182462495949087
4,Ridge,M_D,1.0,0.9181669414516297
4,Ridge,M_D,10.0,0.9190751513217971
4,Ridge,M_D,100.0,0.9667181460310688
4,Ridge,M_D,1000.0,1.0810882846292107
4,Ridge,M_Dh,0.001,0.8438426387024972
4,Ridge,M_Dh,0.01,0.8438355395592771
4,Ridge,M_Dh,0.1,0.8437649704104581
4,Ridge,M_Dh,1.0,0.843100524289434
4,Ridge,M_Dh,10.0,0.8397718278533336
4,Ridge,M_Dh,100.0,0.8876399693058555
4,Ridge,M_Dh,1000.0,1.0550968695337597
4,Ridge,M_U,0.001,0.8186868007339875
4,Ridge,M_U,0.01,0.8186782522430298
4,Ridge,M_U,0.1,0.8185933101276792
4,Ridge,M_U,1.0,0.8177969469363938
4,Ridge,M_U,10.0,0.8141177812194901
4,Ridge,M_U,100.0,0.8771781897577156
4,Ridge,M_U,1000.0,1.0578132311102726
4,Ridge,M_UD,0.001,0.8052399198994187
4,Ridge,M_UD,0.01,0.8052295751878593
4,Ridge,M_UD,0.1,0.8051281880215229
4,Ridge,M_UD,1.0,0.8042849490874825
4,Ridge,M_UD,10.0,0.8017171429769185
4,Ridge,M_UD,100.0,0.8458089695948793
4,Ridge,M_UD,1000.0,1.0320431525101537
4,Ridge,M_UDhat,0.001,0.8259551415078262
4,Ridge,M_UDhat,0.01,0.8256936362032365
4,Ridge,M_UDhat,0.1,0.8237393742200723
4,Ridge,M_UDhat,1.0,0.8188870870665377
4,Ridge,M_UDhat,10.0,0.8132638225247423
4,Ridge,M_UDhat,100.0,0.8502565386798047
4,Ridge,M_UDhat,1000.0,1.0316768437906338
4,Ridge,C1,0.001,0.9974324910564605
4,Ridge,C1,0.01,0.99743186672405
4,Ridge,C1,0.1,0.9974257495884149
4,Ridge,C1,1.0,0.997376944925169
4,Ridge,C1,10.0,0.9979077472774329
4,Ridge,C1,100.0,1.026342372991384
4,Ridge,C1,1000.0,1.0946896159887722
4,Ridge,C2,0.001,0.9717527564866444
4,Ridge,C2,0.01,0.9717369319155666
4,Ridge,C2,0.1,0.9715795121843197
4,Ridge,C2,1.0,0.9700845303162766
4,Ridge,C2,10.0,0.960679026912567
4,Ridge,C2,100.0,0.9700534251533655
4,Ridge,C2,1000.0,1.0702143441401004
4,Ridge,C3,0.001,0.8701643725474899
