加工顺序,xi_um,median_depth_um
43,-9.445056811,0.04753880041
43,-9.103230974,0.0628620786
43,-8.761405137,0.07738676718
43,-8.4195793,0.09793198513
43,-8.077753463,0.09716449084
43,-7.735927626,0.08679476367
43,-7.394101789,0.06635551694
43,-7.052275952,0.08207682717
43,-6.710450115,0.09003297568
43,-6.368624278,0.09744752921
43,-6.026798441,0.09061784197
43,-5.684972604,0.1189005137
43,-5.343146767,0.112450499
43,-5.00132093,0.1100640731
43,-4.659495093,0.1954704145
43,-4.317669256,0.3033465225
43,-3.975843419,0.4949704212
43,-3.634017582,0.8158267807
43,-3.292191745,1.166508262
43,-2.950365908,1.783017366
43,-2.608540072,2.432973021
43,-2.266714235,2.913133506
43,-1.924888398,3.177126575
43,-1.583062561,3.47790435
43,-1.241236724,3.703262407
43,-0.8994108867,4.307148106
43,-0.5575850497,4.144503667
43,-0.2157592127,4.327971204
43,0.1260666242,4.213750052
43,0.4678924612,4.254318515
43,0.8097182982,4.425378746
43,1.151544135,4.372998664
43,1.493369972,4.028692688
43,1.835195809,3.539724555
43,2.177021646,2.962716979
43,2.518847483,2.476298253
43,2.86067332,1.9214865
43,3.202499157,1.508012195
43,3.544324994,1.07269028
43,3.886150831,0.6003061987
43,4.227976668,0.3230641762
43,4.569802505,0.1976002386
43,4.911628342,0.184208207
43,5.253454179,0.1372699758
43,5.595280016,0.1446297136
43,5.937105853,0.1090683555
43,6.27893169,0.1408410761
43,6.620757527,0.1408157377
43,6.962583364,0.1197894828
43,7.304409201,0.1151683216
43,7.646235038,0.1090743424
43,7.988060875,0.1002547789
43,8.329886712,0.09023805876
43,8.671712548,0.09203884862
43,9.013538385,0.09203884862
43,9.355364222,0.09203884862
43,9.697190059,0.09203884862
44,-10.39983021,0.1123220099
44,-10.07698414,0.1123220099
44,-9.754138073,0.1123220099
44,-9.431292006,0.1123220099
44,-9.108445939,0.1542860094
44,-8.785599873,0.1746885129
44,-8.462753806,0.1484453187
44,-8.139907739,0.1288481129
44,-7.817061672,0.1103774719
44,-7.494215605,0.1115858506
44,-7.171369538,0.101786066
44,-6.848523472,0.07775029576
44,-6.525677405,0.07723140943
44,-6.202831338,0.1146143774
44,-5.879985271,0.09010056648
44,-5.557139204,0.1037310378
44,-5.234293137,0.07620831222
44,-4.911447071,0.06008907576
44,-4.588601004,0.0573508223
44,-4.265754937,0.06201569442
44,-3.94290887,0.08808415122
44,-3.620062803,0.1333546777
44,-3.297216737,0.3141418727
44,-2.97437067,0.6337343249
44,-2.651524603,0.9292840192
44,-2.328678536,1.18102859
44,-2.005832469,1.362487134
44,-1.682986402,1.707249783
44,-1.360140336,1.788048192
44,-1.037294269,1.901601496
44,-0.714448202,2.104830031
44,-0.3916021351,2.064444466
44,-0.06875606832,2.038039473
44,0.2540899985,2.030791254
44,0.5769360653,2.012230723
44,0.8997821321,1.806314563
44,1.222628199,1.618535344
44,1.545474266,1.425567407
44,1.868320333,1.298374818
44,2.191166399,1.146628579
44,2.514012466,0.9401547223
44,2.836858533,0.797900036
44,3.1597046,0.5677108871
44,3.482550667,0.378999026
44,3.805396734,0.283365848
44,4.1282428,0.2230387621
44,4.451088867,0.1763196212
44,4.773934934,0.1546574828
44,5.096781001,0.09613519359
44,5.419627068,0.06175323833
44,5.742473135,0.04369904492
44,6.065319201,0.05960374191
44,6.388165268,0.04472201695
44,6.711011335,0.005085398318
44,7.033857402,0.03362638403
44,7.356703469,0.03162180281
44,7.679549535,0.02032062451
44,8.002395602,0.02957240344
44,8.325241669,0.02607666411
44,8.648087736,0.05394699946
44,8.970933803,0.04333533102
44,9.29377987,0.05451788691
44,9.616625936,0.05451788691
44,9.939472003,0.05451788691
48,-10.41900324,0.1648494975
48,-10.10440214,0.1648494975
48,-9.789801041,0.1648494975
48,-9.475199944,0.1631490203
48,-9.160598847,0.1512978241
48,-8.845997749,0.1195474146
48,-8.531396652,0.1247847389
48,-8.216795555,0.1412389261
48,-7.902194458,0.097653601
48,-7.587593361,0.07236408588
48,-7.272992264,0.007983136032
48,-6.958391167,0.008079470649
48,-6.643790069,0.02823403463
48,-6.329188972,0.02668260854
48,-6.014587875,0.03856142964
48,-5.699986778,0.05972641178
48,-5.385385681,0.1017654829
48,-5.070784584,0.09036031133
48,-4.756183486,0.1122155806
48,-4.441582389,0.1551657139
48,-4.126981292,0.2664856654
48,-3.812380195,0.5594152969
48,-3.497779098,0.8392568155
48,-3.183178001,1.108384062
48,-2.868576903,1.360736681
48,-2.553975806,1.561807854
48,-2.239374709,1.692208153
