dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg
10,zro2_120_formal,11,11,zro2_120_formal:m011,single,formal,,11,-3300.0,10400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,4,3,1.0,0.0066015625,46.2398,2.2115,0.2143737188396115,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,2222222.222222222,1185.177777777778,500:10:6:3,F11,FQ:500:10:6:3|N4,54,0.08816870252316371
11,zro2_120_formal,12,12,zro2_120_formal:m012,single,formal,,12,-3300.0,9800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,4,11,1.0,0.0,17.7364,0.7303,0.2242805796720924,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,1.1,454545.45454545453,242.4227272727273,500:10:8:11,F12,FQ:500:10:8:11|N4,78,0.03633828001832269
12,zro2_120_formal,13,13,zro2_120_formal:m013,single,formal,,13,-3300.0,9200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,5,7,1.0,0.000546875,30.7015,1.189,0.2345113577783851,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,892857.1428571428,476.1875,500:10:8:7,F13,FQ:500:10:8:7|N5,117,0.016915740482140843
13,zro2_120_formal,14,14,zro2_120_formal:m014,single,formal,,14,-3300.0,8600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,2,9,1.0,0.0,7.0837,1.3309,0.3166453639961955,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,222222.22222222222,118.51777777777778,500:10:10:9,F14,FQ:500:10:10:9|N2,142,0.007341963617919276
14,zro2_120_formal,15,15,zro2_120_formal:m015,single,formal,,15,-3300.0,8000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,1,7,1.0,0.0,6.0985,1.6924,0.2421730049755652,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.14,892857.1428571428,95.2375,500:50:8:7,F15,FQ:500:50:8:7|N1,26,0.3524597714449039
15,zro2_120_formal,16,16,zro2_120_formal:m016,single,formal,,16,-3300.0,7400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,4,11,1.0,0.0,46.0401,0.6027,0.2159776237265324,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,2272727.272727273,242.4227272727273,500:50:8:11,F16,FQ:500:50:8:11|N4,72,0.0482519992231047
16,zro2_120_formal,17,17,zro2_120_formal:m017,single,formal,,17,-3300.0,6800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,3,1.0,0.0,54.5754,1.928,0.2287132441825644,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,33333333.333333332,1777.7666666666667,500:100:2:3,F17,FQ:500:100:2:3|N2,45,0.1273724032407027
17,zro2_120_formal,18,18,zro2_120_formal:m018,single,formal,,18,-3300.0,6200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,9,1.0,0.0,5.3911,0.8637,0.1926528012095498,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,2777777.777777778,148.14722222222224,500:100:4:9,F18,FQ:500:100:4:9|N1,110,0.019591928684259234
18,zro2_120_formal,19,19,zro2_120_formal:m019,single,formal,,19,-3300.0,5600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,11,1.0,0.0,6.0179,0.7175,0.2153976920165637,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,2272727.272727273,121.21136363636364,500:100:4:11,F19,FQ:500:100:4:11|N1,115,0.01744876244751505
19,zro2_120_formal,20,20,zro2_120_formal:m020,single,formal,,20,-3300.0,5000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,5,3,1.0,0.018671875,63.1156,9.0641,0.3106539926611552,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,41666666.666666664,2222.2083333333335,500:100:4:3,F20,FQ:500:100:4:3|N5,4,12.712658142651984
20,zro2_120_formal,21,21,zro2_120_formal:m021,single,formal,,21,-3300.0,4400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,3,1.0,0.0,56.6237,1.3446,0.2227565440271681,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,16666666.666666666,888.8833333333334,500:100:6:3,F21,FQ:500:100:6:3|N3,43,0.13143827241601067
21,zro2_120_formal,22,22,zro2_120_formal:m022,single,formal,,22,-3300.0,3800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,11,1.0,0.0,49.3129,1.3731,0.2049884893177623,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,4545454.545454546,242.4227272727273,500:100:6:11,F22,FQ:500:100:6:11|N3,157,0.0007282569092748144
22,zro2_120_formal,23,23,zro2_120_formal:m023,single,formal,,23,-3300.0,3200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,3,1.0,0.0045703125,63.9191,6.5075,0.2172488832109467,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.015,33333333.333333332,888.8833333333333,500:200:8:3,F23,FQ:500:200:8:3|N4,8,4.636344558020923
23,zro2_120_formal,24,24,zro2_120_formal:m024,single,formal,,24,-3300.0,2600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,11,1.0,0.005,65.0842,6.8297,0.2184241086730409,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.055,9090909.090909092,242.4227272727273,500:200:10:11,F24,FQ:500:200:10:11|N5,7,5.274674297422882
24,zro2_120_formal,25,25,zro2_120_formal:m025,single,formal,,25,-3900.0,2600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,3,7,1.0,0.000703125,16.0061,0.5573,0.2216450568394508,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,428571.4285714286,1142.8500000000001,1000:2:2:7,F25,FQ:1000:2:2:7|N3,75,0.04184580311386907
25,zro2_120_formal,26,26,zro2_120_formal:m026,single,formal,,26,-3900.0,3200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,1,11,1.0,0.0,0.1715,0.2535,0.2064777301526381,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,18181.81818181818,48.484545454545454,1000:2:10:11,F26,FQ:1000:2:10:11|N1,149,0.0050223746183870365
26,zro2_120_formal,27,27,zro2_120_formal:m027,single,formal,,27,-3900.0,3800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,7,1.0,0.0025390625,48.2729,1.7548,0.2005819401178535,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,2857142.8571428573,1523.8,1000:10:2:7,F27,FQ:1000:10:2:7|N4,60,0.07187637693376496
27,zro2_120_formal,28,28,zro2_120_formal:m028,single,formal,,28,-3900.0,4400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,9,1.0,0.0,9.989,0.3221,0.2102607814675598,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,277777.77777777775,148.14722222222224,1000:10:4:9,F28,FQ:1000:10:4:9|N1,143,0.00726741110196918
28,zro2_120_formal,29,29,zro2_120_formal:m029,single,formal,,29,-3900.0,5000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,4,7,1.0,0.0002734375,39.5635,0.5222,0.2381367823531738,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,1428571.4285714286,761.9,1000:10:4:7,F29,FQ:1000:10:4:7|N4,99,0.022880785255306593
29,zro2_120_formal,30,30,zro2_120_formal:m030,single,formal,,30,-3900.0,5600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,2,7,1.0,0.0,17.5765,0.3347,0.2025703016512185,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,476190.4761904762,253.96666666666667,1000:10:6:7,F30,FQ:1000:10:6:7|N2,118,0.015156318464702228
30,zro2_120_formal,31,31,zro2_120_formal:m031,single,formal,,31,-3900.0,6200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,2,9,1.0,0.0,10.0665,0.5314,0.1909103953566175,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,277777.77777777775,148.14722222222224,1000:10:8:9,F31,FQ:1000:10:8:9|N2,97,0.024030868946523086
31,zro2_120_formal,32,32,zro2_120_formal:m032,single,formal,,32,-3900.0,6800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,3,1.0,0.0,48.3655,0.8646,0.2165499530815655,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,8333333.333333333,888.8833333333333,1000:50:4:3,F32,FQ:1000:50:4:3|N2,123,0.012598939768961974
32,zro2_120_formal,33,33,zro2_120_formal:m033,single,formal,,33,-3900.0,7400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,5,11,1.0,0.0001171875,57.5403,0.8677,0.2243677764846512,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,5681818.181818182,606.0568181818181,1000:50:4:11,F33,FQ:1000:50:4:11|N5,74,0.04472778067653884
33,zro2_120_formal,34,34,zro2_120_formal:m034,single,formal,,34,-3900.0,8000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,3,1.0,0.0,55.1854,0.5843,0.2342651482029892,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,8333333.333333333,888.8833333333334,1000:50:6:3,F34,FQ:1000:50:6:3|N3,91,0.029264556075987276
34,zro2_120_formal,35,35,zro2_120_formal:m035,single,formal,,35,-3900.0,8600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,1,11,1.0,0.0026953125,8.4134,3.0992,0.2212624052997015,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,568181.8181818182,60.60568181818182,1000:50:8:11,F35,FQ:1000:50:8:11|N1,21,0.5299527137911163
35,zro2_120_formal,36,36,zro2_120_formal:m036,single,formal,,36,-3900.0,9200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,5,5,1.0,0.004375,54.874,0.7648,0.2209980592650771,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.1,6250000.0,666.6625,1000:50:8:5,F36,FQ:1000:50:8:5|N5,154,0.002054039931464604
36,zro2_120_formal,37,37,zro2_120_formal:m037,single,formal,,37,-3900.0,9800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,3,11,1.0,0.0,34.3416,1.8248,0.2089220938776249,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,1363636.3636363635,145.45363636363638,1000:50:10:11,F37,FQ:1000:50:10:11|N3,61,0.07048625236674211
37,zro2_120_formal,38,38,zro2_120_formal:m038,single,formal,,38,-3900.0,10400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,9,1.0,0.0271484375,53.7011,12.5604,0.259871196973398,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,11111111.111111112,592.588888888889,1000:100:2:9,F38,FQ:1000:100:2:9|N2,2,19.309217657981627
38,zro2_120_formal,39,39,zro2_120_formal:m039,single,formal,,39,-3900.0,11000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,1,3,1.0,0.0,5.3225,1.0998,0.2572949539775783,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,5555555.555555556,296.2944444444445,1000:100:6:3,F39,FQ:1000:100:6:3|N1,152,0.0028268497002161236
39,zro2_120_formal,40,40,zro2_120_formal:m040,single,formal,,40,-3900.0,11600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,5,5,1.0,0.0048046875,57.6547,2.0128,0.2409736771930815,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.05,16666666.666666666,888.8833333333333,1000:100:6:5,F40,FQ:1000:100:6:5|N5,63,0.06730510450453121
40,zro2_120_formal,41,41,zro2_120_formal:m041,single,formal,,41,-3900.0,12200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,5,3,1.0,0.0,56.2835,0.9623,0.247305883115448,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,20833333.333333332,1111.1041666666667,1000:100:8:3,F41,FQ:1000:100:8:3|N5,68,0.05150789176391237
41,zro2_120_formal,42,42,zro2_120_formal:m042,single,formal,,42,-3900.0,12800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,10.0,3,9,1.0,0.0,39.7223,0.7597,0.2908954039551389,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,3333333.3333333335,177.77666666666667,1000:100:10:9,F42,FQ:1000:100:10:9|N3,158,0.0006824738852365329
42,zro2_120_formal,43,43,zro2_120_formal:m043,single,formal,,43,-3900.0,13400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,10.0,5,11,1.0,0.001484375,48.9606,2.3629,0.2132874661381713,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,4545454.545454546,242.4227272727273,1000:100:10:11,F43,FQ:1000:100:10:11|N5,28,0.3225079058017536
43,zro2_120_formal,44,44,zro2_120_formal:m044,single,formal,,44,-3900.0,14000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,6.0,3,5,1.0,0.006484375,52.191,4.8022,0.2150988441101245,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.025,20000000.0,533.33,1000:200:6:5,F44,FQ:1000:200:6:5|N3,12,2.1425362061980016
44,zro2_120_formal,45,45,zro2_120_formal:m045,single,formal,,45,-3900.0,14600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,6.0,3,7,1.0,0.0122265625,49.5979,5.7599,0.3886902858133605,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.035,14285714.285714285,380.95000000000005,1000:200:6:7,F45,FQ:1000:200:6:7|N3,6,7.697548926732254
45,zro2_120_formal,46,46,zro2_120_formal:m046,single,formal,,46,-3900.0,15200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,11,1.0,0.0,52.3175,0.6211,0.2361023778313117,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.055,9090909.090909092,242.4227272727273,1000:200:8:11,F46,FQ:1000:200:8:11|N4,81,0.035652684239433734
46,zro2_120_formal,47,47,zro2_120_formal:m047,single,formal,,47,-3900.0,15800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,3,9,1.0,0.0,45.2915,1.5158,0.24919145586372,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.045,6666666.666666667,177.77666666666667,1000:200:10:9,F47,FQ:1000:200:10:9|N3,32,0.2327889761627342
47,zro2_120_formal,48,48,zro2_120_formal:m048,single,formal,,48,-3900.0,16400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,11,1.0,0.0,51.0696,0.7467,0.1995459243256026,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.055,9090909.090909092,242.4227272727273,1000:200:10:11,F48,FQ:1000:200:10:11|N5,89,0.02969751556094733
48,zro2_120_formal,49,49,zro2_120_formal:m049,single,formal,,49,-4500.0,16400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,2,9,1.0,0.0,1.8695,0.2192,0.1992755339040335,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,74074.07407407407,197.52962962962962,2000:2:6:9,F49,FQ:2000:2:6:9|N2,116,0.017152173076317462
49,zro2_120_formal,50,50,zro2_120_formal:m050,single,formal,,50,-4500.0,15800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,2,9,1.0,0.0,1.8423,0.2199,0.1949705660612079,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,74074.07407407407,197.52962962962962,2000:2:6:9,F50,FQ:2000:2:6:9|N2,138,0.008674534283856651
50,zro2_120_formal,51,51,zro2_120_formal:m051,single,formal,,51,-4500.0,15200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,3,9,1.0,0.0,1.7472,0.86,0.2150656169829516,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,66666.66666666667,177.77666666666667,2000:2:10:9,F51,FQ:2000:2:10:9|N3,145,0.005962708938534453
51,zro2_120_formal,52,52,zro2_120_formal:m052,single,formal,,52,-4500.0,14600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,2,5,1.0,0.0,32.7444,1.2357,0.2394926663010758,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.5,2000000.0,1066.66,2000:10:2:5,F52,FQ:2000:10:2:5|N2,27,0.33739078822430146
52,zro2_120_formal,53,53,zro2_120_formal:m053,single,formal,,53,-4500.0,14000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,2,9,1.0,0.0,29.1019,0.4348,0.2355851483962465,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,1111111.111111111,592.588888888889,2000:10:2:9,F53,FQ:2000:10:2:9|N2,153,0.002736186430631012
53,zro2_120_formal,54,54,zro2_120_formal:m054,single,formal,,54,-4500.0,13400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,3,5,1.0,0.00015625,41.7621,1.1116,0.2373901256280291,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.5,3000000.0,1599.9900000000002,2000:10:2:5,F54,FQ:2000:10:2:5|N3,41,0.13488317081474924
54,zro2_120_formal,55,55,zro2_120_formal:m055,single,formal,,55,-4500.0,12800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,4,5,1.0,0.0,26.5716,0.5474,0.3223332612364289,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.5,800000.0,426.664,2000:10:10:5,F55,FQ:2000:10:10:5|N4,109,0.019658610105301753
55,zro2_120_formal,56,56,zro2_120_formal:m056,single,formal,,56,-4500.0,12200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,5,1.0,0.0,41.6434,0.4493,0.3884200710211952,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.1,5000000.0,533.33,2000:50:4:5,F56,FQ:2000:50:4:5|N2,85,0.03228893995646924
56,zro2_120_formal,57,57,zro2_120_formal:m057,single,formal,,57,-4500.0,11600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,3,9,1.0,0.0,44.8735,0.3081,0.9223775229990204,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.18,4166666.6666666665,444.4416666666667,2000:50:4:9,F57,FQ:2000:50:4:9|N3,146,0.005090854306090216
57,zro2_120_formal,58,58,zro2_120_formal:m058,single,formal,,58,-4500.0,11000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,9,1.0,0.008828125,43.4805,4.0055,0.2018516802644489,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.18,2777777.777777778,296.2944444444445,2000:50:6:9,F58,FQ:2000:50:6:9|N3,11,2.1756461353705276
