tag,target,canonical,differentiable,abs_error,passed,both_undefined
real_14,entropy_16_32,0.7337771820648412,0.733777182064841,2.220446049250313e-16,True,False
real_15,D,46.040103912353516,46.040103912353516,0.0,True,False
real_15,A_med,0.6026683783055695,0.6026683783055695,0.0,True,False
real_15,ilr_z1,-0.4460481891914985,-0.4460481891914997,1.1657341758564144e-15,True,False
real_15,ilr_z2,-0.3389628473394497,-0.3389628473394499,2.220446049250313e-16,True,False
real_15,ilr_z3,-0.23194726870646049,-0.2319472687064603,1.942890293094024e-16,True,False
real_15,ilr_z4,-1.7498312827476878,-1.7498312827476878,0.0,True,False
real_15,A2_8_16,0.30983343989597123,0.3098334398959713,5.551115123125783e-17,True,False
real_15,entropy_8_16,0.8899661466723884,0.8899661466723884,0.0,True,False
real_15,A2_16_32,0.338270343883057,0.3382703438830569,1.1102230246251565e-16,True,False
real_15,entropy_16_32,0.6776020995416395,0.6776020995416401,5.551115123125783e-16,True,False
real_16,D,54.575416564941406,54.575416564941406,0.0,True,False
real_16,A_med,1.9279678704881542,1.9279678704881542,0.0,True,False
real_16,ilr_z1,0.503819970047946,0.5038199700479463,3.3306690738754696e-16,True,False
real_16,ilr_z2,-0.7097346951888869,-0.7097346951888867,2.220446049250313e-16,True,False
real_16,ilr_z3,1.1144419487077708,1.114441948707771,2.220446049250313e-16,True,False
real_16,ilr_z4,1.83118975872116,1.8311897587211605,4.440892098500626e-16,True,False
real_16,A2_8_16,0.6126238653005717,0.6126238653005716,1.1102230246251565e-16,True,False
real_16,entropy_8_16,0.822723822343662,0.822723822343662,0.0,True,False
real_16,A2_16_32,0.651110652809587,0.6511106528095867,3.3306690738754696e-16,True,False
real_16,entropy_16_32,0.6844924109616968,0.6844924109616969,1.1102230246251565e-16,True,False
real_17,D,5.391144275665283,5.391144275665283,0.0,True,False
real_17,A_med,0.8637443696690362,0.8637443696690362,0.0,True,False
real_17,ilr_z1,-0.08829611427288114,-0.08829611427288142,2.7755575615628914e-16,True,False
real_17,ilr_z2,-0.724579808766412,-0.724579808766412,0.0,True,False
real_17,ilr_z3,0.5637714881817464,0.5637714881817468,4.440892098500626e-16,True,False
real_17,ilr_z4,0.13627230811735788,0.13627230811735863,7.494005416219807e-16,True,False
real_17,A2_8_16,0.18322756185221728,0.18322756185221728,0.0,True,False
real_17,entropy_8_16,0.8920781841784104,0.8920781841784109,4.440892098500626e-16,True,False
real_17,A2_16_32,0.433580975657529,0.433580975657529,0.0,True,False
real_17,entropy_16_32,0.7395207141202675,0.7395207141202677,1.1102230246251565e-16,True,False
real_18,D,6.017935276031494,6.017935276031494,0.0,True,False
real_18,A_med,0.7175478934782686,0.7175478934782686,0.0,True,False
real_18,ilr_z1,0.21767164756038318,0.21767164756038293,2.498001805406602e-16,True,False
real_18,ilr_z2,-0.716092802014121,-0.7160928020141216,6.661338147750939e-16,True,False
real_18,ilr_z3,0.6033054324478799,0.6033054324478804,4.440892098500626e-16,True,False
real_18,ilr_z4,-0.15223696438456458,-0.1522369643845654,8.326672684688674e-16,True,False
real_18,A2_8_16,0.1760543368890682,0.17605433688906824,2.7755575615628914e-17,True,False
real_18,entropy_8_16,0.9140396191196739,0.9140396191196744,4.440892098500626e-16,True,False
real_18,A2_16_32,0.5892694189486222,0.5892694189486223,1.1102230246251565e-16,True,False
real_18,entropy_16_32,0.646810200340059,0.646810200340059,0.0,True,False
real_19,D,63.11563491821289,63.11563491821289,0.0,True,False
real_19,A_med,9.064103038694258,9.064103038694258,0.0,True,False
real_19,ilr_z1,-2.4535606470030062,-2.4535606470030107,4.440892098500626e-15,True,False
real_19,ilr_z2,-0.5077967197971742,-0.5077967197971778,3.552713678800501e-15,True,False
real_19,ilr_z3,-1.8037453384168267,-1.8037453384168274,6.661338147750939e-16,True,False
real_19,ilr_z4,-1.5364703840891316,-1.536470384089131,6.661338147750939e-16,True,False
real_19,A2_8_16,0.22740175093591639,0.22740175093591636,2.7755575615628914e-17,True,False
real_19,entropy_8_16,0.891137705691211,0.8911377056912113,3.3306690738754696e-16,True,False
real_19,A2_16_32,0.20806150315704827,0.2080615031570483,2.7755575615628914e-17,True,False
real_19,entropy_16_32,0.7581119696813389,0.7581119696813385,3.3306690738754696e-16,True,False
real_20,D,56.62374496459961,56.62374496459961,0.0,True,False
real_20,A_med,1.3445730667386213,1.3445730667386213,0.0,True,False
real_20,ilr_z1,-0.359555409747732,-0.3595554097477311,8.881784197001252e-16,True,False
real_20,ilr_z2,-0.9906309075698505,-0.9906309075698503,2.220446049250313e-16,True,False
real_20,ilr_z3,0.3283289710971924,0.32832897109719306,6.661338147750939e-16,True,False
real_20,ilr_z4,-0.10021643287274554,-0.10021643287274444,1.096345236817342e-15,True,False
real_20,A2_8_16,0.4099374185918524,0.40993741859185223,1.6653345369377348e-16,True,False
real_20,entropy_8_16,0.8939461590236412,0.893946159023641,1.1102230246251565e-16,True,False
real_20,A2_16_32,0.1983989873042302,0.1983989873042302,0.0,True,False
real_20,entropy_16_32,0.7621028849998367,0.7621028849998367,0.0,True,False
real_21,D,49.31291389465332,49.31291389465332,0.0,True,False
real_21,A_med,1.3731381680370502,1.3731381680370502,0.0,True,False
real_21,ilr_z1,-1.0531226439110548,-1.0531226439110541,6.661338147750939e-16,True,False
real_21,ilr_z2,-1.3097834428333022,-1.3097834428333022,0.0,True,False
real_21,ilr_z3,1.0358483854958105,1.0358483854958105,0.0,True,False
real_21,ilr_z4,0.9267653667963505,0.9267653667963509,4.440892098500626e-16,True,False
real_21,A2_8_16,0.373194618850939,0.37319461885093896,5.551115123125783e-17,True,False
real_21,entropy_8_16,0.8586780666095858,0.8586780666095855,3.3306690738754696e-16,True,False
real_21,A2_16_32,0.24867489716033242,0.24867489716033248,5.551115123125783e-17,True,False
real_21,entropy_16_32,0.721855902884194,0.721855902884194,0.0,True,False
real_22,D,63.91909408569336,63.91909408569336,0.0,True,False
real_22,A_med,6.507496998933839,6.507496998933839,0.0,True,False
real_22,ilr_z1,-2.39758431593546,-2.39758431593546,0.0,True,False
real_22,ilr_z2,-0.39810825534760497,-0.3981082553476041,8.881784197001252e-16,True,False
real_22,ilr_z3,-0.28552808748899333,-0.28552808748899405,7.216449660063518e-16,True,False
