dataset_index,p_lt8,p_8_16,p_16_32,p_32_64,p_64_inf,dc_offset_frac,dc_to_non_dc_ratio
31,0.1729452326464922,0.3837159067193767,0.19014374771067394,0.1681504018018478,0.08504471112160951,0.01248080833580368,0.012638547626371347
32,0.09262493328920055,0.18328627850259865,0.38817526124704604,0.20494725346965825,0.13096627349149656,0.004395731390546751,0.0044151391563298625
33,0.09272686134268183,0.24589574924378896,0.1552784194933625,0.11636472814428958,0.3897342417758771,0.005663412358220355,0.0056956692820204855
34,0.07676170587212726,0.20464304065654976,0.2959299162005107,0.11436396663590973,0.30830137063490265,0.004069400203475924,0.004086027886187384
35,0.04927527769855198,0.22643382607017482,0.45033613769708897,0.16120339633771005,0.1127513621964739,0.001294786927350803,0.0012964655740278145
36,0.07190552323683107,0.27704743064225873,0.3466605780129906,0.14310740796902377,0.1612790601388957,0.013160282836037837,0.013335785545659461
37,0.023667801352557468,0.053256174742615056,0.11160101912897265,0.36801405969726836,0.4434609450785865,0.1608231077967326,0.19164387066770855
38,0.12113708601603293,0.18882050815653556,0.29147308804337535,0.23688515266546387,0.16168416511859235,0.0005175472798717138,0.0005178152737581234
39,0.07553691319068806,0.22236482803627636,0.4075988464239336,0.22083328412655057,0.07366612822255142,0.038272039511046685,0.039795078320888945
40,0.02897074130979398,0.136860177545896,0.35864963869104216,0.19390771488038946,0.28161172757287856,0.00025461951776100186,0.00025468436537129396
41,0.05766058594871829,0.38462475316291644,0.45682921297506013,0.04333718366989156,0.0575482642434137,0.0122181650541803,0.012369295143851752
42,0.040264565877609834,0.08713104238212468,0.44841779561015255,0.14055421907721746,0.28363237705289573,0.019589363923272162,0.019980774588148266
43,0.0408940664534587,0.08029250561975748,0.26166879139750227,0.21535026328848828,0.40179437324079337,0.14284700377406084,0.1666528664112695
44,0.027119397073533294,0.05599953021423874,0.10421189024374054,0.2667785018362671,0.54589068063222,0.12024370092414706,0.13667841997887145
45,0.053186277514871504,0.2041460225475712,0.18081827419396887,0.126333361438619,0.4355160643049695,0.008977340789640471,0.009058663498969397
46,0.03902410476632436,0.1492213675244526,0.3224233578736654,0.22707769790271962,0.26225347193283804,0.005789716861419007,0.005823432889007838
47,0.07746964217069946,0.2784064647983577,0.23751852623571934,0.10518005234874286,0.3014253144464808,0.023144050923473432,0.02369238877579926
48,0.4631635753222027,0.2767720104089806,0.17230266310871167,0.056759124167065696,0.031002626993039135,0.0016854685143921368,0.001688314114674825
49,0.437364608352088,0.24546643806482693,0.16511535657227108,0.0575065699626432,0.09454702704817082,4.208125540733378e-05,4.208302631391241e-05
50,0.07343241956645961,0.8998240927744701,0.016813710060623082,0.004741909083474799,0.0051878685149724345,0.05895748426216477,0.06265124399394269
51,0.012227645282078425,0.03470212859568507,0.04380639359296102,0.05831806958185781,0.8509457629474176,0.13913017263063135,0.16161580788094637
52,0.08558683824821416,0.1684546978474572,0.15443076301527262,0.1485168748906652,0.4430108259983907,0.0015189174038283742,0.0015212280235485335
53,0.0987500346758153,0.2736571121857817,0.22661560415310558,0.04360052010325451,0.3573767288820429,0.012170390290114852,0.01232033355802036
54,0.0425138221360383,0.591649700692359,0.24278764946170303,0.0748271607339749,0.0482216669759247,0.0035477353825860616,0.0035603666212231534
55,0.22718965830720053,0.3265753064979049,0.2378533139450819,0.12053488280888834,0.08784683844092414,0.0006406174650491482,0.0006410281188576761
56,0.12760646583661245,0.2884064376581287,0.14986911640675146,0.154078861459437,0.2800391186390703,0.0013062587712519445,0.0013079673150297128
57,0.0267064879094992,0.0345421640093308,0.20447310240436314,0.321290838180213,0.4129874074965937,0.06286407961993584,0.06708106930149549
58,0.05161758195288112,0.13556753134266855,0.18796745885333813,0.2746136137994575,0.35023381405165477,0.09376785933059012,0.10347002177756162
59,0.15338719163182393,0.5907599962344074,0.12909771271997536,0.07211499727264672,0.05464010214114663,0.04336706655615786,0.045333026953230715
60,0.03984157948989314,0.07184199058532044,0.10046591453744101,0.25524137056665397,0.5326091448206912,0.06178018145257407,0.06584830146545359
61,0.1006196027891512,0.1787432730677672,0.31770927846275815,0.2045155303190172,0.19841231536130613,0.014800785790518689,0.01502314006857462
62,0.06115081248212857,0.1790796240087256,0.2321661887524513,0.3026285337821411,0.2249748409745533,0.02152361207240011,0.021997068440237823
63,0.13060981546139494,0.15179677285246843,0.5822239904747101,0.024472431916906963,0.11089698929451974,0.04103234167101516,0.04278803494010905
64,0.08959386390721369,0.27636628865417645,0.34539469739025314,0.05755235863082433,0.23109279141753242,0.02207550773582524,0.022573836641225874
65,0.013387389919482299,0.02573733011682196,0.05619878550788362,0.10598376536196279,0.7986927290938496,0.2349198383066918,0.30705258098283084
66,0.02057714487152775,0.06263401073592063,0.1832925321236363,0.5207961743870223,0.21270013788189307,0.05852358540468212,0.06216149921274211
67,0.018903766076171623,0.03569818072318671,0.0671425813434447,0.13087892833916126,0.7473765435180357,0.07771779669598924,0.08426682897877757
68,0.14852711081506195,0.3079226502527427,0.2912263925891359,0.1564774964796057,0.09584634986345364,1.0222083173360787e-06,1.0222093622469908e-06
69,0.05540319799863696,0.0889120385384201,0.2799173673771655,0.3536157871373983,0.22215160894837915,0.09225374199011734,0.1016294379360724
70,0.03795517418791256,0.12180083581243238,0.3026688990764204,0.06938143497840453,0.46819365594483014,0.001271331822233442,0.0012729501642854155
71,0.06431485352425398,0.31451780202247126,0.5024158714370225,0.10037084900368518,0.018380624012567046,0.002209414650117866,0.0022143069723825058
72,0.13532616031379147,0.2776858930884566,0.3326426255559912,0.2055486883667749,0.048796632674985845,0.02357445509042763,0.02414362796357492
73,0.04679876553661797,0.09925339300744636,0.05681403085877997,0.054835249804260404,0.7422985607928954,0.021785254569570207,0.022270421368453565
74,0.28861914084690726,0.37794213159292706,0.14160926927502357,0.0598579919332393,0.13197146635190282,1.199157912556321e-05,1.199172292525752e-05
75,0.16147139033545135,0.36893580044110424,0.20197511757256878,0.08024993704372119,0.18736775460715452,0.0019406955343321676,0.001944469156941691
76,0.16241690585707147,0.26923096098027866,0.22257286964203446,0.12094729605374152,0.22483196746687414,0.006022501697728204,0.006058991987257987
77,0.1360809409885543,0.6823572333973394,0.15386442171719913,0.019108285693008115,0.008589118203899128,6.149747683212478e-05,6.150125900437556e-05
78,0.10112064946194255,0.7115431096112693,0.07121579089916272,0.04783700106219477,0.06828344896543076,0.0006665677474054229,0.0006670123563292729
79,0.08733083032857304,0.2251813568260457,0.2562576966527286,0.2961317733434518,0.13509834284920103,0.021666719798045946,0.022146563176889327
80,0.19583351342567687,0.315486695818493,0.20535178837800294,0.13492904597165814,0.14839895640616896,0.01341411868103126,0.013596503796606025
81,0.14229062434407963,0.37305619961817627,0.24420526125470782,0.16236397835725316,0.07808393642578318,0.014296671690330227,0.014504031060589832
82,0.03662093677862373,0.06892110288177475,0.13544320858667963,0.32364297159378747,0.4353717801591343,0.1548742040809725,0.1832558002948607
83,0.03226049238719758,0.07206520840049686,0.17966142695966011,0.458863427472092,0.2571494447805536,0.03982894430944269,0.04148109242972089
84,0.21444606864163954,0.5880591000740882,0.07512054831805667,0.027461218201058537,0.09491306476515704,0.013227698807257026,0.013405016325720014
85,0.11515650348477194,0.5653842668690491,0.18170321637314676,0.1217837926055899,0.015972220667442506,0.0007781158945258059,0.0007787218303594227
86,0.06536277375943654,0.4914358548676135,0.39931914576473354,0.028090323440635504,0.015791902167581102,0.0002969923264172346,0.00029708055706301005
87,0.23662701138955022,0.4331703794649609,0.2283066368085323,0.036626121027465784,0.06526985130949058,0.028693107122510452,0.029540722229930167
88,0.1683542538212951,0.24002641119440413,0.47068686793592585,0.03916456972020421,0.08176789732817065,0.009551026624603337,0.00964312840070292
89,0.1255590520912253,0.31327035566635725,0.34053035594831393,0.19658387243082473,0.024056363863278772,0.0012476210577833397,0.001249179560507982
90,0.19592896329537265,0.29982424783565087,0.20369294425594117,0.15588890767196345,0.14466493694107185,0.004136517203443508,0.004153699051026004
91,0.2508396231074416,0.3973641855010384,0.1456280863964607,0.1283187681950872,0.07784933679997205,0.00890494614565051,0.008984956701195658
92,0.15881757111685668,0.37064975574600184,0.16869286988146484,0.11177869314183315,0.19006111011384355,0.003452226265237314,0.0034641854171219544
93,0.05580831363459068,0.2149329384308902,0.22832804824517158,0.14427876309526586,0.35665193659408184,0.01540262571640072,0.015643577891529307
94,0.05837440916462265,0.24720133587359405,0.5093365150548073,0.10018322271117391,0.08490451719580239,0.00035685455608445695,0.0003569819467185834
95,0.12501669178860275,0.33731100317509527,0.4281315078918768,0.06850735068008021,0.04103344646434513,5.0403031895161966e-05,5.040557248883982e-05
96,0.2637504679738202,0.37510213831925415,0.18344783917672575,0.14798308807843305,0.02971646645176701,0.014869071301880955,0.015093497593797906
