session_id,measurement_id,sample_id,roi_within_measurement,shared_height_source_id,q01,q05,q50,q95,q99,selected_valid_pixels,selected_valid_fraction,q50_minus_q05,negative_tail_amplitude,robust_range_q99_q01,iqr_proxy_q95_q05,median_absolute_deviation,edge_energy,candidate_modified_fraction
zro2_120_formal,65,65,single,zro2_120_formal:m065,3.8068299999999997,5.566,40.701,44.507,44.933,760384,1.0,35.135,36.89417,41.12617,38.940999999999995,3.7479999999999976,0.0519999999999996,0.4088039727295682
zro2_120_formal,66,66,single,zro2_120_formal:m066,1.204,1.731,38.478,42.878,43.357,760384,1.0,36.747,37.274,42.153,41.147,4.442,0.04299999999999926,0.2889408509384732
zro2_120_formal,67,67,single,zro2_120_formal:m067,4.854,6.633,64.759,69.415,69.848,760384,1.0,58.126,59.905,64.994,62.782000000000004,4.766000000000005,0.0519999999999996,0.4033935485228516
zro2_120_formal,68,68,single,zro2_120_formal:m068,2.441,4.598,65.745,70.209,70.706,760384,1.0,61.147000000000006,63.304,68.265,65.611,4.5390000000000015,0.05200000000000671,0.42648845846309236
zro2_120_formal,69,69,single,zro2_120_formal:m069,6.32083,10.435,17.736,21.53,22.047,760384,1.0,7.301,11.41517,15.72617,11.095,3.274000000000001,0.0519999999999996,0.001246738490026092
zro2_120_formal,70,70,single,zro2_120_formal:m070,1.901,3.338,62.821,67.18184999999998,67.66017000000004,760384,1.0,59.483,60.919999999999995,65.75917000000004,63.84384999999998,4.462000000000003,0.04899999999999949,0.4037473171450215
zro2_120_formal,71,71,single,zro2_120_formal:m071,8.426,11.907,31.747,35.777,36.351,760384,1.0,19.84,23.320999999999998,27.924999999999997,23.87,3.7680000000000007,0.06299999999999883,0.11429225233566198
zro2_120_formal,72,72,single,zro2_120_formal:m072,3.042,4.139,51.082,55.575,56.06,760384,1.0,46.943,48.04,53.018,51.436,4.563000000000002,0.04899999999999949,0.4199378208904974
zro2_120_formal,73,73,single,zro2_120_formal:m073,3.855,5.873,33.086,37.665,38.261,760384,1.0,27.212999999999997,29.230999999999998,34.406000000000006,31.791999999999998,4.683,0.03500000000000014,0.39655884395252927
zro2_120_formal,74,74,single,zro2_120_formal:m074,5.18,8.537,33.563,37.776,38.238,760384,1.0,25.026000000000003,28.383000000000003,33.058,29.239000000000004,4.211999999999996,0.03300000000000125,0.1451779627135763
zro2_120_formal,75,75,single,zro2_120_formal:m075,8.224,11.251,13.292,16.284,16.803,760384,1.0,2.0410000000000004,5.068,8.579,5.0329999999999995,0.9320000000000004,0.031000000000000583,0.0167270747411834
zro2_120_formal,76,76,single,zro2_120_formal:m076,4.695,9.150150000000002,19.519,23.665,24.123,760384,1.0,10.368849999999997,14.823999999999998,19.428,14.514849999999997,4.168000000000003,0.034999999999998366,7.7592374379261e-05
zro2_120_formal,77,77,single,zro2_120_formal:m077,6.419,8.753,38.31,42.554,42.917,760384,1.0,29.557000000000002,31.891000000000002,36.498000000000005,33.801,4.344000000000001,0.036999999999999034,0.40510715638414274
zro2_120_formal,78,78,single,zro2_120_formal:m078,4.58983,7.061,12.851,16.894,17.288,760384,1.0,5.790000000000001,8.26117,12.698170000000001,9.832999999999998,2.389999999999999,0.04899999999999949,0.00126251998989984
zro2_120_formal,79,79,single,zro2_120_formal:m079,5.663,9.815,19.941,23.783,24.216,760384,1.0,10.126,14.277999999999999,18.553,13.968000000000002,2.891000000000002,0.054999999999999716,0.01976895884184833
zro2_120_formal,80,80,single,zro2_120_formal:m080,0.857,1.264,49.178,53.4,53.778,760384,1.0,47.913999999999994,48.321,52.921,52.135999999999996,4.281000000000006,0.04099999999999682,0.42242472224560224
zro2_120_formal,81,81,single,zro2_120_formal:m081,1.872,2.384,51.935,55.857,56.202,760384,1.0,49.551,50.063,54.33,53.473,4.009,0.04100000000000037,0.4305101106809191
zro2_120_formal,82,82,single,zro2_120_formal:m082,6.206,7.838,44.91,49.052,49.513,760384,1.0,37.071999999999996,38.70399999999999,43.306999999999995,41.214,4.242000000000004,0.04099999999999682,0.42003250988973995
zro2_120_formal,83,83,single,zro2_120_formal:m083,2.179,2.843,46.873,51.131,51.483,760384,1.0,44.03,44.693999999999996,49.303999999999995,48.288,4.346000000000004,0.043999999999999595,0.4226838018685296
zro2_120_formal,84,84,single,zro2_120_formal:m084,0.739,1.433,47.703,51.907,52.464,760384,1.0,46.27,46.964000000000006,51.725,50.474,4.336999999999996,0.04100000000000392,0.42913054456695565
zro2_120_formal,85,85,single,zro2_120_formal:m085,3.48,5.308,24.836,29.002,29.447,760384,1.0,19.528,21.355999999999998,25.967,23.694,4.054000000000002,0.045000000000001705,0.11679230494066156
zro2_120_formal,86,86,single,zro2_120_formal:m086,9.65,11.003,16.091,20.219,20.739,760384,1.0,5.088000000000001,6.441000000000001,11.089,9.216000000000001,2.3000000000000007,0.05999999999999872,8.2852874337177e-05
zro2_120_formal,87,87,single,zro2_120_formal:m087,6.683,7.44,44.803,49.157,49.667,760384,1.0,37.363,38.12,42.984,41.717,4.227000000000004,0.04499999999999993,0.3924201456106388
zro2_120_formal,88,88,single,zro2_120_formal:m088,4.721830000000001,6.405,23.997,28.617,29.166,760384,1.0,17.592,19.27517,24.44417,22.212,4.469999999999999,0.05600000000000094,0.006048259826613922
zro2_120_formal,89,89,single,zro2_120_formal:m089,1.209,2.051,39.544,44.339,44.803,760384,1.0,37.492999999999995,38.334999999999994,43.593999999999994,42.288,4.849000000000004,0.040999999999999925,0.404182623516539
zro2_120_formal,90,90,single,zro2_120_formal:m090,1.306,2.134,43.449,47.847,48.329,760384,1.0,41.315,42.143,47.023,45.713,4.416000000000004,0.036999999999999034,0.40861985523104116
zro2_120_formal,91,91,single,zro2_120_formal:m091,1.472,2.202,48.84,53.641,54.122,760384,1.0,46.638000000000005,47.368,52.65,51.439,4.847999999999999,0.03799999999999937,0.3945901018432792
zro2_120_formal,92,92,single,zro2_120_formal:m092,2.375,3.418,28.54,32.985,33.369,760384,1.0,25.122,26.165,30.994,29.567,4.265999999999998,0.04800000000000182,0.3747987858766097
zro2_120_formal,93,93,single,zro2_120_formal:m093,4.019,4.866,39.03,44.064,44.615,760384,1.0,34.164,35.011,40.596000000000004,39.198,5.132999999999996,0.04200000000000159,0.40191140265970876
zro2_120_formal,94,94,single,zro2_120_formal:m094,1.423,2.097,46.155,50.75,51.27,760384,1.0,44.058,44.732,49.847,48.653,4.686999999999998,0.041999999999999815,0.4151034214291726
zro2_120_formal,95,95,single,zro2_120_formal:m095,3.235,4.257,45.548,50.508,50.988,760384,1.0,41.291000000000004,42.313,47.753,46.251000000000005,4.872,0.03900000000000148,0.39055266812557865
zro2_120_formal,96,96,single,zro2_120_formal:m096,1.616,2.473,45.623,51.038,51.46,760384,1.0,43.15,44.007,49.844,48.565,5.310000000000002,0.045000000000001705,0.3800698068344415
zro2_120_formal,97,97,single,zro2_120_formal:m097,3.418,4.372,32.005,36.989,37.534,760384,1.0,27.633000000000003,28.587000000000003,34.116,32.617,5.037999999999997,0.03200000000000358,0.3782746612238027
zro2_120_formal,98,98,single,zro2_120_formal:m098,4.856,8.63,17.849,22.391,23.073,760384,1.0,9.219,12.993,18.217,13.760999999999997,4.305,0.028999999999999915,0.0
zro2_120_formal,99,99,single,zro2_120_formal:m099,8.256,11.635,13.987,17.312,17.646,760384,1.0,2.3520000000000003,5.731,9.39,5.677000000000001,1.234,0.030999999999998806,0.01124431866004545
zro2_120_formal,100,100,single,zro2_120_formal:m100,8.787,11.603,14.628,17.585,18.14,760384,1.0,3.0250000000000004,5.840999999999999,9.353,5.982000000000001,1.3219999999999992,0.038000000000000256,0.009793735796650114
zro2_120_formal,101,101,single,zro2_120_formal:m101,5.734,12.058,20.108,24.724,25.168,760384,1.0,8.05,14.374,19.433999999999997,12.666,2.3804999999999996,0.03500000000000014,0.031097445501220435
zro2_120_formal,102,102,single,zro2_120_formal:m102,8.33,13.963,18.926,22.291,22.833,760384,1.0,4.962999999999999,10.595999999999998,14.502999999999998,8.328000000000001,1.1309999999999967,0.043000000000002814,0.04933165348034677
zro2_120_formal,103,103,single,zro2_120_formal:m103,5.478,11.974,19.743,23.875,24.566,760384,1.0,7.768999999999998,14.264999999999999,19.088,11.901,1.193999999999999,0.03900000000000148,0.07075372443397021
zro2_120_formal,104,104,single,zro2_120_formal:m104,2.154,3.919,41.295,46.129,46.551,760384,1.0,37.376000000000005,39.141000000000005,44.397000000000006,42.21,4.911999999999999,0.036000000000001364,0.41179588208063295
zro2_120_formal,105,105,single,zro2_120_formal:m105,0.778,1.259,44.707,49.724,50.25,760384,1.0,43.448,43.929,49.472,48.464999999999996,5.152999999999999,0.038000000000000256,0.4108963365878293
zro2_120_formal,106,106,single,zro2_120_formal:m106,4.03383,6.062,18.856,22.841,23.416,760384,1.0,12.794,14.822170000000002,19.382170000000002,16.779,3.549999999999997,0.038999999999997925,0.004019021967847825
zro2_120_formal,107,107,single,zro2_120_formal:m107,6.235,8.642,13.752,17.928,18.358,760384,1.0,5.110000000000001,7.517,12.123000000000001,9.286000000000001,2.2280000000000015,0.045000000000001705,0.00081537749347698
zro2_120_formal,108,108,single,zro2_120_formal:m108,3.702,7.42,26.209,30.569,31.185,760384,1.0,18.789,22.506999999999998,27.482999999999997,23.149,4.219999999999999,0.04200000000000159,0.05028117372275061
zro2_120_formal,109,109,single,zro2_120_formal:m109,6.315,8.297,12.69,15.7,16.60617000000004,760384,1.0,4.392999999999999,6.374999999999999,10.29117000000004,7.402999999999999,1.8579999999999988,0.045999999999999375,0.0027065272283477823
zro2_120_formal,110,110,single,zro2_120_formal:m110,1.159,2.026,42.7,47.03,47.623,760384,1.0,40.67400000000001,41.541000000000004,46.464,45.004000000000005,4.439999999999998,0.038000000000000034,0.4224825877451393
zro2_120_formal,111,111,single,zro2_120_formal:m111,8.917,9.555,46.148,50.004,50.408,760384,1.0,36.593,37.231,41.491,40.449,3.8929999999999936,0.03999999999999915,0.4192842037707264
zro2_120_formal,112,112,single,zro2_120_formal:m112,5.939,8.399,29.136,33.278,33.69,760384,1.0,20.737000000000002,23.197,27.750999999999998,24.878999999999998,4.093,0.054000000000002046,0.18084678267822574
zro2_120_formal,113,113,single,zro2_120_formal:m113,3.812,4.751,41.746,46.08,46.444,760384,1.0,36.995000000000005,37.934000000000005,42.632000000000005,41.329,4.344999999999999,0.03800000000000381,0.4050729631344163
zro2_120_formal,114,114,single,zro2_120_formal:m114,3.314,4.173,49.637,54.1,54.626,760384,1.0,45.464,46.323,51.312,49.927,4.570999999999998,0.03999999999999915,0.41543351780153187
zro2_120_formal,115,115,single,zro2_120_formal:m115,2.688,3.23,47.358,51.649,52.061,760384,1.0,44.128,44.669999999999995,49.373,48.419000000000004,4.373000000000005,0.0389999999999997,0.4186424227758606
zro2_120_formal,116,116,single,zro2_120_formal:m116,0.89,1.417,41.491,45.953,46.619,760384,1.0,40.074,40.601,45.729,44.536,4.533000000000001,0.03999999999999915,0.4155321521757428
zro2_120_formal,117,117,single,zro2_120_formal:m117,9.283,11.007,15.428,19.486,20.074,760384,1.0,4.421000000000001,6.145000000000001,10.791000000000002,8.479000000000001,1.5300000000000011,0.058999999999999275,0.00506323120949415
zro2_120_formal,118,118,single,zro2_120_formal:m118,4.291,22.164,35.543,39.97,40.507,760384,1.0,13.378999999999998,31.252,36.215999999999994,17.805999999999997,3.189,0.04800000000000182,0.03346598560727212
zro2_120_formal,119,119,single,zro2_120_formal:m119,5.643,6.348,51.232,55.664,56.141,760384,1.0,44.884,45.589,50.498,49.316,4.453000000000003,0.0389999999999997,0.4132135868192913
zro2_120_formal,120,120,single,zro2_120_formal:m120,4.71,6.106,54.684,59.417,59.957,760384,1.0,48.577999999999996,49.974,55.247,53.311,4.736000000000004,0.04200000000000159,0.40094873116741014
