session_id,measurement_id,cag_data_name,width_px,height_px,dx_um,dy_um,fov_width_um,fov_height_um,valid_pixels,invalid_pixels,valid_fraction,invalid_component_count,invalid_component_max_area_um2,q01,q05,q50,q95,q99,selected_valid_pixels,selected_valid_fraction,q50_minus_q05,negative_tail_amplitude,robust_range_q99_q01,iqr_proxy_q95_q05,median_absolute_deviation,edge_energy,candidate_modified_fraction,status
zro2_120_formal,62,62,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,5.023,8.582,65.903,70.944,71.824,3145728,1.0,57.321000000000005,60.88000000000001,66.801,62.362,2.6169999999999902,0.03999999999999915,0.10876083374023438,PASS
zro2_120_formal,63,63,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,5.069,8.305,64.897,69.254,70.087,3145728,1.0,56.592000000000006,59.828,65.018,60.949000000000005,2.4850000000000065,0.04200000000000159,0.1080487569173177,PASS
zro2_120_formal,64,64,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,4.383,6.686,41.764,45.802,46.31,3145728,1.0,35.078,37.381,41.927,39.116,2.4340000000000046,0.04300000000000015,0.10876146952311198,PASS
zro2_120_formal,65,65,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,5.32,7.848,41.989,46.182,47.14,3145728,1.0,34.141,36.669,41.82,38.334,2.3840000000000003,0.04299999999999926,0.10410499572753906,PASS
zro2_120_formal,66,66,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,1.627,3.725,39.956,44.507,45.243,3145728,1.0,36.231,38.329,43.616,40.782,2.574000000000005,0.04100000000000037,0.0835889180501302,PASS
zro2_120_formal,67,67,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,6.357,9.997,66.421,71.086,71.797,3145728,1.0,56.42400000000001,60.06400000000001,65.44,61.089,2.540999999999997,0.043000000000006366,0.10826905568440755,PASS
zro2_120_formal,68,68,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,4.276,9.14,67.173,71.762,72.51,3145728,1.0,58.033,62.897000000000006,68.23400000000001,62.622,2.408999999999992,0.04200000000000159,0.10853894551595052,PASS
zro2_120_formal,69,69,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,9.729,13.151,19.193,23.421,24.478,3145728,1.0,6.042000000000002,9.464000000000002,14.749000000000002,10.27,2.296000000000003,0.04199999999999804,0.008269627888997396,PASS
zro2_120_formal,70,70,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,3.134,6.32,64.277,68.86,69.816,3145728,1.0,57.957,61.143,66.682,62.54,2.391999999999996,0.04099999999999682,0.10826683044433594,PASS
zro2_120_formal,71,71,2048,1536,0.344174,0.344174,704.8683519999998,528.6512639999999,3145728,0,1.0,0,0.0,11.404,17.635,33.182,37.715,38.815,3145728,1.0,15.547,21.778000000000002,27.410999999999998,20.080000000000002,2.439,0.04299999999999926,0.09236749013264973,PASS
