base_condition_group,dataset_index,pass_count,median_depth_um,p_lt8,p_8_16,p_16_32,p_32_64,p_64_inf,ilr_z1,ilr_z2,ilr_z3,ilr_z4
T04,198,3,9.4158,0.2396096141015226,0.1707622685467746,0.1358589858141608,0.088571584687501,0.365197546850041,0.2311600996990612,0.2395243924105265,-0.2290332372495823,-1.001706798413054
T04,196,4,12.8074,0.1564169377600096,0.0937627138652451,0.0641443231042566,0.0451849270763143,0.6404910981941744,-0.0161380208625546,0.3618674458676895,-0.796381206379574,-1.8748735934310905
T05,160,1,9.4616,0.3279079697437324,0.5088771820307446,0.1200156092797799,0.0318538338636198,0.0113454050821232,2.687425245666613,-0.3107548375241632,1.5045064236457322,0.7299780961986548
T05,161,2,17.772,0.2842447436255917,0.3550479848987524,0.1753762464445127,0.0369544769853224,0.1483765480458206,1.280487393046402,-0.1572727872297372,0.7039944571700516,-0.9829254362997352
T05,163,3,25.3133,0.1113864188445996,0.4710725716838595,0.1986920710746604,0.0475265648677331,0.1713223735291474,0.7322810641455765,-1.0196527553436392,0.6444920506691145,-0.9066934627430144
T05,162,4,30.9608,0.041026057051733,0.0687775708107536,0.1439913593914153,0.099453192226916,0.6467518205191819,-1.5057898723930696,-0.3653410610632664,-0.4621955065415298,-1.323898725165732
T06,176,1,11.4691,0.0727134301140889,0.1664049856670875,0.2707061595603883,0.316684876496576,0.1734905481618591,-0.8813361257003838,-0.5854125650361839,0.1175908503030309,0.425525602752429
T06,177,2,21.2453,0.1649415179423839,0.1705521628824458,0.0557540648836159,0.0635835150646144,0.5451687392269398,0.3259125683803568,-0.0236528747301991,-0.9845107398282524,-1.5193894172152391
T06,178,3,29.0683,0.0717088557736304,0.1096771945811592,0.083488581434631,0.049144897984793,0.6859804702257862,-0.5094179475787771,-0.3004689083387473,-0.643481954836589,-1.863987301622592
T06,179,4,35.5795,0.0598551420487749,0.08059610386861,0.0732070339915588,0.0601787544280411,0.7261629656630151,-0.8238911588599974,-0.2103805063433689,-0.8567134529598908,-1.7610176800445978
T06,128,5,40.7252,0.0980844840742901,0.0803054078882494,0.0395151690780891,0.0416072481233325,0.7404876908360386,-0.2025729204927113,0.1414158584405125,-1.217483826762214,-2.0357849065883613
T06,129,6,42.3187,0.03645413429325,0.0576252109113285,0.0395075259678474,0.0476779286212601,0.8187352002063136,-1.0128112783121193,-0.3237879326389415,-1.3142520516668177,-2.0105111475976174
T07,189,1,2.9421,0.2976922399883625,0.1838437744363198,0.1075150043328529,0.0665331996881169,0.3444157815543477,0.6017786641180181,0.3408069820378084,-0.2793601554467712,-1.162588573653418
T07,190,2,7.0206,0.4039311878752125,0.2090658333441498,0.0874520541401252,0.0498690329409954,0.2496818916995167,1.1374963330966654,0.4656972323647224,-0.1989828790428266,-1.1389987265820636
T07,191,3,10.3754,0.0018144156918754,0.0024359757659457,0.032708053588315,0.0742143651415701,0.8888271898122937,-4.511523361514028,-0.2083022863756323,-1.682643458278135,-1.7557073159184795
T07,188,4,13.6042,0.125257615638704,0.0702510568476217,0.0792016095532482,0.0742020012531355,0.6510877167072902,-0.5600500673241064,0.4089178641829663,-0.8334153098605733,-1.535732163462657
T07,136,5,17.7978,0.1028222909555381,0.0563523977609129,0.0485811572897482,0.0886765096411975,0.7035676443526031,-0.7038068206341906,0.4252380211941015,-1.3368855980159415,-1.4645376455961272
T07,137,6,21.2544,0.0383087711770481,0.0178501649678079,0.0266848854690785,0.0666966491357999,0.8504595292502652,-1.6207079106431923,0.5399935007442697,-1.787203607251548,-1.8000266578979682
T08,149,1,3.9601,0.0612143565986849,0.1328859474968257,0.167415942598039,0.2887471691766232,0.349736584129827,-1.1456178333389708,-0.5480851664681791,-0.5232799753761848,-0.1355020213221319
