dataset_index,band,A2,theta_k_deg,theta_stripe_deg,angular_entropy
64,8_16,0.7742734099616825,0.7958487038810587,90.79584870388106,0.5697681242294695
64,16_32,0.71965950716559,-2.7247696370569483,87.27523036294305,0.3852087474269789
64,32_64,0.6592304349094041,54.604487572743686,144.6044875727437,0.37400859735390224
64,64_inf,0.04521314407711947,-89.99999999999996,4.263256414560601e-14,0.19314107996182525
65,8_16,0.8229161791456135,1.1749974401636838,91.17499744016368,0.5274392364228843
65,16_32,0.849428693965202,0.2130774369864152,90.21307743698641,0.3898041364176415
65,32_64,0.2726174383348982,2.836726924527921,92.83672692452792,0.39478822081927734
65,64_inf,0.5948094350364345,-4.703319051893423e-15,90.0,0.14063809262923568
66,8_16,0.20862378486641536,5.178722928568441,95.17872292856845,0.896374902968404
66,16_32,0.5018594960049483,5.08241674378237,95.08241674378237,0.6496289153091016
66,32_64,0.32174085713315187,11.911106840899127,101.91110684089912,0.5027818853961838
66,64_inf,0.5710527088043441,-4.826008168946797e-15,90.0,0.14505962411586645
67,8_16,0.13897029031841482,12.177466896270369,102.17746689627037,0.9464377346842675
67,16_32,0.17169408893851593,-32.861274324305064,57.138725675694936,0.7631063418885032
67,32_64,0.2902803818923295,-41.687957508820524,48.312042491179476,0.5316366590939704
67,64_inf,0.09901486643800826,-1.9470479812725074e-14,89.99999999999999,0.19205623833413196
68,8_16,0.13874044828035428,14.758621621537793,104.7586216215378,0.8954340227892266
68,16_32,0.35600368089362117,78.24419731207979,168.2441973120798,0.6648068605178072
68,32_64,0.5452595910815513,59.043207150716256,149.04320715071626,0.46802668435400396
68,64_inf,0.762389692025442,-90.0,0.0,0.1017261443515332
69,8_16,0.38523013542845963,-58.67350189043883,31.32649810956117,0.9032597967618745
69,16_32,0.20188334305025366,-40.224824207374844,49.775175792625156,0.7912240533201168
69,32_64,0.28082446407889844,-68.39843194676199,21.60156805323801,0.5164904916923594
69,64_inf,0.5000455211542276,-90.0,0.0,0.15691563177000434
70,8_16,0.48254867621028147,0.43012086773542046,90.43012086773543,0.7964159165584054
70,16_32,0.3778722712556068,20.57373511369721,110.57373511369721,0.7793073504347048
70,32_64,0.24670782329761695,25.128243895193457,115.12824389519346,0.5273748072132077
70,64_inf,0.06513829025021485,-2.8684225962622546e-14,89.99999999999997,0.19283396884332085
71,8_16,0.6467381747535611,0.8343867284928864,90.83438672849289,0.7165854265106665
71,16_32,0.6819211016491268,-6.05771279069085,83.94228720930914,0.5344536373231705
71,32_64,0.4221870091019694,-50.75793519161625,39.24206480838375,0.5199304433913047
71,64_inf,0.0099951927636938,-89.99999999999983,1.7053025658242404e-13,0.19341246403112242
72,8_16,0.2830216597611039,51.52784259489679,141.52784259489678,0.9313320998754407
72,16_32,0.18541501889307133,66.55013928021025,156.55013928021026,0.7632631653003157
72,32_64,0.5616705067017344,55.69743318320853,145.69743318320855,0.47332119242065424
72,64_inf,0.9523328343755244,-3.596156579485297e-15,90.0,0.03142309792302914
73,8_16,0.29587040995658204,14.03372039429787,104.03372039429787,0.9116719197777746
73,16_32,0.11162270184067595,40.02912854810932,130.02912854810933,0.8434041761276491
73,32_64,0.288249493445584,77.16265313254104,167.16265313254104,0.43895396192397224
73,64_inf,0.4492317950066689,-90.0,0.0,0.1642354252202774
74,8_16,0.16789175330580133,-20.39383716678612,69.60616283321389,0.8628655108189245
74,16_32,0.12589629068274324,36.25110994601959,126.2511099460196,0.7802401332850549
74,32_64,0.39123385963478585,39.41183313976595,129.41183313976595,0.5026001258730983
74,64_inf,0.16877187896283147,-1.214795462576835e-14,89.99999999999999,0.18943301963299147
75,8_16,0.651129169986947,0.30074830339901004,90.300748303399,0.6631335325137906
75,16_32,0.2659631568922038,30.562497049227368,120.56249704922737,0.7020120578338164
75,32_64,0.518960514316252,30.686583003220846,120.68658300322085,0.4463365207807635
75,64_inf,0.8670861836319507,-3.777248799819754e-15,90.0,0.06819445143874038
76,8_16,0.08376885481967306,0.2335112978624466,90.23351129786245,0.9276734581533804
76,16_32,0.13035538699240734,-30.516288047299906,59.48371195270009,0.7540349258854735
76,32_64,0.2230470886954068,14.114758382653228,104.11475838265324,0.5414276436459422
76,64_inf,0.45728483165094685,-5.590248856463386e-15,90.0,0.16313697892464696
77,8_16,0.8985651245461259,0.46535857380006146,90.46535857380006,0.3569701574235101
77,16_32,0.6123811910816456,-4.983897179861862,85.01610282013814,0.525775473019777
77,32_64,0.17667683534603895,75.35248040769831,165.3524804076983,0.47081640022934235
77,64_inf,0.8145081571789058,-3.907841851100108e-15,90.0,0.08618491245365272
78,8_16,0.9225443341069854,-0.2906198627566307,89.70938013724337,0.3692855088966826
78,16_32,0.10731232589055385,85.24076597527628,175.24076597527628,0.7406982914002932
78,32_64,0.14453408136329737,52.046562523792645,142.04656252379266,0.48638859117140104
78,64_inf,0.842471147610663,-90.0,0.0,0.07694706129274007
79,8_16,0.14186462490485963,-18.502850794655167,71.49714920534484,0.9426021048149024
