session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,center_x_um,center_y_um,region_score,edge_score,objective_score,center_search_boundary_hit,registration_unstable,sensitivity_span_um,sensitivity_centers,initialization,status,warning,paired_center_separation_um,slot_assignment_conflict,coarse_plane_rmse_um,final_plane_a,final_plane_b,final_plane_c,final_plane_rmse_um,final_reference_fraction,final_reference_retained_fraction,final_reference_quadrants,registered_fov_um,registered_pixel_um,registered_valid_fraction,h200_pixel_um,h200_valid_fraction,h_reg_path,h_200_path,final_leveling_failed
zro2_120_formal,21,21,single,-0.7000000000025182,identity,-2.778584480435125,20.479434681804918,285.86084797700863,16.201281890332318,0.88391461337678,False,False,0.5,"0.25/0.75:-3.279,20.479;0.50/0.50:-2.779,20.479;0.75/0.25:-2.779,20.479",fixed-domain_component,PASS,,,,0.22275654402716813,-0.00012006717596616094,-0.00015244949670549596,-0.028586262521373248,0.16918401194495217,1.0,0.9093141566971616,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_021.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_021.npz,False
zro2_120_formal,22,22,single,-0.7000000000025182,identity,32.62613814912766,4.173012005116352,295.2045409326671,16.58069466929263,0.9623319474890846,False,False,3.0,"0.25/0.75:32.626,4.173;0.50/0.50:32.626,4.173;0.75/0.25:32.626,7.173",fixed-domain_component,PASS,,,,0.20498848931776237,-5.6042400540731736e-05,0.0003867854019714949,0.04681811240305766,0.15516853805881026,1.0,0.9368695754163735,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_022.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_022.npz,False
zro2_120_formal,23,23,single,-0.7000000000025182,identity,25.17196217660385,-3.9424486436631963,261.1679085044301,11.213940953519177,0.26642687362077927,False,True,5.0,"0.25/0.75:21.672,-2.442;0.50/0.50:25.172,-3.942;0.75/0.25:25.672,-5.442",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.21724888321094674,0.0007042939020016175,-0.0005688951082687948,0.13555596956520147,0.16955390580515722,1.0,0.906557881773399,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_023.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_023.npz,False
zro2_120_formal,24,24,single,-0.7000000000025182,identity,14.0,14.0,179.82682244752047,5.204546941254131,1.252858887831402,False,False,0.0,"0.25/0.75:14.000,14.000;0.50/0.50:14.000,14.000;0.75/0.25:14.000,14.000",domain_midpoint_fallback,REVIEW,segmentation initializer unavailable,,,0.21842410867304096,-0.00032680009332318596,0.00039375066755346693,0.09617592852002425,0.18283728936457036,1.0,0.8719798264133239,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_024.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_024.npz,False
zro2_120_formal,25,25,single,-0.7000000000025182,identity,-4.789961109664208,42.31534653494776,30.964030720501196,10.465137197528556,0.3858756875814774,False,True,4.242640687119285,"0.25/0.75:-6.790,43.315;0.50/0.50:-4.790,42.315;0.75/0.25:-3.790,40.315",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.22164505683945088,-0.002817416938288188,-0.0017424960618734652,-0.4526909600568406,0.19773847299473823,1.0,0.8824697982641332,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_025.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_025.npz,False
zro2_120_formal,26,26,single,-0.7000000000025182,identity,24.39630971901575,3.04163422284244,1.471323456776685,3.200806243901139,0.8717209960211816,False,False,1.5,"0.25/0.75:24.396,3.042;0.50/0.50:24.396,3.042;0.75/0.25:24.396,1.542",fixed-domain_component,PASS,,,,0.20647773015263818,-3.988574617221369e-05,0.00011048179082949776,0.023491345021077907,0.15432566104812195,1.0,0.8898516303072953,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_026.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_026.npz,False
zro2_120_formal,27,27,single,-0.7000000000025182,identity,-30.333429828010637,-23.731140790814912,217.7169123225425,18.153549712018794,0.3387972309335804,False,False,2.5495097567963922,"0.25/0.75:-27.833,-24.231;0.50/0.50:-30.333,-23.731;0.75/0.25:-30.333,-24.231",fixed-domain_component,PASS,,,,0.2005819401178535,-0.00047478215960330104,-9.595401501236167e-05,0.16727690330463932,0.19435586639811275,1.0,0.9452996715927751,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_027.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_027.npz,False
zro2_120_formal,28,28,single,-0.7000000000025182,identity,-21.19930771783908,31.581916937607232,60.385376535045964,7.304252765337843,1.1940315266295238,False,False,1.4142135623730951,"0.25/0.75:-20.699,30.582;0.50/0.50:-21.199,31.582;0.75/0.25:-21.699,31.582",fixed-domain_component,PASS,,,,0.2102607814675598,8.291365531471877e-05,-0.000399772232712372,0.07472457931876701,0.15978650251447324,1.0,0.8969255805770584,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_028.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_028.npz,False
zro2_120_formal,29,29,single,-0.7000000000025182,identity,-30.748093074141906,22.47962282299408,198.63212805612858,16.825246003939167,0.3490531569468618,False,False,2.0615528128088303,"0.25/0.75:-31.748,22.480;0.50/0.50:-30.748,22.480;0.75/0.25:-29.748,22.980",fixed-domain_component,PASS,,,,0.2381367823531738,-0.0006008071575011126,-0.00015313822235081195,0.2902565536254154,0.16278422003923854,1.0,0.9050551254984752,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_029.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_029.npz,False
zro2_120_formal,30,30,single,-0.7000000000025182,identity,11.5,-6.0,63.92183603613607,5.339640529942505,0.42614707801359075,False,True,3.905124837953327,"0.25/0.75:9.000,-6.000;0.50/0.50:11.500,-6.000;0.75/0.25:11.500,-9.000",domain_midpoint_fallback,REVIEW,weight sensitivity exceeds threshold; segmentation initializer unavailable,,,0.2025703016512185,-0.0012811493741668285,3.7034017879751524e-05,0.04946417413343889,0.14717645056624618,1.0,0.7470897841895379,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_030.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_030.npz,False
zro2_120_formal,31,31,single,-0.7000000000025182,identity,-31.5,-11.2979421920827,63.98068442589118,7.531079060444172,0.5231191132048719,False,False,2.692582403567252,"0.25/0.75:-34.000,-10.798;0.50/0.50:-31.500,-11.298;0.75/0.25:-31.500,-11.798",fixed-domain_component,PASS,,,,0.1909103953566175,-0.00021946828393901865,6.988751979125456e-05,0.1382111453819885,0.159362293272691,1.0,0.9466704785362421,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_031.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_031.npz,False
zro2_120_formal,32,32,single,-0.7000000000025182,identity,-49.5,-4.4566990498856605,215.62556725788465,17.01862213103275,1.354342351994243,True,False,0.5,"0.25/0.75:-50.000,-4.457;0.50/0.50:-49.500,-4.457;0.75/0.25:-49.500,-4.457",fixed-domain_component,REVIEW,center search boundary hit,,,0.21654995308156555,-0.0007250089000252713,3.0894481245057753e-07,0.22746146640266285,0.1731849771039018,1.0,0.916146199859254,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_032.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_032.npz,False
zro2_120_formal,33,33,single,-0.7000000000025182,identity,-3.5297079404411633,2.873466349461312,197.87470966987394,18.752671034058448,0.8446846677001276,False,True,3.5,"0.25/0.75:-3.530,2.873;0.50/0.50:-3.530,2.873;0.75/0.25:-3.530,-0.627",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.2243677764846512,-0.0014383074699733673,0.00020163875413224197,0.100493256060896,0.17943280832584124,1.0,0.8975413441238564,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_033.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_033.npz,False
zro2_120_formal,34,34,single,-0.7000000000025182,identity,-14.51364155236493,-0.6438390052643292,288.3244735998517,16.070191656285957,0.443725942535483,False,True,4.0,"0.25/0.75:-11.514,-0.644;0.50/0.50:-14.514,-0.644;0.75/0.25:-15.514,-0.644",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.23426514820298927,-0.0003291837502870344,-1.733025222202568e-05,0.2668753777767436,0.17009806703391164,1.0,0.9254486277269528,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_034.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_034.npz,False
zro2_120_formal,35,35,single,-0.7000000000025182,identity,-1.9666735013454169,10.520557216996018,45.27235581001197,4.5562127938188395,0.13887505646199452,False,True,3.605551275463989,"0.25/0.75:-3.967,11.021;0.50/0.50:-1.967,10.521;0.75/0.25:-0.967,9.021",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.2212624052997015,0.00023436867333857727,0.0002980176720471109,0.22754130990429455,0.16325103173274205,1.0,0.90938013136289,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_035.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_035.npz,False
zro2_120_formal,36,36,single,-0.7000000000025182,identity,-13.92499553711771,1.9639097418192186,271.43040361907333,17.833858803408468,1.00514767917713,False,False,2.23606797749979,"0.25/0.75:-12.925,1.964;0.50/0.50:-13.925,1.964;0.75/0.25:-13.925,3.964",fixed-domain_component,PASS,,,,0.22099805926507712,0.000600157039564445,-0.0002597621199140511,0.07763283639127826,0.17280098923016357,1.0,0.9212115880835092,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_036.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_036.npz,False
zro2_120_formal,37,37,single,-0.7000000000025182,identity,-17.41070500503887,14.112830844843911,175.67808580985673,12.41998908100759,1.7836377029960566,False,False,0.0,"0.25/0.75:-17.411,14.113;0.50/0.50:-17.411,14.113;0.75/0.25:-17.411,14.113",fixed-domain_component,PASS,,,,0.2089220938776249,-0.0005189057677663914,0.00024398982586259547,-0.004167754413877952,0.1786304680191462,1.0,0.9425360661505982,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_037.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_037.npz,False
zro2_120_formal,38,38,single,-0.7000000000025182,identity,-30.76683536072011,16.98871360568264,194.04384966989022,16.44957539211609,0.5811531734420966,False,False,1.118033988749895,"0.25/0.75:-31.267,16.989;0.50/0.50:-30.767,16.989;0.75/0.25:-30.267,16.489",fixed-domain_component,PASS,,,,0.259871196973398,-9.785261992574069e-05,0.00032349830153954873,0.16777912860871352,0.25387409988948684,1.0,0.9571897724607085,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_038.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_038.npz,False
zro2_120_formal,39,39,single,-0.7000000000025182,identity,-12.176127856080422,-0.6950118536482375,26.177714208553855,4.428965235747239,0.5576279253514137,False,True,4.242640687119285,"0.25/0.75:-10.176,0.805;0.50/0.50:-12.176,-0.695;0.75/0.25:-13.176,-2.195",fixed-domain_component,REVIEW,weight sensitivity exceeds threshold,,,0.2572949539775783,-0.0002869484488469605,-0.00022408382073038592,0.23176587228230494,0.18585624498283326,1.0,0.9310491437954492,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_039.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_039.npz,False
zro2_120_formal,40,40,single,-0.7000000000025182,identity,3.227854244622508,11.93120226396082,216.57223122671758,16.07903078993061,0.9083893056611714,False,False,2.0,"0.25/0.75:3.228,12.931;0.50/0.50:3.228,11.931;0.75/0.25:3.228,10.931",fixed-domain_component,PASS,,,,0.24097367719308155,-0.0005102654565442694,0.0002476634582116298,0.08823594291043557,0.18198836512296318,1.0,0.8595032840722496,4,300.00000000000006,0.34443168771526983,1.0,0.3448275862068966,1.0,outputs\rectangle_registration\registered\H_reg\zro2_120_formal__sample_040.npz,outputs\rectangle_registration\registered\H_200\zro2_120_formal__sample_040.npz,False
