registration_method,evidence_level,session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,center_x_um,center_y_um,delta_u_um,delta_v_um,left_evidence,right_evidence,top_evidence,bottom_evidence,joint_evidence_total,x_pair_evidence,y_pair_evidence,bootstrap_u_mad_um,bootstrap_v_mad_um,bootstrap_u_ci_span_um,bootstrap_v_ci_span_um,bootstrap_u_q025_um,bootstrap_u_q975_um,bootstrap_v_q025_um,bootstrap_v_q975_um,bootstrap_replicates,u_multimodal,v_multimodal,center_search_boundary_hit,initialization,status,warning,qa_v2_status,qa_v2_region_score,qa_v2_edge_score,qa_v2_weight_sensitivity_span_um,qa_v4_vs_v2_center_shift_um,qa_v3_status,qa_v4_vs_v3_center_shift_um,paired_center_separation_um,slot_assignment_conflict
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,11,11,single,-0.7000000000025182,identity,4.704165307956884,-0.3488362523596238,-2.5,2.25,71.33546059707776,254.4872345365472,520.4779616944272,94.58144598211764,940.8821028101698,325.82269513362496,615.0594076765449,0.0,0.25,0.75,1.0,-2.75,-2.0,2.0,3.0,192,False,False,False,fixed-domain_component,PASS,,PASS,228.68451048992904,15.751017057170499,2.1213203435596424,4.4663189534681775,PASS,1.5448440396082446,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,12,12,single,-0.7000000000025182,identity,-5.746712627365419,6.69308747714103,-4.0,-0.5,0.045497623912452205,40.47797537792533,77.12427257880107,18.862109669686088,136.50985525032496,40.523473001837786,95.98638224848716,0.0,0.0,0.25,0.5,-4.0,-3.75,-0.75,-0.25,192,False,False,False,fixed-domain_component,PASS,,PASS,71.37218143318687,9.760404682757377,2.5,7.810841515479444,PASS,3.167888861239463,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,13,13,single,-0.7000000000025182,identity,12.131342075804678,11.039213559140089,0.0,1.25,16.31612849798145,72.02862419206299,314.90816660693235,45.193766932072236,448.446686229049,88.34475269004444,360.10193353900456,0.0,0.25,1.25,1.0,-1.0,0.25,1.0,2.0,192,False,False,False,fixed-domain_component,PASS,,PASS,140.12567005978514,13.626734392458483,2.6925824035672505,2.595480089786314,PASS,2.2565077182561923,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,14,14,single,-0.7000000000025182,identity,0.563004448171457,9.062574345691122,1.0,0.25,0.0,4.790736219464121,88.62978223090695,32.630665050900916,126.05118350127199,4.790736219464121,121.26044728180787,0.0,0.25,2.424999999999999,1.5,-1.424999999999999,1.0,-0.25,1.25,192,False,False,False,fixed-domain_component,PASS,,PASS,30.3878222669547,6.493006226538168,2.692582403567252,12.478383277414341,REVIEW,2.0780808200473437,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,15,15,single,-0.7000000000025182,identity,3.455097949354914,28.278101602890672,-10.75,-0.75,0.0,16.257061422514514,11.024506615938137,12.055678153976572,39.33724619242922,16.257061422514514,23.08018476991471,0.25,0.25,1.3062500000000004,10.25,-11.80625,-10.5,-2.25,8.0,192,False,False,False,fixed-domain_component,REVIEW,bootstrap CI span above review threshold,REVIEW,32.96280975180173,3.408318698561169,3.640054944640259,9.76949205014779,STOP,4.14411442618856,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,16,16,single,-0.7000000000025182,identity,-19.884366400371338,39.026731173397444,-2.0,2.0,12.036514846955487,85.60255424167106,206.3143714449215,30.29973953288205,334.2531800664301,97.63906908862654,236.61411097780356,0.5,0.25,4.25,10.25,-5.25,-1.0,1.75,12.0,192,False,False,False,fixed-domain_component,REVIEW,bootstrap CI span above review threshold,PASS,196.19842843242736,16.681300017929996,2.0,0.47635002303063534,PASS,2.4958170274730596,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,17,17,single,-0.7000000000025182,identity,-2.6734439332901405,9.12527170642206,-4.75,2.25,20.649756247066108,63.81792365947607,175.68203151666708,21.758466756767465,281.90817817997674,84.46767990654217,197.44049827343454,0.25,0.25,1.5,1.0,-5.5,-4.0,2.0,3.0,192,False,False,False,fixed-domain_component,PASS,,REVIEW,223.04739131426453,15.824949527582476,3.640054944640259,3.2855409011568755,REVIEW,7.338535801824641,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,18,18,single,-0.7000000000025182,identity,-14.677096657741842,-0.8957140542326294,-5.0,-0.25,4.284894274857583,24.806595718123628,3.781161775742054,26.978911812986908,59.85156358171017,29.09148999298121,30.76007358872896,0.0,0.25,0.75,1.25,-5.5,-4.75,-0.75,0.5,192,False,False,False,fixed-domain_component,PASS,,REVIEW,28.688194104817576,3.9984523150555975,3.8078865529319543,5.244454270244162,REVIEW,1.81449953453548,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,19,19,single,-0.7000000000025182,identity,20.41597243336836,3.878868634540533,-3.5,-1.75,8.008926672229752,27.26999568891298,4.2744883195414225,33.156825193622005,72.71023587430616,35.27892236114273,37.43131351316343,0.25,0.25,1.0562500000000004,1.5,-4.30625,-3.25,-2.75,-1.25,192,False,False,False,fixed-domain_component,PASS,,REVIEW,27.893622923143916,4.538688060624383,3.605551275463989,14.121642881403735,REVIEW,1.8880698738376884,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,20,20,single,-0.7000000000025182,identity,27.88126380594181,-8.837498149684189,-3.25,2.75,44.845042474399435,66.43078627367497,190.3118430544768,23.23760976624915,324.82528156880034,111.2758287480744,213.54945282072595,0.25,0.0,1.3062499999999986,0.5,-4.25,-2.9437500000000014,2.5,3.0,192,False,False,False,fixed-domain_component,PASS,,REVIEW,222.40446079326443,15.661377558103748,4.6097722286464435,7.383740594350859,PASS,3.209991543459686,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,21,21,single,-0.7000000000025182,identity,-8.729455270905541,19.02189566337024,-3.5,4.0,39.99435761200943,50.21556029915693,195.15287413927535,26.06590783475489,311.4286998851966,90.20991791116636,221.21878197403024,0.25,0.25,1.25,0.5,-4.0,-2.75,3.75,4.25,192,False,False,False,fixed-domain_component,PASS,,PASS,285.86084797700863,16.201281890332318,0.5,6.126767757564629,PASS,2.573662892240875,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,22,22,single,-0.7000000000025182,identity,31.644724856569017,2.715659562530547,-3.5,1.5,25.49431641953714,68.7692872052765,135.50081352293643,19.910040093487662,249.67445724123772,94.26360362481364,155.41085361642408,0.25,0.25,2.0,0.8062499999999986,-4.75,-2.75,1.0,1.8062499999999986,192,False,False,False,fixed-domain_component,PASS,,PASS,295.2045409326671,16.58069466929263,3.0,1.7569997702679454,PASS,2.622252543546583,,
multiscale_joint_four_edge_block_bootstrap,3,zro2_120_formal,23,23,single,-0.7000000000025182,identity,15.691780284647757,-2.1982205724666963,-20.0,1.5,1.4110190251534045,24.881090455390346,143.87532066357707,23.08861583358095,193.25604597770177,26.29210948054375,166.96393649715802,0.0,0.0,2.8062499999999986,0.5562499999999999,-20.0,-17.19375,1.44375,2.0,192,False,False,False,fixed-domain_component,PASS,,REVIEW,261.1679085044301,11.213940953519177,5.0,9.639303930726639,PASS,2.111727431688189,,
