registration_method,evidence_level,session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,center_x_um,center_y_um,delta_u_um,delta_v_um,left_evidence,right_evidence,top_evidence,bottom_evidence,joint_evidence_total,x_pair_evidence,y_pair_evidence,outer_reference_scale_um,bootstrap_u_mad_um,bootstrap_v_mad_um,bootstrap_u_ci_span_um,bootstrap_v_ci_span_um,bootstrap_u_q025_um,bootstrap_u_q975_um,bootstrap_v_q025_um,bootstrap_v_q975_um,bootstrap_replicates,u_multimodal,v_multimodal,center_search_boundary_hit,initialization,status,warning,qa_v2_status,qa_v2_region_score,qa_v2_edge_score,qa_v2_weight_sensitivity_span_um,qa_v3_status,qa_v4_status,qa_v5_vs_v2_center_shift_um,qa_v5_vs_v3_center_shift_um,qa_v5_vs_v4_center_shift_um,paired_center_separation_um,slot_assignment_conflict
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,11,11,single,-0.7000000000025182,identity,4.460292465959417,0.1541806826794243,-2.75,2.75,111.01326037103524,221.67624294920768,251.64175040802553,89.87392502052171,674.2051787487901,332.6895033202429,341.51567542854724,0.18455543496940027,0.375,0.25,3.5,1.75,-3.25,0.25,1.0,2.75,256,False,False,False,fixed-domain_component,PASS,,PASS,228.68451048992904,15.751017057170499,2.1213203435596424,PASS,PASS,4.2100239635470595,0.9866666645086803,0.5590169943749469,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,12,12,single,-0.7000000000025182,identity,-3.4938262954205803,6.915580567676737,-1.75,-0.25,24.04243376301944,55.93516098230364,118.67068202164451,60.9830683961529,259.6313451631205,79.97759474532307,179.65375041779743,0.2689304558796519,1.5,0.25,4.5,2.5,-4.25,0.25,-2.5,0.0,256,True,False,False,fixed-domain_component,STOP,bootstrap centre distribution is multimodal,PASS,71.37218143318687,9.760404682757377,2.5,PASS,PASS,7.77532507077922,1.0348415352686562,2.263846284534354,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,13,13,single,-0.7000000000025182,identity,11.512497220184542,11.546811869492373,-0.625,1.75,99.50102040471806,143.26926588358978,184.75675306578023,74.75577493588153,502.28281428996956,242.77028628830783,259.51252800166174,0.19853119859368726,0.375,0.25,1.65625,2.40625,-1.5,0.15625,0.25,2.65625,256,False,False,False,fixed-domain_component,PASS,,PASS,140.12567005978514,13.626734392458483,2.6925824035672505,PASS,PASS,3.1130327549142045,1.4690522700995183,0.8003905296791064,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,14,14,single,-0.7000000000025182,identity,-1.1960276993608014,8.33401006990754,-0.75,-0.5,16.9933057066774,25.35255260726894,53.83146195527196,36.236008807169604,132.4133290763879,42.34585831394634,90.06747076244156,0.2953050621459611,0.5,1.0,2.75,4.15625,-1.5,1.25,-3.40625,0.75,256,False,False,False,fixed-domain_component,PASS,,PASS,30.3878222669547,6.493006226538168,2.692582403567252,REVIEW,PASS,10.609764503972482,1.000723949511089,1.9039432764659778,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,15,15,single,-0.7000000000025182,identity,2.6898826710654626,27.037357641441577,-11.5,-2.0,4.73920842186621,51.615176665285574,21.706727463401606,30.72994421156281,108.7910567621162,56.35438508715178,52.436671674964416,0.20295975285641515,0.75,0.75,4.5,7.25,-12.75,-8.25,-4.25,3.0,256,False,False,False,fixed-domain_component,REVIEW,bootstrap CI span above review threshold,REVIEW,32.96280975180173,3.408318698561169,3.640054944640259,STOP,REVIEW,10.930510001380444,5.3510771300678135,1.4577379737113234,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,16,16,single,-0.7000000000025182,identity,-20.62667480209462,39.66084728006169,-2.75,2.625,81.33153627314749,183.900003680945,222.85345234552278,67.15984494944976,555.244837249065,265.23153995409245,290.0132972949725,0.2198036022830966,0.5,0.375,3.75,6.75,-4.75,-1.0,1.5,8.25,256,False,False,False,fixed-domain_component,REVIEW,bootstrap CI span above review threshold,PASS,196.19842843242736,16.681300017929996,2.0,PASS,REVIEW,0.7349967375620873,1.5357865538694346,0.9762812094883279,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,17,17,single,-0.7000000000025182,identity,-3.4050624592825423,10.634322511539207,-5.5,3.75,63.43770038315274,180.0285592532564,235.4964559138637,51.02111167554989,529.9838272258228,243.46625963640912,286.5175675894136,0.22015513125447364,0.5,1.0,4.5,3.25,-7.5,-3.0,2.25,5.5,256,False,False,False,fixed-domain_component,PASS,,REVIEW,223.04739131426453,15.824949527582476,3.640054944640259,REVIEW,PASS,1.6837209896445748,7.491288996217422,1.677050983124843,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,18,18,single,-0.7000000000025182,identity,-14.700003534308012,-2.770574122345976,-5.0,-2.125,11.816607212776173,39.726298806265056,17.93174565342045,79.30840143816675,148.78305311062843,51.542906019041226,97.2401470915872,0.15497789090615802,0.75,0.875,4.5,3.25,-6.5,-2.0,-3.75,-0.5,256,False,False,False,fixed-domain_component,PASS,,REVIEW,28.688194104817576,3.9984523150555975,3.8078865529319543,REVIEW,PASS,6.4271937155093415,0.3621920378061685,1.875,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,19,19,single,-0.7000000000025182,identity,18.39779619279452,2.403414581720438,-5.5,-3.25,9.461353396050423,38.748167086717395,13.340685190260729,62.13509095022618,123.68529662325473,48.209520482767815,75.47577614048691,0.1962807474257495,0.25,1.0,3.75,3.5,-5.75,-2.0,-5.0,-1.5,256,False,False,False,fixed-domain_component,PASS,,REVIEW,27.893622923143916,4.538688060624383,3.605551275463989,REVIEW,PASS,11.752564082905746,1.6764949054409155,2.500000000000001,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,20,20,single,-0.7000000000025182,identity,27.393518121946876,-7.8314642796060925,-3.75,3.75,72.97660622261073,140.5423814337732,214.42148430959043,39.64946435093863,467.58993631691294,213.5189876563839,254.07094866052904,0.29276273993541585,0.5,1.0,2.0,2.75,-5.25,-3.25,2.75,5.5,256,False,False,False,fixed-domain_component,PASS,,REVIEW,222.40446079326443,15.661377558103748,4.6097722286464435,PASS,PASS,6.799168687431308,2.1085994026087023,1.1180339887498938,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,21,21,single,-0.7000000000025182,identity,-7.970348493033733,19.762676939989113,-2.75,4.75,116.26508991819318,237.23538671225475,320.4438136422589,74.58294060160938,748.5272308743162,353.5004766304479,395.02675424386825,0.17110624940423658,0.5,0.75,2.5,1.75,-3.25,-0.75,3.75,5.5,256,False,False,False,fixed-domain_component,PASS,,PASS,285.86084797700863,16.201281890332318,0.5,PASS,PASS,5.241007080988052,1.81913356930991,1.0606601717798232,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,22,22,single,-0.7000000000025182,identity,31.9038689496106,3.4625493395670635,-3.25,2.25,116.60288913734861,275.79210227707676,337.3706104062675,84.45351304814106,814.2191148688339,392.39499141442536,421.82412345440855,0.15010767470211125,0.5,0.75,3.0,2.0,-4.75,-1.75,1.5,3.5,256,False,False,False,fixed-domain_component,PASS,,PASS,295.2045409326671,16.58069466929263,3.0,PASS,PASS,1.0131288149640285,1.943865340320909,0.7905694150420963,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,23,23,single,-0.7000000000025182,identity,15.700943035274225,-1.4482765452213577,-20.0,2.25,40.487210625347615,179.0513604468552,289.8350589391546,77.24699085523206,586.6206208665894,219.5385710722028,367.08204979438665,0.1966500732996375,0.0,0.5,0.0,2.75,-20.0,-20.0,1.0,3.75,256,False,False,False,fixed-domain_component,PASS,,REVIEW,261.1679085044301,11.213940953519177,5.0,PASS,PASS,9.793931694272628,1.5316234477445494,0.75,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,24,24,single,-0.7000000000025182,identity,19.742884725084625,19.76027587692085,19.5,20.0,0.037682549725037776,8.708373808176876,12.635041342554684,28.245541904299216,49.626639604755816,8.746056357901914,40.8805832468539,0.3970676176557347,0.5,0.0,35.5,2.25,-15.5,20.0,17.75,20.0,256,False,False,False,domain_midpoint_fallback,STOP,bootstrap CI span above hard maximum; bootstrap CI span above review threshold; segmentation initializer unavailable,REVIEW,179.82682244752047,5.204546941254131,0.0,STOP,STOP,8.133972162716478,2.4896001204546874,1.82002747232013,,
