cv_variant,band,fold_a,fold_b,theta_pc1_deg,theta_pc123_deg
proc_gkf,64_inf,0,1,19.530510253894228,49.30810712303185
proc_gkf,64_inf,0,2,9.704687203090138,36.96738075756887
proc_gkf,64_inf,0,3,8.680243145839835,38.440744510914016
proc_gkf,64_inf,0,4,57.165649162797166,47.16393627820849
proc_gkf,64_inf,1,2,21.001373499836507,77.87979877724756
proc_gkf,64_inf,1,3,14.293798627139688,72.93176271700194
proc_gkf,64_inf,1,4,46.522406721764746,49.05855112767669
proc_gkf,64_inf,2,3,10.811713573835432,22.413824585280146
proc_gkf,64_inf,2,4,60.33029698458215,63.64603608630684
proc_gkf,64_inf,3,4,50.91041859602648,57.63859096966189
proc_gss,8_16,0,1,7.539352122178001,77.43636985302123
proc_gss,8_16,0,2,6.316816989426652,88.61941210796846
proc_gss,8_16,0,3,5.5011910426332085,77.91480874959083
proc_gss,8_16,0,4,3.705826691501053,50.519468048069854
proc_gss,8_16,1,2,3.739349680347857,15.799228208135947
proc_gss,8_16,1,3,8.709067926691484,29.179393987768858
proc_gss,8_16,1,4,8.481759755736585,53.89377457660504
proc_gss,8_16,2,3,7.007831917114636,16.58965582145841
proc_gss,8_16,2,4,7.097296501309581,40.393655087997146
proc_gss,8_16,3,4,4.234290072481804,31.636506791965594
proc_gss,16_32,0,1,16.81904562515896,49.07860375519864
proc_gss,16_32,0,2,9.084725245684595,12.997281287176301
proc_gss,16_32,0,3,2.8270097690789107,6.79821222132417
proc_gss,16_32,0,4,9.586142137892907,12.569070283012525
proc_gss,16_32,1,2,12.376300184456067,52.36217385017213
proc_gss,16_32,1,3,16.52929227521329,51.57130748655614
proc_gss,16_32,1,4,14.603807682977504,54.71894431326577
proc_gss,16_32,2,3,9.327478044826515,11.31757877541879
proc_gss,16_32,2,4,3.7187569486314884,10.381096063183321
proc_gss,16_32,3,4,9.9908209029987,10.527978515066437
proc_gss,32_64,0,1,7.118244307018951,59.52352528991491
proc_gss,32_64,0,2,3.59605966544768,46.991769038436665
proc_gss,32_64,0,3,3.9753844248291488,22.09816633058469
proc_gss,32_64,0,4,3.103403300838855,80.33298250304902
