target_id,family,cv_variant,model,dR2_median,dR2_q25,dR2_q75,n_folds,n_folds_pos,pair
DCT_64_inf_PC2,D,src_gkf,extratrees,0.17401097740516458,0.06261510447260599,0.26868511422629837,5,4,R-A
DCT_64_inf_PC2,D,src_gkf,ridge,0.009461217857189501,-0.0885049522233924,0.0341032482478796,5,3,R-A
DCT_64_inf_PC2,D,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC2,D,src_gss,extratrees,0.0919941080056137,0.0422263016851519,0.2019750069760616,5,5,R-A
DCT_64_inf_PC2,D,src_gss,ridge,-0.0549849959853743,-0.2759866485885631,0.0654644233924114,5,2,R-A
DCT_64_inf_PC3,D,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC3,D,proc_gkf,extratrees,0.005085787241816908,-0.010398599174394008,0.227767650122162,5,3,R-A
DCT_64_inf_PC3,D,proc_gkf,ridge,-0.0862222033949161,-0.3341231129232014,-0.024589442417862303,5,1,R-A
DCT_64_inf_PC3,D,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC3,D,proc_gss,extratrees,0.0740502614349409,-0.2899039756756301,0.2470805740769791,5,3,R-A
DCT_64_inf_PC3,D,proc_gss,ridge,-0.07826502532884881,-0.1664722550746346,0.0022272657681638997,5,2,R-A
DCT_64_inf_PC3,D,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC3,D,src_gkf,extratrees,0.06941689009818,-0.008375231905514396,0.0988683739749952,5,3,R-A
DCT_64_inf_PC3,D,src_gkf,ridge,-0.026810039475263406,-0.079134693561878,-0.010165521293082399,5,1,R-A
DCT_64_inf_PC3,D,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_64_inf_PC3,D,src_gss,extratrees,-0.04144350426230742,-0.05546280113254019,0.07187578848192083,5,2,R-A
DCT_64_inf_PC3,D,src_gss,ridge,-0.046207556316171,-0.0682684889947015,-0.029286366889031593,5,0,R-A
DCT_8_16_PC1,D,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC1,D,proc_gkf,extratrees,-0.3677888212758547,-0.3820599591624799,-0.10828502175431721,5,0,R-A
DCT_8_16_PC1,D,proc_gkf,ridge,0.006244830661416897,0.0002561648488746005,0.0215012677449151,5,4,R-A
DCT_8_16_PC1,D,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC1,D,proc_gss,extratrees,-0.3926208861993743,-0.5335642439773604,0.1295056920520905,5,2,R-A
DCT_8_16_PC1,D,proc_gss,ridge,-0.014099028788522802,-0.026632601088426605,-0.005329010934498099,5,1,R-A
DCT_8_16_PC1,D,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC1,D,src_gkf,extratrees,-0.20700673942557568,-0.3622877230370345,-0.07750538732163581,5,1,R-A
DCT_8_16_PC1,D,src_gkf,ridge,0.0026335298996806996,-0.0235890395476837,0.1218887878354104,5,3,R-A
DCT_8_16_PC1,D,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC1,D,src_gss,extratrees,-0.2037583735666339,-0.366080513978223,-0.007432138913473496,5,1,R-A
DCT_8_16_PC1,D,src_gss,ridge,0.015849141960837795,0.0060822661556281,0.0209646064366842,5,5,R-A
DCT_8_16_PC2,D,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC2,D,proc_gkf,extratrees,1.3043543394801083,-0.32527108135217764,3.317216614592529,5,3,R-A
DCT_8_16_PC2,D,proc_gkf,ridge,0.1162295072265478,0.06841294197866479,0.1610473644716264,5,4,R-A
DCT_8_16_PC2,D,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC2,D,proc_gss,extratrees,-0.18933258968896594,-0.23857243018987484,-0.11489759182617393,5,1,R-A
