target_id,family,input_set,model,R2_median,R2_q10,R2_q25,R2_q75,R2_q90,n_folds
DCT_64_inf_PC2,D,C,dummy,-0.0149311730555945,-0.06795532342256626,-0.0482159459946514,-0.003885604460637,-0.0017927628144948596,5
DCT_64_inf_PC2,D,C,extratrees,0.1884176869427327,-0.3683322996159172,-0.1368344738410125,0.2130485584738611,0.2391978673060483,5
DCT_64_inf_PC2,D,C,ridge,0.0324278704819969,-0.20089800139430453,-0.039297204729138,0.0662924956066276,0.07357584148503142,5
DCT_64_inf_PC2,D,R,dummy,-0.0149311730555945,-0.06795532342256626,-0.0482159459946514,-0.003885604460637,-0.0017927628144948596,5
DCT_64_inf_PC2,D,R,extratrees,0.156309365992063,-0.19644405839210727,-0.0992410050112657,0.2992654022625267,0.4219126641262313,5
DCT_64_inf_PC2,D,R,ridge,-0.021101328179774,-0.11449768153655736,-0.0956407895028939,-0.0097209642984614,0.023800915605113264,5
DCT_64_inf_PC3,D,A,dummy,-0.0036969656331558,-0.08604374628153662,-0.0475905693384077,-0.002108279995489,-0.00131356797067576,5
DCT_64_inf_PC3,D,A,extratrees,-0.1848757920021864,-0.2854062463846824,-0.2004277577311568,-0.1231388118417078,-0.07714334990866842,5
DCT_64_inf_PC3,D,A,ridge,0.0080553171653069,-0.03445342885932022,-0.01169402862331,0.0347294204617619,0.04209588395097722,5
DCT_64_inf_PC3,D,C,dummy,-0.0036969656331558,-0.08604374628153662,-0.0475905693384077,-0.002108279995489,-0.00131356797067576,5
DCT_64_inf_PC3,D,C,extratrees,-0.096705149128508,-0.323100137857032,-0.1806844092848492,-0.0400535808256203,-0.02395271598778248,5
DCT_64_inf_PC3,D,C,ridge,0.0083974625518228,-0.10241167514995508,-0.0147449210495138,0.012453703626803,0.02331080622928256,5
DCT_64_inf_PC3,D,R,dummy,-0.0036969656331558,-0.08604374628153662,-0.0475905693384077,-0.002108279995489,-0.00131356797067576,5
DCT_64_inf_PC3,D,R,extratrees,-0.0860074180271912,-0.32366416530489395,-0.1315140437472222,-0.033361971445448,0.00041752030874350407,5
DCT_64_inf_PC3,D,R,ridge,-0.0218595499163924,-0.12496952113832797,-0.0321278339514239,0.0079193809864985,0.00951717346416506,5
DCT_8_16_PC1,D,A,dummy,-0.0119508341669687,-0.09409904755790938,-0.0532994192865052,-0.0078691948888609,-0.0056251842553590396,5
DCT_8_16_PC1,D,A,extratrees,-0.136470881208691,-0.5799678593393882,-0.2812645434144587,-0.0857894695957197,0.0074228880100561945,5
DCT_8_16_PC1,D,A,ridge,-0.0042278356253799,-0.29888073942730825,-0.2982426876877599,0.0149488351884978,0.01985419219851672,5
DCT_8_16_PC1,D,C,dummy,-0.0119508341669687,-0.09409904755790938,-0.0532994192865052,-0.0078691948888609,-0.0056251842553590396,5
DCT_8_16_PC1,D,C,extratrees,-0.2380006160621672,-0.8113630103622222,-0.3770563229499744,-0.0950975398482834,-0.08867194713418812,5
DCT_8_16_PC1,D,C,ridge,-0.0040502259477934,-0.3255319692091287,-0.3144501725077664,0.0048557622872269,0.013428436290807701,5
DCT_8_16_PC1,D,R,dummy,-0.0119508341669687,-0.09409904755790938,-0.0532994192865052,-0.0078691948888609,-0.0056251842553590396,5
DCT_8_16_PC1,D,R,extratrees,-0.3434776206342667,-0.8482496384602605,-0.4085374066610878,-0.2346381192939464,-0.19183216186799187,5
DCT_8_16_PC1,D,R,ridge,-0.0086402043591859,-0.16434796292797735,-0.1463390575414191,-0.0015943057256992,-0.00149109931332736,5
DCT_8_16_PC2,D,A,dummy,-0.1442040713709087,-0.1738692440624779,-0.1515041732476121,-0.0316518379058585,-0.013648166210429177,5
DCT_8_16_PC2,D,A,extratrees,-0.7813187330869826,-2.601783687158613,-0.886114128369285,-0.6309414123959749,-0.5964859501438203,5
DCT_8_16_PC2,D,A,ridge,-0.3828559001719918,-0.7716990318283918,-0.4278881935612513,-0.0981619609703949,-0.06424483423444571,5
DCT_8_16_PC2,D,C,dummy,-0.1442040713709087,-0.1738692440624779,-0.1515041732476121,-0.0316518379058585,-0.013648166210429177,5
DCT_8_16_PC2,D,C,extratrees,-1.1559924779774091,-1.308542616685251,-1.1956051861994497,-0.7772210464676317,-0.5636810295418309,5
DCT_8_16_PC2,D,C,ridge,-0.4059680389201134,-0.7516648389400321,-0.4989646208026568,-0.1021143909827959,-0.0834935347390975,5
DCT_8_16_PC2,D,R,dummy,-0.1442040713709087,-0.1738692440624779,-0.1515041732476121,-0.0316518379058585,-0.013648166210429177,5
DCT_8_16_PC2,D,R,extratrees,-0.7760250879676389,-2.7663295543331414,-2.459646864011664,-0.7027761608802301,-0.41267881279212704,5
DCT_8_16_PC2,D,R,ridge,-0.2950975195851102,-0.41139431050991226,-0.3936994412585666,-0.1363182160423781,-0.04864654036425696,5
DCT_8_16_PC3,D,A,dummy,-0.017230095171139,-0.15420553393593356,-0.0600384926031154,-0.0160068278418641,-0.006609647927286559,5
DCT_8_16_PC3,D,A,extratrees,-0.5998439170526204,-1.6836983831725871,-1.5911721346692551,-0.5684096199713204,-0.44803261336144307,5
DCT_8_16_PC3,D,A,ridge,-0.1281652482231405,-0.28427431651930707,-0.2288979023076722,0.0413591282835303,0.04747914655993146,5
DCT_8_16_PC3,D,C,dummy,-0.017230095171139,-0.15420553393593356,-0.0600384926031154,-0.0160068278418641,-0.006609647927286559,5
DCT_8_16_PC3,D,C,extratrees,-0.5554934792778088,-1.547350201823426,-1.3445308589164968,-0.3491477940405332,-0.29896963171343893,5
DCT_8_16_PC3,D,C,ridge,-0.2994548761216344,-0.32356980809717234,-0.3150446211913664,0.0447605920504883,0.04917512801019602,5
DCT_8_16_PC3,D,R,dummy,-0.017230095171139,-0.15420553393593356,-0.0600384926031154,-0.0160068278418641,-0.006609647927286559,5
DCT_8_16_PC3,D,R,extratrees,-0.3382221365305782,-1.5508138183962887,-1.4550772770056368,-0.2793084066420248,-0.1733568666783643,5
DCT_8_16_PC3,D,R,ridge,-0.1776248699702418,-0.37953594792572515,-0.2685253403452148,-0.029321752922639,-0.002978729611927456,5
E_DCT_16_32_frac,C,A,dummy,-0.0018569921133479,-0.020345309120463,-0.0171371482264455,-0.0001355756044578,-5.941727393052234e-05,5
E_DCT_16_32_frac,C,A,extratrees,0.345989438215008,0.1096640769863397,0.2201355831958881,0.38440588406911,0.44203699867078694,5
E_DCT_16_32_frac,C,A,ridge,0.1655934726868007,-0.020273308687254826,0.1420649812085646,0.1715796070414252,0.18969283817939878,5
E_DCT_16_32_frac,C,C,dummy,-0.0018569921133479,-0.020345309120463,-0.0171371482264455,-0.0001355756044578,-5.941727393052234e-05,5
E_DCT_16_32_frac,C,C,extratrees,0.3325191001475756,0.10784936590348199,0.204368955235063,0.3486488208370074,0.424430928821209,5
E_DCT_16_32_frac,C,C,ridge,0.2230646165285782,0.1100152031234803,0.2047169583718084,0.2552864209895362,0.30074896013021973,5
E_DCT_16_32_frac,C,R,dummy,-0.0018569921133479,-0.020345309120463,-0.0171371482264455,-0.0001355756044578,-5.941727393052234e-05,5
E_DCT_16_32_frac,C,R,extratrees,0.2150619242838766,-0.08250727849048493,0.0468223926028602,0.280595431621767,0.36470079912308573,5
E_DCT_16_32_frac,C,R,ridge,0.1516916723003433,0.04610970505691032,0.1095771024499693,0.2518225908880364,0.3142519087985092,5
E_DCT_32_64_frac,C,A,dummy,-0.0036700291633111,-0.03196627601651286,-0.0260304979665348,-0.0036278584517093,-0.00352592145919958,5
E_DCT_32_64_frac,C,A,extratrees,0.1295165550320431,-0.06209072627324646,-0.0517237533603123,0.1676811859532829,0.18798542806713775,5
E_DCT_32_64_frac,C,A,ridge,0.1243310099717137,0.03004363801641155,0.1196675852967211,0.3575505529305373,0.4073284274542923,5
E_DCT_32_64_frac,C,C,dummy,-0.0036700291633111,-0.03196627601651286,-0.0260304979665348,-0.0036278584517093,-0.00352592145919958,5
E_DCT_32_64_frac,C,C,extratrees,0.1637642934586625,0.028863954051397234,0.1147176892789642,0.1732966730461032,0.17420607086186263,5
E_DCT_32_64_frac,C,C,ridge,0.1705409833493816,0.15327704714159704,0.1584427633335184,0.3890919130083479,0.43029662112179096,5
E_DCT_32_64_frac,C,R,dummy,-0.0036700291633111,-0.03196627601651286,-0.0260304979665348,-0.0036278584517093,-0.00352592145919958,5
E_DCT_32_64_frac,C,R,extratrees,0.0615971336183088,-0.03399218656706538,0.0392133916433844,0.119816529971617,0.1341625776492256,5
E_DCT_32_64_frac,C,R,ridge,0.1988580353758942,0.1250731700893505,0.1648700429272406,0.3398746880652558,0.35391364123736,5
E_DCT_64_inf_frac,C,A,dummy,-0.0038683137844206,-0.07349336337905818,-0.0495586789558639,-0.0036987601963194,-0.0033117215814623398,5
E_DCT_64_inf_frac,C,A,extratrees,0.264536155766085,0.24167395092486235,0.2436135388246799,0.3364123761667097,0.40423861174629494,5
E_DCT_64_inf_frac,C,A,ridge,0.2845532396121483,0.2203440965327378,0.2413744877035146,0.3348097952526196,0.3364093226846764,5
E_DCT_64_inf_frac,C,C,dummy,-0.0038683137844206,-0.07349336337905818,-0.0495586789558639,-0.0036987601963194,-0.0033117215814623398,5
