target_id,family,cv_variant,input_set,dR2_median,dR2_q25,dR2_q75,n_folds,n_folds_pos,pair
DCT_32_64_PC2,D,src_gss,C,-0.2937020034298863,-0.3283620773687426,-0.22349017520022407,5,0,extratrees-ridge
DCT_32_64_PC2,D,src_gss,R,-0.3408523743155548,-0.3870020176052837,-0.11741644133069791,5,1,extratrees-ridge
DCT_32_64_PC3,D,proc_gkf,A,-0.4545932385733198,-0.607649728071442,-0.23887576941222521,5,1,extratrees-ridge
DCT_32_64_PC3,D,proc_gkf,C,-0.5208581023290115,-0.597933391428533,-0.5144105487223778,5,1,extratrees-ridge
DCT_32_64_PC3,D,proc_gkf,R,-0.7339044561644044,-0.7987297768304815,-0.2054263454781508,5,0,extratrees-ridge
DCT_32_64_PC3,D,proc_gss,A,-0.2932049864354304,-1.074521348034356,-0.1618271379191411,5,1,extratrees-ridge
DCT_32_64_PC3,D,proc_gss,C,-0.3273904004543813,-0.7308881252951711,-0.2276213774519156,5,0,extratrees-ridge
DCT_32_64_PC3,D,proc_gss,R,-0.40546683516450926,-0.46369502404668067,-0.36018666372729863,5,0,extratrees-ridge
DCT_32_64_PC3,D,src_gkf,A,-0.2775460373707886,-0.3226825771203284,-0.040732400412030606,5,0,extratrees-ridge
DCT_32_64_PC3,D,src_gkf,C,-0.23303562827031016,-0.5993275414903739,-0.2181341952590309,5,0,extratrees-ridge
DCT_32_64_PC3,D,src_gkf,R,-0.5432359169955552,-1.293881119086234,-0.0935214056972454,5,0,extratrees-ridge
DCT_32_64_PC3,D,src_gss,A,-0.8032916754468655,-0.854643010478991,-0.49550777237832827,5,0,extratrees-ridge
DCT_32_64_PC3,D,src_gss,C,-0.7596453326502319,-1.0843631322245395,-0.6834826272477599,5,1,extratrees-ridge
DCT_32_64_PC3,D,src_gss,R,-0.4962691391731525,-0.5356637567751454,-0.1382033583000633,5,0,extratrees-ridge
DCT_64_inf_PC1,D,proc_gkf,A,-0.08794623163466958,-0.26568777292855,0.001709938195652294,5,2,extratrees-ridge
DCT_64_inf_PC1,D,proc_gkf,C,-0.0878783250594623,-0.3524956500557404,0.00830999623963552,5,2,extratrees-ridge
DCT_64_inf_PC1,D,proc_gkf,R,-0.5123116007583775,-0.5891177831235793,-0.3362587714642682,5,0,extratrees-ridge
DCT_64_inf_PC1,D,proc_gss,A,-1.7478344190897566,-3.075680394438262,-0.01687396135676611,5,1,extratrees-ridge
