target_id,family,input_set,model,cv_variant,R2_median,R2_q10,R2_q25,R2_q75,R2_q90,MAE_median,RMSE_median,n_folds
DCT_32_64_PC1,D,A,dummy,proc_gkf,-0.011579375255577506,-0.1446541881885604,-0.01202909136521857,-0.0035636877170719394,-0.001514640438379011,22.517961646830152,41.97015764176762,5
DCT_32_64_PC1,D,A,dummy,proc_gss,-0.030963461902704603,-0.6286312117310562,-0.3401763330433354,-0.02144171157809227,-0.015129754117427473,19.834683808134777,38.74183824667387,5
DCT_32_64_PC1,D,A,dummy,src_gkf,-0.028092338229392944,-0.18187856045472892,-0.05753125325112429,-0.011671006492861569,-0.005253919645526838,21.879709244737974,47.13685850434038,5
DCT_32_64_PC1,D,A,dummy,src_gss,-0.020366865399257028,-0.03695686175242172,-0.024503860527921972,-0.0010628568910906466,-0.0007538137489004003,27.763808275633597,59.644626729846834,5
DCT_32_64_PC1,D,A,extratrees,proc_gkf,-0.19347124187147768,-3.9231547214495404,-0.20032280182666584,0.08884251693903333,0.1472080078238871,27.680087124078284,55.65087665053813,5
DCT_32_64_PC1,D,A,extratrees,proc_gss,-0.2258430827947211,-3.094921503867485,-0.5965442236063176,-0.18846651734106734,-0.040556550416202916,19.97819354521359,40.22588708301581,5
DCT_32_64_PC1,D,A,extratrees,src_gkf,-0.019242783312585887,-2.893199044086749,-0.45936510472583514,0.19788505007045476,0.26742625147860966,22.031524175765817,49.30682908051788,5
DCT_32_64_PC1,D,A,extratrees,src_gss,-0.1878964521486206,-0.5651743801102665,-0.5103485378534676,-0.05560407468037143,0.04310361882336826,30.13836263484155,63.72769732875417,5
DCT_32_64_PC1,D,A,ridge,proc_gkf,0.03291340253758335,-0.7182742971035712,-0.01623001723480577,0.1143273593274311,0.1162011703458095,26.61246008364971,51.17044883854101,5
DCT_32_64_PC1,D,A,ridge,proc_gss,-0.06875081741319256,-1.4339071263648802,-0.874453199473725,0.02473755208129147,0.07644488565785174,25.96808755108356,41.85937656837571,5
DCT_32_64_PC1,D,A,ridge,src_gkf,0.07264441858286386,-0.7099928528033619,-0.006189925946540109,0.118175590253362,0.12790245589035112,25.08008566105851,44.56357653023757,5
DCT_32_64_PC1,D,A,ridge,src_gss,0.07525799090854202,-0.29965764720963817,-0.07990817700996478,0.11829075618110685,0.1224192072744406,29.92128576438414,55.82804149543229,5
DCT_32_64_PC1,D,C,dummy,proc_gkf,-0.011579375255577506,-0.1446541881885604,-0.01202909136521857,-0.0035636877170719394,-0.001514640438379011,22.517961646830152,41.97015764176762,5
DCT_32_64_PC1,D,C,dummy,proc_gss,-0.030963461902704603,-0.6286312117310562,-0.3401763330433354,-0.02144171157809227,-0.015129754117427473,19.834683808134777,38.74183824667387,5
DCT_32_64_PC1,D,C,dummy,src_gkf,-0.028092338229392944,-0.18187856045472892,-0.05753125325112429,-0.011671006492861569,-0.005253919645526838,21.879709244737974,47.13685850434038,5
DCT_32_64_PC1,D,C,dummy,src_gss,-0.020366865399257028,-0.03695686175242172,-0.024503860527921972,-0.0010628568910906466,-0.0007538137489004003,27.763808275633597,59.644626729846834,5
DCT_32_64_PC1,D,C,extratrees,proc_gkf,-0.02125294529597732,-3.536999485675149,-0.13034673504664696,0.07298439409880098,0.09458388312041786,25.917677092832854,55.03236156414393,5
DCT_32_64_PC1,D,C,extratrees,proc_gss,-0.09698826888025902,-2.53712696302404,-0.48565195168755526,-0.03451439870086004,0.0563608315924678,21.297785191598262,42.40875447156517,5
DCT_32_64_PC1,D,C,extratrees,src_gkf,-0.03527852108135776,-2.7658594656661517,-0.31162452958534703,0.21930306176662084,0.35236409687652953,23.10989704702793,46.74442912810689,5
DCT_32_64_PC1,D,C,extratrees,src_gss,0.021376345341808656,-0.24411807967706167,-0.13901398614861638,0.10448112508049823,0.109519115843518,28.180507508773417,55.87667092200558,5
DCT_32_64_PC1,D,C,ridge,proc_gkf,-0.03391719239719482,-0.7043181937438137,-0.11245621575722531,0.13505925931342233,0.1367211707389065,27.317088756836938,50.13708768608835,5
DCT_32_64_PC1,D,C,ridge,proc_gss,-0.03949544281874595,-1.241973913967485,-1.0476080128035479,0.0337570432015496,0.06041944015272514,23.332125161555744,41.28248395740254,5
DCT_32_64_PC1,D,C,ridge,src_gkf,0.015872482046821013,-0.581671496046134,-0.0006919774148701485,0.11038714522752835,0.11270357619890918,22.2926287924925,45.17713509821925,5
DCT_32_64_PC1,D,C,ridge,src_gss,0.035807144411685976,-0.3899652787872333,-0.3107472758391936,0.08393701703917922,0.12031638262512306,30.02946988375226,55.205627546752055,5
DCT_32_64_PC1,D,R,dummy,proc_gkf,-0.011579375255577506,-0.1446541881885604,-0.01202909136521857,-0.0035636877170719394,-0.001514640438379011,22.517961646830152,41.97015764176762,5
DCT_32_64_PC1,D,R,dummy,proc_gss,-0.030963461902704603,-0.6286312117310562,-0.3401763330433354,-0.02144171157809227,-0.015129754117427473,19.834683808134777,38.74183824667387,5
DCT_32_64_PC1,D,R,dummy,src_gkf,-0.028092338229392944,-0.18187856045472892,-0.05753125325112429,-0.011671006492861569,-0.005253919645526838,21.879709244737974,47.13685850434038,5
DCT_32_64_PC1,D,R,dummy,src_gss,-0.020366865399257028,-0.03695686175242172,-0.024503860527921972,-0.0010628568910906466,-0.0007538137489004003,27.763808275633597,59.644626729846834,5
DCT_32_64_PC1,D,R,extratrees,proc_gkf,-0.42162688602243037,-2.410082529976284,-1.0793039674571214,-0.10828102738241974,0.026840437668559383,31.76938684143615,60.15934417930547,5
DCT_32_64_PC1,D,R,extratrees,proc_gss,-0.5310975747939521,-1.3559766158591637,-0.9375274842358994,-0.3774322828726533,-0.3089772877173402,23.262746355473634,47.52144682769279,5
DCT_32_64_PC1,D,R,extratrees,src_gkf,-0.09228811643297785,-1.6466482882050892,-1.2549355597193985,-0.014790568861396958,0.18488449213087418,29.020030067091433,61.29035867878564,5
DCT_32_64_PC1,D,R,extratrees,src_gss,-0.3017922753693947,-0.4125983083620871,-0.3419329861347029,-0.1431682759786177,-0.12170817614870479,32.46576678847229,63.81841518323103,5
DCT_32_64_PC1,D,R,ridge,proc_gkf,0.047939359894023315,-1.0714457936535866,0.017474532759257144,0.058411456250095806,0.06587108693554718,25.179935597248555,57.78926820971016,5
DCT_32_64_PC1,D,R,ridge,proc_gss,-0.07016118835066298,-1.1601941199124655,-1.0966089971996897,-0.015119363440691203,0.05736621103965568,22.26504407823598,41.88698720642608,5
DCT_32_64_PC1,D,R,ridge,src_gkf,-0.009053049028528326,-0.8035035139999723,-0.020928987020119028,0.015305196251270803,0.05445163103901614,21.728995848063903,45.92851424688702,5
DCT_32_64_PC1,D,R,ridge,src_gss,0.03506955641265408,-0.2275926849462518,-0.04555721640241295,0.050420210810757315,0.062156366934141484,28.775058141399853,57.56214474382422,5
DCT_32_64_PC2,D,A,dummy,proc_gkf,-0.0608569921838904,-0.2844438828407181,-0.26214989143842393,-0.0334168674199149,-0.019628010895813515,21.805522008529117,53.85464669883421,5
DCT_32_64_PC2,D,A,dummy,proc_gss,-0.2603114853108075,-0.46323290922531635,-0.26637491607808084,-0.08825377197451578,-0.037540774015658536,16.479722602478336,31.394311057218864,5
DCT_32_64_PC2,D,A,dummy,src_gkf,-0.14957763405130153,-0.25927403541063815,-0.2319204473019929,-0.0048207456436335505,-0.003971065630065463,19.002044495285634,27.76050759705333,5
