session_id,measurement_id,sample_id,artifact,pixel_count,row_min,row_max,col_min,col_max,span_x_um,span_y_um,aspect_ratio,bbox_fill,max_correction_um,mean_correction_um
zro2_120_formal,70,70,5,13,127,131,32,37,3.0,2.5,1.2,0.5,7.9163861910148725,4.213888077037445
zro2_120_formal,83,83,1,50,10,18,97,105,4.5,4.5,1.0,0.6172839506172839,2.368648507250171,1.6658864303714214
zro2_120_formal,83,83,2,69,14,30,89,98,5.0,8.5,1.7,0.4117647058823529,7.871083887797482,4.727060726665061
zro2_120_formal,83,83,3,4,15,17,26,29,2.0,1.5,1.3333333333333333,0.3333333333333333,4.067185045114371,3.0212243852077343
zro2_120_formal,83,83,4,156,15,30,41,64,12.0,8.0,1.5,0.4114583333333333,5.8728256368292335,3.682184536527401
zro2_120_formal,83,83,5,111,15,37,63,82,10.0,11.5,1.15,0.27391304347826084,11.067747819454222,6.378486908894274
zro2_120_formal,83,83,6,37,25,31,104,113,5.0,3.5,1.4285714285714286,0.5285714285714286,2.163615659543982,1.2858943602450217
zro2_120_formal,83,83,7,9,28,33,123,126,2.0,3.0,1.5,0.4166666666666667,7.4485798772384015,4.455862765957566
zro2_120_formal,83,83,8,7,39,42,47,52,3.0,2.0,1.5,0.2916666666666667,7.320537724020326,5.610631358570964
zro2_120_formal,83,83,9,72,40,56,93,113,10.5,8.5,1.2352941176470589,0.21008403361344538,14.302014297433164,6.8671752634379155
zro2_120_formal,83,83,10,83,45,57,22,42,10.5,6.5,1.6153846153846154,0.32234432234432236,6.452530469583479,3.373611456768092
zro2_120_formal,83,83,11,29,46,51,65,73,4.5,3.0,1.5,0.5370370370370371,2.865935395972489,1.620898062422325
zro2_120_formal,83,83,12,20,50,55,10,14,2.5,3.0,1.2,0.6666666666666666,4.3785603049467525,2.929830894137196
zro2_120_formal,83,83,13,12,55,58,65,69,2.5,2.0,1.25,0.8,11.275340043788944,6.192576562347797
zro2_120_formal,83,83,14,22,57,60,47,53,3.5,2.0,1.75,0.7857142857142857,7.483196409546245,5.382029957238362
zro2_120_formal,83,83,15,11,57,60,76,82,3.5,2.0,1.75,0.6785714285714286,9.794302066945498,5.290496958907069
zro2_120_formal,84,84,1,11,134,137,67,72,3.0,2.0,1.5,0.4583333333333333,3.289860589014282,2.521462243076059
zro2_120_formal,84,84,2,24,135,140,45,55,5.5,3.0,1.8333333333333333,0.45454545454545453,8.711650505816898,5.94027016555184
zro2_120_formal,84,84,3,13,147,149,24,31,4.0,1.5,2.6666666666666665,0.7083333333333334,9.405238012619762,4.8037700007246045
zro2_120_formal,104,104,1,30,119,126,103,107,2.5,4.0,1.6,0.75,1.3328734784416127,1.104779274436542
zro2_120_formal,110,110,1,36,134,144,128,134,3.5,5.5,1.5714285714285714,0.5194805194805194,4.901839519946186,2.7782168821968245
zro2_120_formal,114,114,1,28,14,19,110,116,3.5,3.0,1.1666666666666667,0.6666666666666666,2.1408261740268486,1.3743306180128065
zro2_120_formal,114,114,2,45,93,105,20,29,5.0,6.5,1.3,0.34615384615384615,4.505893682674227,3.196135130736919
zro2_120_formal,114,114,3,4,109,111,19,20,1.0,1.5,1.5,0.6666666666666666,2.899768664200657,2.2985017367615104
zro2_120_formal,116,116,1,39,131,138,44,50,3.5,4.0,1.1428571428571428,0.6964285714285714,2.420390185947504,1.5361944169709103
zro2_120_formal,119,119,1,14,25,31,28,32,2.5,3.5,1.4,0.5714285714285714,5.089164551118785,3.002768140726193
zro2_60_pass,2,3,1,25,92,97,102,107,3.0,3.0,1.0,0.6944444444444444,5.09940014231907,2.579943270754721
zro2_60_pass,2,4,1,4,84,86,121,122,1.0,1.5,1.5,0.6666666666666666,1.5082895162794188,1.1511440686371301
zro2_60_pass,2,4,2,20,98,105,113,116,2.0,4.0,2.0,0.625,1.434410771645318,0.7533911705169818
zro2_60_pass,2,4,3,30,113,120,131,137,3.5,4.0,1.1428571428571428,0.5535714285714286,1.6661051143590697,1.0180124213948567
zro2_60_pass,3,5,1,14,13,18,64,67,2.0,3.0,1.5,0.5833333333333334,2.201986694913856,1.5658051825699992
zro2_60_pass,3,6,1,6,24,26,10,11,1.0,1.5,1.5,1.0,1.6412304199422145,1.1132185855479932
zro2_60_pass,4,7,1,23,21,27,135,140,3.0,3.5,1.1666666666666667,0.5476190476190477,1.7111586621340606,1.1636789508939338
zro2_60_pass,4,7,2,17,32,36,131,135,2.5,2.5,1.0,0.68,1.711040807554987,1.152434136188259
zro2_60_pass,4,8,1,4,40,41,127,129,1.5,1.0,1.5,0.6666666666666666,1.9409714284915793,1.7066506942393698
zro2_60_pass,4,8,2,44,97,106,128,134,3.5,5.0,1.4285714285714286,0.6285714285714286,3.290882530118502,1.5557586071989276
zro2_60_pass,5,10,1,78,11,20,37,50,7.0,5.0,1.4,0.5571428571428572,7.9343814887862765,5.011271671814324
zro2_60_pass,5,10,2,40,80,86,88,94,3.5,3.5,1.0,0.8163265306122449,5.5088573372008725,3.939326218234206
zro2_60_pass,6,12,1,33,82,88,73,78,3.0,3.5,1.1666666666666667,0.7857142857142857,1.9504229061116618,1.2648662476603147
zro2_60_pass,6,12,2,43,89,97,86,92,3.5,4.5,1.2857142857142858,0.6825396825396826,1.6115625898795685,1.1709004900610354
