session_id,measurement_id,sample_id,profile_axis,position_um,height_median_um,valid_count
zro2_120_formal,1,1,u,28.25,-13.288910521064444,96
zro2_120_formal,1,1,u,28.75,-13.238624364445549,96
zro2_120_formal,1,1,u,29.25,-13.270818586676777,96
zro2_120_formal,1,1,u,29.75,-13.28414331550385,96
zro2_120_formal,1,1,u,30.25,-13.2759823856887,96
zro2_120_formal,1,1,u,30.75,-13.28504556938858,96
zro2_120_formal,1,1,u,31.25,-13.292303927348323,96
zro2_120_formal,1,1,u,31.75,-13.29161596437389,96
zro2_120_formal,1,1,u,32.25,-13.296444758535795,96
zro2_120_formal,1,1,u,32.75,-13.281077669207747,96
zro2_120_formal,1,1,u,33.25,-13.252132886606212,96
zro2_120_formal,1,1,u,33.75,-13.221893579999696,96
zro2_120_formal,1,1,u,34.25,-13.213340308300854,96
zro2_120_formal,1,1,u,34.75,-13.217339291220306,96
zro2_120_formal,1,1,u,35.25,-13.209551982573483,96
zro2_120_formal,1,1,u,35.75,-13.204463493392112,96
zro2_120_formal,1,1,u,36.25,-13.239112340960853,96
zro2_120_formal,1,1,u,36.75,-13.26828367615247,96
zro2_120_formal,1,1,u,37.25,-13.27328854757604,96
zro2_120_formal,1,1,u,37.75,-13.282371626628006,96
zro2_120_formal,1,1,u,38.25,-13.27556129410613,96
zro2_120_formal,1,1,u,38.75,-13.247624505208474,96
zro2_120_formal,1,1,u,39.25,-13.222353270766373,96
zro2_120_formal,1,1,u,39.75,-13.213433980339882,96
zro2_120_formal,1,1,v,-39.75,-14.404855608674449,96
zro2_120_formal,1,1,v,-39.25,-14.358412120717539,96
zro2_120_formal,1,1,v,-38.75,-14.31950429060155,96
zro2_120_formal,1,1,v,-38.25,-14.275986410292553,96
zro2_120_formal,1,1,v,-37.75,-14.236329560872758,96
zro2_120_formal,1,1,v,-37.25,-14.208441923727097,96
zro2_120_formal,1,1,v,-36.75,-14.17221783752384,96
zro2_120_formal,1,1,v,-36.25,-14.15480906289502,96
zro2_120_formal,1,1,v,-35.75,-14.118236029753767,96
zro2_120_formal,1,1,v,-35.25,-14.074796710051924,96
zro2_120_formal,1,1,v,-34.75,-14.04261898635215,96
zro2_120_formal,1,1,v,-34.25,-14.030828515490425,96
zro2_120_formal,1,1,v,-33.75,-14.003262994276351,96
zro2_120_formal,1,1,v,-33.25,-13.966229300302803,96
zro2_120_formal,1,1,v,-32.75,-13.902113955754425,96
zro2_120_formal,1,1,v,-32.25,-13.837499877404744,96
zro2_120_formal,1,1,v,-31.75,-13.812611204543682,96
zro2_120_formal,1,1,v,-31.25,-13.801031155143768,96
zro2_120_formal,1,1,v,-30.75,-13.781662331095651,96
zro2_120_formal,1,1,v,-30.25,-13.751096168378702,96
zro2_120_formal,1,1,v,-29.75,-13.73978432204854,96
zro2_120_formal,1,1,v,-29.25,-13.743960506666125,96
zro2_120_formal,1,1,v,-28.75,-13.722703118233852,96
zro2_120_formal,1,1,v,-28.25,-13.70238563450643,96
zro2_120_formal,1,1,v,-27.75,-13.683748809544442,96
zro2_120_formal,1,1,v,-27.25,-13.664338623436047,96
zro2_120_formal,1,1,v,-26.75,-13.647858542151136,96
zro2_120_formal,1,1,v,-26.25,-13.632694435832933,96
zro2_120_formal,1,1,v,-25.75,-13.608837795473296,96
zro2_120_formal,1,1,v,-25.25,-13.591257054993555,96
zro2_120_formal,1,1,v,-24.75,-13.5589810376026,96
zro2_120_formal,1,1,v,-24.25,-13.54096105214263,96
zro2_120_formal,1,1,v,-23.75,-13.515951334217771,96
zro2_120_formal,1,1,v,-23.25,-13.48733135153194,96
zro2_120_formal,1,1,v,-22.75,-13.45386669189464,96
zro2_120_formal,1,1,v,-22.25,-13.439309735483477,96
zro2_120_formal,1,1,v,-21.75,-13.437588216247242,96
zro2_120_formal,1,1,v,-21.25,-13.42257704406514,96
zro2_120_formal,1,1,v,-20.75,-13.434001752091307,96
zro2_120_formal,1,1,v,-20.25,-13.458864424835967,96
zro2_120_formal,1,1,v,-19.75,-13.458502703790995,96
zro2_120_formal,1,1,v,-19.25,-13.442520547563074,96
zro2_120_formal,1,1,v,-18.75,-13.42607863373864,96
zro2_120_formal,1,1,v,-18.25,-13.39910419509783,96
zro2_120_formal,1,1,v,-17.75,-13.390151352704818,96
zro2_120_formal,1,1,v,-17.25,-13.372363602499064,96
zro2_120_formal,1,1,v,-16.75,-13.350928159868957,96
zro2_120_formal,1,1,v,-16.25,-13.32982396050015,96
zro2_120_formal,1,1,v,-15.75,-13.301923337232534,96
zro2_120_formal,1,1,v,-15.25,-13.291666940409687,96
zro2_120_formal,1,1,v,-14.75,-13.270706546119145,96
zro2_120_formal,1,1,v,-14.25,-13.228669487898761,96
zro2_120_formal,1,1,v,-13.75,-13.195754143541073,96
zro2_120_formal,1,1,v,-13.25,-13.135862549572366,96
zro2_120_formal,1,1,v,-12.75,-13.092466880655445,96
zro2_120_formal,1,1,v,-12.25,-13.082408091305078,96
zro2_120_formal,1,1,v,-11.75,-13.075534127423605,96
zro2_120_formal,1,1,v,-11.25,-13.048529469623213,96
zro2_120_formal,1,1,v,-10.75,-13.033652152256067,96
zro2_120_formal,1,1,v,-10.25,-13.009362865439432,96
zro2_120_formal,1,1,v,-9.75,-12.983131266724051,96
zro2_120_formal,1,1,v,-9.25,-12.98979327308257,96
zro2_120_formal,1,1,v,-8.75,-12.970983942893184,96
zro2_120_formal,1,1,v,-8.25,-12.981913458833446,96
zro2_120_formal,1,1,v,-7.75,-12.979140192485023,96
zro2_120_formal,1,1,v,-7.25,-12.961264585818654,96
zro2_120_formal,1,1,v,-6.75,-12.960357584715137,96
zro2_120_formal,1,1,v,-6.25,-12.951121914845139,96
zro2_120_formal,1,1,v,-5.75,-12.947571267541115,96
zro2_120_formal,1,1,v,-5.25,-12.966283665682305,96
zro2_120_formal,1,1,v,-4.75,-12.970016586135063,96
zro2_120_formal,1,1,v,-4.25,-12.979671581371392,96
zro2_120_formal,1,1,v,-3.75,-12.998342251258713,96
zro2_120_formal,1,1,v,-3.25,-13.01789608245473,96
zro2_120_formal,1,1,v,-2.75,-13.03417100050638,96
