dataset_index,session_id,sample_id,shared_height_source_id,session_role,component_id,base_family_key
76,zro2_120_formal,77,zro2_120_formal:m077,formal,8f8c3686ac46b21276dc57ba01e762d6068954b2e2a0b1d936fd19c70d420335,4000|10|7|2
77,zro2_120_formal,78,zro2_120_formal:m078,formal,c0b782de4cab74d31dbb6310a3fb14d80c1a612738376b38f73168275f3d5835,4000|10|7|8
78,zro2_120_formal,79,zro2_120_formal:m079,formal,1a8f707978b3aada229765ad00ba127ccc8e4db5f00dd0bf595bee8c69735ff3,4000|10|7|10
79,zro2_120_formal,80,zro2_120_formal:m080,formal,5c8b1366e6f95a46a13e70bac85a5be128d939a006953f145043e13a41838a4e,4000|50|3|2
80,zro2_120_formal,81,zro2_120_formal:m081,formal,cb00b97a81a7996d7f555ea2f10f9313c10abf659f541275e999fbda4471fb95,4000|50|5|2
81,zro2_120_formal,82,zro2_120_formal:m082,formal,dd5996d0d16fc760a97193bf36d6bb5114adf204f85fc47cd99633fc788ed641,4000|50|7|4
82,zro2_120_formal,83,zro2_120_formal:m083,formal,311de2710d82b7b2af003a68d0d7e82ea572a37f529862ef628537ec86267771,4000|50|3|4
83,zro2_120_formal,84,zro2_120_formal:m084,formal,05ebe211151b5c42ea77521c2d6176fab9089defd86ce310bf90b3f324d60207,4000|50|9|4
84,zro2_120_formal,85,zro2_120_formal:m085,formal,b0de7b7f774bd4b8443b381c78462e76735d00836536718b12b6dec43d928d17,4000|50|11|6
85,zro2_120_formal,86,zro2_120_formal:m086,formal,55d28815ef5406c21ac323e9895471056326ef32c1b4a55f81a40354cb959f57,4000|50|5|10
86,zro2_120_formal,87,zro2_120_formal:m087,formal,55d28815ef5406c21ac323e9895471056326ef32c1b4a55f81a40354cb959f57,4000|50|5|10
87,zro2_120_formal,88,zro2_120_formal:m088,formal,66ae8b02307cff09999534ecb75463518405acef13e4056ed3fc37c36364e98f,4000|100|11|8
88,zro2_120_formal,89,zro2_120_formal:m089,formal,66ae8b02307cff09999534ecb75463518405acef13e4056ed3fc37c36364e98f,4000|100|11|8
89,zro2_120_formal,90,zro2_120_formal:m090,formal,434cc40d613f5f9e54f64010b37637f9465d262a9a94041cdb976cf0cbe7ef5a,4000|200|3|4
90,zro2_120_formal,91,zro2_120_formal:m091,formal,28d3ba8e515e80482e027ca163a5bec82884082a8f8fc608079f144368ad3db9,4000|200|9|4
91,zro2_120_formal,92,zro2_120_formal:m092,formal,4e2cca025b4b2543e4f596540a03c1bb76e8876658fd5364f336e00dc74ca901,4000|200|7|6
92,zro2_120_formal,93,zro2_120_formal:m093,formal,81f089e3ec3746fd0625404be432642bee44aa5042c33fd1661b60d2e04189a7,4000|200|5|8
93,zro2_120_formal,94,zro2_120_formal:m094,formal,f08821a99d4ed065a0e311cde28b5114328a7218ec70b676f19ac00b8ad8c121,4000|200|3|8
94,zro2_120_formal,95,zro2_120_formal:m095,formal,601ef43fbd685e1456b985b9dedb599b4f32c57eda67793b43004416acf24438,4000|200|7|10
95,zro2_120_formal,96,zro2_120_formal:m096,formal,601ef43fbd685e1456b985b9dedb599b4f32c57eda67793b43004416acf24438,4000|200|7|10
96,zro2_120_formal,97,zro2_120_formal:m097,formal,584ec920fea64939745a3279fa08a18784d72ad5b54faa9e3860724e211e900e,6000|2|3|2
97,zro2_120_formal,98,zro2_120_formal:m098,formal,75e8a3878cb5b07fc1219373158bf31b99facf7edf6c02931e54b63a6d81928a,6000|2|3|4
98,zro2_120_formal,99,zro2_120_formal:m099,formal,b9f60f59661dba993be84bc849630ffee8e2a88560a1cd716ac669b13e591b7e,6000|2|5|6
99,zro2_120_formal,100,zro2_120_formal:m100,formal,5bafa2031158613ec5ac194a73c6ba6733b719e1c6b5709ddab17673dd22324b,6000|2|7|6
100,zro2_120_formal,101,zro2_120_formal:m101,formal,5bafa2031158613ec5ac194a73c6ba6733b719e1c6b5709ddab17673dd22324b,6000|2|7|6
101,zro2_120_formal,102,zro2_120_formal:m102,formal,e91c4479eae93c9537ea8923dfdaf6b8d856c8e8a1dcfa0b2b7d93b4bf9a90c1,6000|2|9|8
102,zro2_120_formal,103,zro2_120_formal:m103,formal,fd417a2babd1a5a6f117e24361afb85c522f1bd42c53e6ac0f1a2dd4dee79edf,6000|2|11|8
103,zro2_120_formal,104,zro2_120_formal:m104,formal,2dafc5c0f22998d3afe6699ea3c478747b2b3afd3903eeeb707b7b40f64f51b4,6000|10|7|2
104,zro2_120_formal,105,zro2_120_formal:m105,formal,d89055a6ebe0380c591261fc2fbd84484e5771e26e8dde45d9b8b0e4179da69f,6000|10|3|2
105,zro2_120_formal,106,zro2_120_formal:m106,formal,a6a2d17b23617cebe0634d08f8412f1f7dab788ad637db87676837cd9cea8acb,6000|10|5|4
106,zro2_120_formal,107,zro2_120_formal:m107,formal,e29ed08b013b66b938382bc561703ae8b895cd02313b3ff67a6519c6bef1be82,6000|10|7|8
107,zro2_120_formal,108,zro2_120_formal:m108,formal,e29ed08b013b66b938382bc561703ae8b895cd02313b3ff67a6519c6bef1be82,6000|10|7|8
108,zro2_120_formal,109,zro2_120_formal:m109,formal,607d2783453c8ad786d1ef5e7695b041f0718e8a505a0d17858cac60e079149e,6000|10|7|10
109,zro2_120_formal,110,zro2_120_formal:m110,formal,685c2c9ae214e0656d16aef6eb52d0269603217fe7b034fe09ebf346e9ff5b25,6000|50|9|4
110,zro2_120_formal,111,zro2_120_formal:m111,formal,353bcd44fc9f76ccbc5c85479375a56ea38dada086dc770d3c43e2c4991c51e9,6000|50|5|6
111,zro2_120_formal,112,zro2_120_formal:m112,formal,0f06b9d9a003e06bd9303307516e78c675a42cbcdeba2c3cbbfe145587fa0664,6000|50|11|10
